,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,7,7,2094080,8,2,3,0,8,32,45,0,1,-1,16384,0,8388608,12,652288,1,6,0.15,0.97
1,3,16,2094080,8,2,3,0,8,32,40,0,0,-1,16384,0,8388608,12,552960,2,6,0.2,0.97
2,4,5,2094080,8,2,3,0,8,32,54,0,0,-1,16384,0,8388608,12,604160,1,6,0.05,0.97
3,4,10,2094080,8,2,3,0,8,32,43,0,0,10000,16384,0,8388608,12,569344,1,6,0,0.97
4,6,11,2094080,8,2,3,0,8,32,44,0,0,10000,16384,0,8388608,12,569344,1,6,0.1,0.97
5,5,11,2094080,8,2,3,0,8,32,33,0,0,10000,16384,0,8388608,12,576512,1,5,0,0.97
6,2,10,2094080,8,2,3,0,8,32,63,0,1,-1,16384,0,8388608,11,552960,2,6,0.2,0.97
7,2,4,2094080,8,2,3,0,8,32,40,0,0,-1,16384,0,8388608,12,545792,1,6,0.1,0.98
8,5,16,2094080,8,2,3,0,8,32,46,0,0,-1,16384,0,8388608,12,652288,1,6,0.15,0.97
9,4,5,2094080,8,2,3,0,8,32,43,0,0,10000,16384,0,8388608,12,604160,1,6,0.05,0.91
10,4,11,2094080,8,2,3,0,8,32,43,0,0,10000,16384,0,8388608,12,569344,1,6,0.1,0.97
11,2,5,2094080,8,2,3,0,8,32,40,0,0,10000,16384,0,8388608,12,545792,1,6,0,0.97
12,4,16,2094080,8,2,3,0,7,32,42,0,0,100000,14336,0,8388608,10,569344,2,6,0.15,0.97
13,4,11,2094080,8,2,3,0,8,32,54,0,0,10000,16384,0,8388608,12,569344,1,5,0,0.97
14,1,11,2055168,8,2,3,0,8,32,53,0,1,100000,16384,0,7340032,11,604160,2,5,0.2,0.97
15,4,14,2094080,8,2,3,0,8,32,54,0,0,-1,16384,0,8388608,12,577536,1,6,0.1,0.97
