,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,4,1,2061312,8,2,3,0,8,22,36,3,0,100000,16384,0,8388608,8,1985536,2,5,0.2,0.0
1,1,1,2061312,8,2,3,0,8,22,36,3,0,100000,16384,0,8388608,8,1851392,2,5,0.15,0.0
2,4,1,2061312,8,2,3,0,8,20,36,3,0,100000,16384,0,8388608,8,1439744,2,5,0.2,0.0
3,4,1,2061312,8,2,3,0,8,25,37,3,0,10000,16384,0,8388608,8,1796096,2,5,0.2,0.0
4,1,2,2061312,8,2,3,0,8,17,36,3,0,10000,16384,0,8388608,8,1495040,2,5,0.2,0.0
5,3,1,2061312,8,2,3,0,8,19,36,3,0,-1,16384,0,8388608,8,1851392,2,6,0.2,0.0
6,1,2,2061312,8,2,3,0,8,18,38,3,0,-1,16384,0,8388608,8,1471488,2,5,0.15,0.0
7,5,2,2061312,8,2,3,0,8,19,36,3,0,-1,16384,0,8388608,8,1439744,2,5,0.2,0.0
8,1,6,2061312,8,2,3,0,8,19,40,3,0,100000,13312,0,8388608,8,2018304,2,5,0.2,0.0
9,3,1,2061312,8,2,3,0,8,16,36,3,0,100000,16384,1,8388608,8,1851392,2,5,0.2,0.0
10,3,1,2061312,8,2,3,0,8,25,36,3,0,100000,16384,0,8388608,8,1851392,2,5,0.15,0.0
11,4,6,2061312,8,2,3,0,8,21,40,3,0,100000,14336,0,8388608,8,1851392,2,5,0.2,0.0
12,3,3,2061312,8,2,3,0,8,25,51,3,0,100000,16384,0,8388608,8,1851392,2,5,0.2,0.0
13,3,7,2061312,8,2,3,0,8,19,40,3,0,10000,13312,0,8388608,8,2095104,2,5,0.2,0.0
14,6,1,2061312,8,2,2,0,8,25,45,3,0,100000,16384,0,8388608,8,1680384,2,5,0.2,0.0
15,3,2,2061312,8,2,3,0,8,18,38,3,0,-1,16384,0,8388608,8,1495040,2,5,0.15,0.0
