,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,1,16,2087936,8,2,3,0,8,32,36,0,0,10000,16384,1,8388608,12,529408,1,6,0,0.99
1,2,15,2094080,8,2,3,0,8,32,35,0,0,-1,15360,1,8388608,12,537600,1,6,0,0.99
2,2,12,2094080,8,2,3,0,7,32,49,0,0,10000,16384,1,8388608,12,530432,1,6,0,0.99
3,2,8,2094080,8,2,3,0,8,32,33,0,0,-1,16384,1,8388608,12,530432,1,5,0.05,0.97
4,2,13,2094080,8,2,3,0,8,32,51,0,0,-1,16384,1,8388608,12,529408,1,7,0.05,0.99
5,1,11,2094080,8,2,3,0,8,32,35,0,0,-1,16384,1,8388608,11,530432,1,6,0.05,0.99
6,2,11,2094080,8,2,3,0,8,32,35,0,0,-1,16384,1,8388608,12,530432,1,7,0,0.99
7,1,12,2094080,8,2,3,0,8,32,36,0,0,100000,16384,1,8388608,12,530432,1,7,0,0.99
8,1,14,2094080,8,2,3,0,7,32,37,0,0,10000,16384,1,8388608,12,530432,1,7,0.15,0.98
9,2,13,2094080,8,2,3,0,7,32,32,0,0,-1,16384,1,8388608,12,537600,1,7,0.1,0.99
10,2,15,2094080,8,2,3,0,8,32,33,0,0,10000,16384,1,8388608,12,533504,1,5,0.1,0.99
11,3,16,2094080,8,2,3,0,7,32,33,0,0,-1,16384,0,8388608,12,530432,1,8,0,0.99
12,2,15,2094080,8,2,3,0,8,32,33,0,0,10000,16384,1,8388608,11,529408,1,7,0.1,0.99
13,2,15,2075648,8,2,3,0,8,32,61,0,0,10000,16384,1,8388608,12,530432,1,7,0,0.97
14,3,16,2094080,8,2,3,0,6,32,48,0,0,10000,16384,1,8388608,12,530432,1,8,0.05,0.99
15,2,10,2094080,8,2,3,0,8,32,36,0,0,10000,16384,1,8388608,12,537600,1,5,0.15,0.99
16,2,8,2094080,8,2,3,0,8,32,33,0,0,-1,15360,1,8388608,12,530432,1,5,0.05,0.99
17,1,11,2071552,8,2,3,0,8,32,34,0,0,-1,16384,1,8388608,12,537600,1,5,0.15,0.99
18,2,8,2094080,8,2,3,0,8,32,39,0,0,10000,16384,1,8388608,12,530432,1,5,0.15,0.99
19,3,14,2087936,8,2,3,0,8,32,39,0,0,10000,16384,1,8388608,12,530432,1,8,0.05,0.99
20,3,15,2087936,8,2,3,0,8,32,33,0,0,10000,16384,0,8388608,12,530432,1,8,0.05,0.99
21,2,12,2094080,8,2,3,0,8,32,62,0,0,100000,16384,1,8388608,12,529408,1,7,0,0.99
22,3,12,2087936,8,2,3,0,8,32,44,0,0,-1,16384,1,8388608,12,530432,1,5,0,0.99
23,1,10,2094080,8,2,3,0,7,32,36,0,0,-1,16384,1,8388608,12,529408,1,7,0.15,0.99
