,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,7,3,2069504,8,2,3,0,8,16,32,1,1,1000000,16384,1,8388608,8,541696,1,7,0.15,0.03
1,8,3,2081792,8,2,3,0,8,16,32,1,1,1000000,16384,1,8388608,8,771072,1,6,0.1,0.0
2,8,4,2083840,8,2,3,0,8,16,32,1,1,10000,15360,1,8388608,8,536576,1,7,0.15,0.02
3,5,4,2083840,8,2,3,0,8,16,34,1,1,1000000,15360,1,8388608,8,582656,2,7,0.15,0.0
4,3,3,2063360,8,2,3,0,8,16,32,1,1,1000000,16384,1,8388608,9,716800,1,7,0.15,0.02
5,6,1,2069504,8,2,3,0,8,16,32,1,1,1000000,15360,1,8388608,8,536576,1,7,0.05,0.02
6,8,2,2033664,8,2,3,0,8,16,32,1,1,10000,15360,1,8388608,8,532480,1,6,0.1,0.01
7,11,2,2063360,8,2,3,0,8,16,32,1,1,1000000,16384,1,8388608,9,986112,1,7,0.15,0.02
8,9,2,2004992,8,2,3,0,8,16,32,1,1,10000,16384,1,8388608,8,532480,1,6,0.1,0.01
9,11,8,2063360,8,2,3,0,8,16,32,1,1,1000000,16384,1,8388608,9,582656,1,7,0.15,0.0
10,9,3,2083840,8,2,3,0,8,16,32,1,1,10000,16384,1,8388608,9,541696,1,6,0.15,0.03
11,5,2,2069504,8,2,3,0,8,16,32,1,1,1000000,15360,1,8388608,8,1128448,1,7,0.15,0.0
12,5,3,2083840,7,2,2,0,8,16,32,1,1,1000000,16384,1,8388608,8,582656,1,7,0.05,0.0
13,7,4,2054144,8,2,3,0,8,16,32,1,0,10000,16384,1,8388608,8,635904,1,6,0.1,0.0
14,6,2,2033664,8,2,3,0,8,16,32,1,1,10000,16384,1,8388608,8,532480,1,7,0.2,0.01
15,6,5,2054144,8,2,3,0,8,16,34,1,1,-1,16384,1,8388608,8,545792,1,7,0.15,0.02
16,10,3,2084864,8,2,3,0,8,16,32,1,1,-1,16384,1,8388608,8,532480,1,6,0.1,0.03
17,8,3,2081792,8,2,3,0,8,16,32,1,1,1000000,16384,1,8388608,8,771072,2,7,0.15,0.02
18,5,7,1996800,8,2,3,0,8,16,32,1,1,1000000,16384,1,8388608,8,541696,1,7,0.2,0.0
19,4,3,2085888,8,2,3,0,8,16,35,1,1,1000000,16384,1,8388608,8,635904,1,8,0.2,0.0
20,4,1,2069504,8,2,2,0,8,16,32,1,1,1000000,16384,1,8388608,8,817152,1,7,0.2,0.02
21,5,4,2083840,8,2,3,0,8,17,32,1,1,100000,15360,1,8388608,8,573440,1,6,0.1,0.01
22,9,2,2083840,8,2,3,0,8,16,32,1,1,1000000,16384,1,8388608,8,541696,2,6,0.1,0.03
23,8,2,2083840,8,2,3,0,8,17,32,1,1,1000000,16384,1,8388608,10,710656,1,7,0.15,0.02
24,8,2,2083840,8,2,3,0,8,16,34,1,1,1000000,15360,1,8388608,8,710656,2,7,0.2,0.02
25,5,6,2083840,8,2,3,0,8,16,34,1,1,1000000,16384,1,8388608,8,697344,1,7,0.15,0.02
26,8,3,2084864,8,2,3,0,8,16,32,1,1,100000,14336,1,8388608,8,562176,1,6,0.15,0.0
27,10,6,2083840,8,2,3,0,8,16,32,1,1,1000000,16384,1,8388608,10,541696,1,7,0.2,0.0
28,7,3,2085888,8,2,3,0,8,16,35,1,1,1000000,16384,1,8388608,8,635904,1,6,0.15,0.02
