,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,9,15,2057216,8,2,3,0,8,20,37,1,1,1000000,16384,0,8388608,8,596992,1,5,0.1,0.02
1,1,11,2069504,4,2,3,0,8,16,33,1,1,-1,16384,0,8388608,8,681984,1,5,0.2,0.0
2,3,16,2057216,7,2,3,0,8,20,32,1,1,1000000,14336,0,8388608,9,817152,1,5,0.15,0.07
3,4,13,2057216,4,2,3,0,8,17,36,1,1,1000000,16384,0,8388608,9,1198080,1,5,0.15,0.14
4,1,12,2081792,4,2,2,0,8,16,37,1,1,1000000,14336,0,8388608,10,942080,1,5,0.1,0.03
5,11,8,2057216,7,2,3,0,8,19,36,1,1,1000000,13312,0,8388608,8,612352,1,5,0.15,0.1
6,4,14,2081792,6,2,3,0,8,16,36,1,1,-1,15360,0,8388608,9,951296,1,5,0.1,0.05
7,4,11,2071552,5,2,2,0,8,18,43,1,1,1000000,14336,0,8388608,9,783360,1,5,0.05,0.06
8,7,16,2093056,7,2,2,0,8,16,35,1,1,1000000,16384,0,8388608,10,1757184,1,5,0,0.23
9,3,9,2070528,4,2,3,0,8,16,40,1,0,1000000,16384,0,8388608,8,681984,1,5,0.2,0.2
10,11,14,2071552,6,2,2,0,8,16,32,1,1,10000,16384,0,8388608,9,1375232,1,5,0.15,0.03
11,1,15,2057216,4,2,2,0,8,21,54,1,1,1000000,16384,0,8388608,8,882688,1,5,0,0.0
12,9,3,2071552,5,2,2,0,8,19,35,1,1,1000000,14336,0,8388608,9,858112,1,5,0,0.07
13,8,5,2057216,8,2,3,0,8,16,32,1,1,10000,14336,0,8388608,8,791552,1,5,0,0.03
14,1,9,1917952,7,2,3,0,8,17,38,1,1,1000000,16384,0,8388608,8,1198080,1,5,0.2,0.14
15,12,13,2022400,4,2,1,0,8,19,35,1,1,1000000,14336,0,8388608,8,922624,1,5,0.1,0.01
16,10,10,2078720,5,2,3,0,8,19,42,1,1,-1,15360,0,8388608,8,1344512,1,5,0.05,0.03
17,15,9,2070528,8,2,3,0,8,24,32,1,1,1000000,13312,0,8388608,9,561152,1,5,0,0.0
