,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,11,2,2075648,8,2,0,0,8,24,39,0,0,1000000,16384,0,8388608,12,561152,1,7,0.2,0.0
1,11,15,2049024,8,2,0,0,8,26,33,0,0,1000000,16384,0,8388608,12,557056,1,8,0.15,0.07
2,8,10,2078720,8,2,0,0,8,21,33,0,0,1000000,16384,1,8388608,12,561152,1,7,0.15,0.0
3,8,16,2075648,8,2,1,0,8,20,32,0,0,1000000,16384,1,8388608,12,557056,1,8,0.2,0.01
4,7,1,2078720,8,2,1,0,8,18,37,0,0,1000000,16384,1,8388608,12,557056,1,7,0.1,0.0
5,8,10,2078720,8,2,3,0,8,19,36,0,0,1000000,16384,0,8388608,12,566272,1,7,0.2,0.07
6,7,3,2075648,8,2,1,0,8,19,32,0,0,1000000,16384,1,8388608,12,557056,1,8,0.1,0.07
7,8,14,2078720,8,2,3,0,8,17,32,0,0,1000000,16384,0,8388608,12,557056,1,8,0.15,0.07
8,8,7,2075648,8,2,1,0,8,20,32,0,0,1000000,16384,1,8388608,12,557056,1,8,0.1,0.07
9,6,13,2075648,8,2,2,0,8,17,32,0,0,1000000,16384,1,8388608,12,557056,1,8,0.2,0.07
10,8,10,2078720,8,2,1,0,8,21,37,0,0,1000000,16384,1,8388608,12,557056,1,8,0.2,0.07
11,6,16,2078720,8,2,2,0,8,17,32,0,0,1000000,16384,1,8388608,12,557056,1,8,0.1,0.07
12,9,16,2078720,8,2,2,0,8,24,39,0,0,1000000,16384,0,8388608,12,561152,1,7,0.2,0.04
13,7,3,2054144,8,2,0,0,8,17,32,0,0,1000000,16384,1,8388608,12,557056,1,8,0.1,0.07
14,6,13,2075648,8,2,2,0,8,20,32,0,0,1000000,16384,0,8388608,12,557056,1,8,0.2,0.07
15,6,2,2075648,8,2,3,0,8,21,32,0,0,1000000,16384,0,8388608,12,557056,1,6,0.2,0.07
