,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,5,14,2088960,8,2,3,0,8,32,56,0,0,10000,16384,1,8388608,12,733184,2,8,0.05,0.0
1,6,14,2078720,8,2,3,0,8,32,56,0,0,100000,16384,1,8388608,11,733184,2,8,0.05,0.0
2,10,15,2078720,8,2,3,0,8,32,59,0,0,10000,15360,1,8388608,12,552960,2,8,0.05,0.02
3,10,15,2078720,8,2,3,0,8,32,58,0,0,10000,16384,1,8388608,11,733184,2,8,0.15,0.0
4,5,14,2088960,8,2,3,0,8,32,56,0,0,-1,16384,1,8388608,9,733184,2,8,0.1,0.0
5,10,15,2078720,8,2,3,0,8,32,58,0,0,-1,15360,1,8388608,12,608256,2,8,0.15,0.02
6,5,10,2088960,8,2,3,0,8,32,57,0,0,-1,16384,1,8388608,11,894976,2,8,0.1,0.0
7,5,12,2088960,8,2,3,0,8,32,56,0,0,100000,16384,1,8388608,10,864256,2,8,0.1,0.02
8,7,14,2054144,8,2,3,0,8,32,61,0,0,100000,16384,1,8388608,10,733184,2,8,0.1,0.02
9,7,14,2056192,8,2,3,0,8,32,56,0,0,100000,16384,1,8388608,11,626688,2,7,0.05,0.0
10,7,14,2056192,8,2,3,0,8,32,56,0,0,100000,16384,1,8388608,9,733184,2,8,0.05,0.0
11,5,7,2088960,8,2,3,0,8,31,52,0,0,-1,16384,1,8388608,12,733184,2,8,0.15,0.0
12,5,7,2088960,8,2,3,0,8,32,56,0,0,10000,16384,1,8388608,12,576512,2,6,0.1,0.02
13,5,14,2088960,8,2,3,0,8,31,52,0,0,100000,16384,1,8388608,12,534528,2,6,0.1,0.02
14,6,8,2078720,8,2,3,0,8,32,56,0,0,100000,16384,1,8388608,11,733184,2,8,0.1,0.0
15,7,5,2078720,8,2,3,0,8,32,58,0,0,-1,16384,1,8388608,10,552960,2,8,0.15,0.02
