,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,7,4,2067456,8,2,3,0,8,30,33,1,1,-1,16384,0,8388608,10,526336,1,6,0.2,0.99
1,6,15,2067456,8,2,3,0,8,31,33,1,1,100000,16384,0,8388608,9,526336,1,6,0.2,0.99
2,6,13,2067456,8,2,3,0,8,31,33,0,1,10000,15360,0,7340032,9,537600,1,6,0.2,0.98
3,10,6,2067456,8,2,3,0,8,31,33,1,1,100000,15360,0,8388608,9,573440,1,7,0.2,0.98
4,6,13,2067456,8,2,3,0,8,31,33,1,1,10000,15360,0,8388608,9,537600,1,5,0.2,0.98
5,12,13,2067456,8,2,3,0,8,32,33,1,1,-1,16384,0,8388608,8,865280,1,8,0.2,0.98
6,6,14,2067456,8,2,3,0,8,32,33,1,1,100000,16384,0,8388608,9,865280,1,6,0.2,0.99
7,6,14,2081792,8,2,3,0,8,31,33,0,1,100000,15360,0,8388608,10,573440,1,6,0.15,0.99
8,8,8,2067456,8,2,3,0,8,30,33,0,1,100000,15360,0,8388608,9,573440,1,6,0.2,0.98
9,6,13,2067456,8,2,3,0,8,31,33,1,1,10000,15360,0,8388608,8,573440,1,7,0.2,0.98
10,6,8,2067456,8,2,3,0,8,30,33,0,1,100000,15360,0,8388608,9,573440,1,5,0.15,0.98
11,10,13,2067456,8,2,3,0,8,30,33,0,1,10000,16384,0,8388608,9,573440,1,6,0.15,0.99
12,7,4,2067456,8,2,3,0,8,31,33,1,1,100000,14336,0,8388608,8,573440,1,5,0.2,0.98
13,4,14,2081792,8,2,3,0,8,31,33,0,1,10000,16384,0,8388608,9,524288,1,8,0.15,0.99
14,4,14,2060288,8,2,3,0,8,31,32,0,1,100000,14336,0,8388608,8,573440,1,7,0.2,0.98
15,10,13,2067456,8,2,3,0,8,30,33,0,1,10000,16384,0,8388608,8,665600,1,7,0.1,0.95
