,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,4,13,2077696,5,2,0,0,8,22,36,0,1,10000,2048,1,8388608,12,530432,1,5,0.2,0.96
1,4,6,2092032,6,2,0,0,8,30,33,0,1,100000,2048,1,8388608,12,530432,1,5,0.2,0.95
2,3,12,2092032,6,2,0,0,8,19,33,0,1,10000,3072,1,8388608,12,530432,1,5,0.15,0.86
3,3,15,2092032,6,2,0,0,8,24,34,0,1,-1,4096,1,8388608,12,530432,1,5,0.2,0.86
4,4,15,2092032,7,2,0,0,8,22,34,0,1,10000,2048,1,8388608,12,530432,1,5,0.1,0.86
5,3,16,2092032,6,2,0,0,8,29,34,0,1,10000,3072,1,8388608,12,577536,1,5,0.2,0.86
6,1,8,2092032,7,2,0,0,8,24,34,0,1,10000,2048,1,8388608,12,530432,1,5,0.2,0.92
7,1,15,2073600,6,2,0,0,8,26,34,0,1,10000,4096,1,8388608,12,530432,1,5,0.2,0.94
8,4,15,2044928,5,2,0,0,8,24,34,0,1,100000,2048,1,8388608,12,530432,1,5,0.2,0.86
9,7,5,2092032,6,2,0,0,8,30,33,0,1,10000,2048,1,8388608,12,530432,1,5,0.2,0.98
10,5,10,2092032,5,2,0,0,8,26,34,0,1,10000,4096,1,8388608,12,530432,1,5,0.2,0.94
11,5,16,2092032,6,2,0,0,8,30,33,0,1,10000,2048,1,8388608,12,577536,1,5,0.15,0.98
12,3,15,2092032,6,2,0,0,8,30,34,0,1,100000,3072,1,8388608,12,530432,1,5,0.15,0.92
13,4,15,2092032,4,2,0,0,8,31,34,0,1,100000,3072,1,8388608,12,530432,1,5,0.1,0.97
14,3,12,2092032,8,2,0,0,8,25,33,0,1,10000,3072,1,8388608,12,530432,1,5,0.2,0.8
15,3,9,2044928,5,2,0,0,8,24,34,0,1,10000,2048,1,8388608,12,530432,1,5,0.15,0.86
