,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,1,1,1951744,8,2,2,0,8,16,32,3,0,-1,16384,1,2097152,8,2042880,1,5,0.2,0.02
1,1,1,1938432,8,2,1,0,8,16,32,3,0,10000,16384,1,2097152,8,2091008,1,5,0.2,0.03
2,2,1,1841152,8,2,2,0,8,16,32,3,0,-1,16384,1,2097152,8,2056192,1,5,0.2,0.0
3,1,1,1862656,8,2,1,0,8,19,32,3,1,-1,16384,1,2097152,8,2091008,1,5,0.2,0.0
4,1,1,1952768,8,2,2,0,8,16,32,3,1,-1,16384,1,2097152,8,2004992,1,5,0.15,0.01
5,1,1,1842176,8,2,2,0,8,16,32,3,0,-1,16384,1,3145728,8,2091008,1,5,0.2,0.02
6,2,1,2034688,8,2,2,0,8,16,32,3,1,-1,16384,1,2097152,8,1829888,1,6,0.2,0.0
7,1,1,1911808,8,2,3,0,8,16,32,3,1,-1,16384,1,2097152,8,1998848,1,5,0.2,0.0
8,1,1,1950720,8,2,2,0,8,16,32,3,1,10000,16384,1,4194304,8,2095104,1,5,0.2,0.0
9,1,1,1951744,8,2,2,0,8,16,35,3,0,-1,16384,1,2097152,8,1971200,1,5,0.2,0.0
10,1,1,2054144,8,2,1,0,8,16,33,3,1,100000,16384,1,2097152,8,2004992,1,6,0.2,0.0
11,2,1,2039808,8,2,2,0,8,17,32,3,0,100000,16384,1,2097152,8,2063360,1,5,0.2,0.03
12,1,1,1951744,8,2,2,0,8,16,32,3,0,10000,16384,1,2097152,9,2052096,1,6,0.2,0.0
13,1,1,1841152,8,2,2,0,8,19,32,3,0,-1,16384,1,2097152,8,2056192,1,5,0.2,0.0
14,1,1,2075648,8,2,2,0,8,16,32,3,0,100000,16384,1,2097152,8,2091008,1,6,0.2,0.09
15,3,1,2007040,8,2,2,0,8,16,32,3,1,10000,16384,1,2097152,8,1948672,1,5,0.2,0.0
16,1,1,1971200,8,2,2,0,8,16,32,3,0,-1,16384,1,2097152,8,1803264,1,6,0.2,0.03
17,3,1,1888256,8,2,3,0,8,16,32,3,0,10000,16384,1,2097152,8,2046976,1,5,0.2,0.0
18,1,1,1952768,8,2,1,0,8,16,32,3,1,-1,16384,1,3145728,8,1887232,1,5,0.2,0.0
19,2,1,1778688,8,2,2,0,8,16,32,3,0,10000,16384,1,2097152,8,2018304,1,6,0.2,0.03
20,1,2,1961984,8,2,1,0,8,17,32,3,0,10000,16384,1,2097152,8,2056192,1,6,0.2,0.0
21,1,1,2059264,8,2,2,0,8,18,32,3,0,-1,16384,1,2097152,8,1963008,1,5,0.2,0.02
22,2,1,1952768,8,2,2,0,8,16,32,3,0,10000,16384,1,3145728,8,2044928,1,6,0.2,0.02
