,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,4,6,1433600,7,2,3,0,8,30,62,3,1,100000,15360,0,3145728,11,1520640,1,6,0.1,0.0
1,9,6,1537024,7,2,3,0,8,30,46,3,0,100000,15360,1,6291456,11,2063360,1,5,0.15,0.0
2,6,6,1611776,7,2,3,0,8,26,42,3,0,10000,12288,1,6291456,10,1983488,1,5,0.15,0.0
3,4,7,1647616,8,2,3,0,8,28,64,3,1,1000000,16384,0,3145728,10,1790976,1,7,0,0.0
4,12,5,1661952,7,2,3,0,8,30,49,3,1,1000000,16384,1,8388608,10,1483776,2,5,0,0.01
5,14,1,1253376,8,2,3,0,8,32,43,3,0,10000,16384,0,3145728,12,1956864,1,5,0.15,0.01
6,4,5,1805312,8,2,3,0,8,32,51,3,1,-1,16384,1,5242880,9,1984512,1,5,0.2,0.01
7,9,5,1537024,7,2,3,0,8,31,57,3,1,-1,16384,1,6291456,10,1442816,2,5,0.1,0.0
8,6,2,1537024,8,2,3,0,8,31,53,3,1,1000000,16384,0,2097152,11,1858560,1,6,0,0.01
9,6,8,1537024,6,2,3,0,8,31,50,3,1,1000000,15360,0,3145728,10,1801216,1,8,0.1,0.0
10,6,8,1641472,7,2,3,0,8,31,50,3,1,100000,16384,0,2097152,11,1841152,1,6,0.2,0.0
11,8,4,1545216,7,2,3,0,8,30,50,3,0,-1,16384,0,6291456,10,1983488,1,5,0.05,0.0
12,6,9,1580032,7,2,3,0,8,30,49,3,0,10000,12288,0,3145728,9,1801216,1,5,0,0.0
13,6,4,1359872,7,2,3,0,8,31,37,3,1,1000000,16384,1,4194304,11,1755136,1,6,0.1,0.01
14,8,4,1491968,7,2,3,0,8,32,49,3,1,1000000,12288,0,4194304,10,1353728,1,7,0.05,0.01
15,4,12,1476608,7,2,3,0,8,30,42,3,0,10000,15360,0,2097152,10,1730560,1,6,0.05,0.01
16,6,2,1723392,7,2,3,0,8,30,53,3,1,100000,16384,1,6291456,11,1154048,1,5,0.2,0.0
17,11,4,1545216,7,2,3,0,8,29,48,3,1,100000,16384,1,6291456,11,1342464,2,5,0.1,0.01
18,15,9,1537024,8,2,3,0,8,28,49,3,0,100000,13312,1,6291456,11,2055168,2,5,0.1,0.0
19,4,2,1931264,8,2,3,0,8,31,56,3,1,1000000,14336,0,5242880,10,1951744,1,8,0.05,0.01
20,10,6,1510400,7,2,3,0,8,30,35,3,1,100000,14336,1,6291456,11,1600512,1,5,0.2,0.0
21,9,3,1744896,6,2,3,0,8,32,49,3,1,1000000,16384,1,7340032,12,1568768,2,5,0.1,0.0
22,7,7,1278976,7,2,3,0,7,30,42,3,1,1000000,15360,0,3145728,11,1540096,1,6,0.05,0.01
23,5,1,1824768,8,2,3,0,8,27,60,3,1,1000000,15360,0,8388608,9,1430528,1,8,0,0.0
24,12,10,1661952,7,2,3,0,8,29,54,3,1,-1,16384,1,6291456,9,1891328,1,5,0.2,0.0
25,14,10,1502208,8,2,3,0,8,30,51,3,1,10000,16384,1,6291456,11,1841152,2,5,0.1,0.0
26,3,3,1491968,7,2,2,0,8,32,63,3,1,1000000,14336,0,3145728,9,2015232,1,8,0.05,0.0
27,4,5,1617920,8,2,3,0,8,32,45,3,1,10000,16384,0,2097152,12,1720320,2,5,0.05,0.0
28,12,2,1591296,8,2,3,0,8,31,35,3,0,-1,15360,1,3145728,12,2077696,2,5,0.15,0.0
29,6,8,2017280,6,2,3,0,8,31,64,3,1,1000000,15360,1,8388608,12,2030592,1,6,0.2,0.0
30,9,9,1537024,7,2,3,0,8,30,46,3,1,1000000,15360,0,3145728,11,1801216,1,8,0,0.0
31,11,2,1387520,8,2,2,0,8,32,62,3,1,1000000,16384,0,4194304,11,1529856,1,7,0.05,0.01
32,13,6,1585152,8,2,3,0,8,30,41,3,0,-1,16384,0,6291456,11,1720320,1,5,0.15,0.0
33,7,1,1897472,8,2,3,0,8,31,38,3,1,1000000,15360,1,5242880,11,1755136,1,7,0.15,0.01
34,13,11,1380352,7,2,3,0,8,28,46,3,0,10000,15360,1,5242880,11,1863680,2,5,0.1,0.02
35,5,1,1860608,8,2,3,0,8,30,60,3,1,1000000,14336,0,7340032,10,1885184,1,7,0,0.0
36,5,2,1723392,7,2,3,0,8,32,62,3,1,1000000,12288,0,4194304,11,1639424,1,7,0,0.0
37,8,5,1564672,8,2,1,0,8,32,40,3,1,1000000,16384,0,2097152,11,1529856,1,7,0.05,0.01
38,4,3,2048000,7,2,1,0,8,31,43,3,1,1000000,7168,0,3145728,10,2083840,1,7,0.05,0.01
39,6,1,1744896,6,2,3,0,8,28,53,3,1,1000000,16384,1,8388608,9,1929216,1,5,0.05,0.01
40,14,2,1690624,8,2,2,0,8,31,50,3,1,1000000,15360,0,4194304,10,1801216,1,8,0.05,0.0
41,11,3,1156096,7,2,3,0,8,30,55,3,1,100000,11264,1,6291456,11,1154048,2,5,0.1,0.0
42,12,8,1387520,6,2,3,0,8,30,62,3,1,1000000,10240,0,5242880,11,1526784,1,5,0.05,0.0
43,2,9,1517568,7,2,3,0,8,30,56,3,1,10000,16384,0,4194304,11,1841152,1,7,0.15,0.0
44,5,2,1723392,7,2,3,0,8,32,43,3,1,10000,15360,1,5242880,11,1822720,1,6,0.2,0.0
45,5,1,1537024,8,2,3,0,8,32,62,3,1,1000000,14336,0,7340032,11,1763328,1,5,0.05,0.01
46,14,3,1690624,8,2,3,0,8,32,61,3,0,-1,16384,0,6291456,11,2076672,1,5,0.15,0.01
47,6,2,1537024,8,2,3,0,8,31,51,3,1,1000000,13312,0,2097152,12,2083840,1,8,0.05,0.01
48,8,9,1595392,8,2,3,0,8,32,60,3,1,10000,14336,1,4194304,10,2079744,2,5,0.15,0.0
49,7,8,1452032,7,2,2,0,7,30,60,3,1,1000000,14336,0,2097152,11,1983488,2,5,0.05,0.0
50,3,14,1532928,7,2,3,0,7,31,39,3,1,-1,16384,0,2097152,11,1622016,1,5,0.1,0.0
51,4,2,1931264,8,2,2,0,8,30,47,3,1,1000000,14336,1,7340032,11,2061312,1,6,0.2,0.0
52,11,2,1676288,7,2,3,0,8,31,61,3,1,1000000,16384,0,8388608,11,1583104,1,6,0.05,0.01
53,14,1,1591296,8,2,3,0,8,31,35,3,0,10000,16384,0,2097152,12,1479680,2,5,0.2,0.0
54,6,6,1744896,7,2,3,0,8,30,49,3,1,10000,16384,1,5242880,11,1154048,2,5,0.15,0.0
55,6,3,1690624,8,2,2,0,8,32,51,3,1,1000000,16384,1,2097152,12,1252352,2,5,0.05,0.01
56,9,10,1502208,7,2,3,0,8,30,56,3,1,1000000,14336,0,3145728,9,1885184,1,7,0.05,0.0
57,4,10,1502208,6,2,2,0,8,30,60,3,1,1000000,14336,0,3145728,11,1801216,1,6,0,0.0
58,4,6,1433600,7,2,2,0,8,29,36,3,1,10000,12288,1,2097152,12,1811456,2,6,0.15,0.0
59,10,12,1545216,7,2,3,0,8,29,35,3,1,10000,14336,1,4194304,10,1705984,1,5,0.15,0.01
60,9,9,1525760,7,2,3,0,8,30,49,3,1,-1,16384,0,3145728,11,1483776,1,6,0.2,0.01
61,4,9,1505280,7,2,3,0,8,31,43,3,1,10000,15360,1,3145728,12,1259520,1,5,0.15,0.0
62,8,10,1359872,8,2,3,0,8,30,50,3,0,-1,16384,0,2097152,10,2045952,1,5,0.15,0.01
63,2,9,1505280,7,2,3,0,8,31,43,3,1,-1,14336,1,5242880,12,1841152,2,5,0.15,0.0
