,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,4,5,2053120,8,2,3,0,8,32,38,3,0,100000,16384,1,8388608,12,1995776,1,7,0.2,0.0
1,3,1,2075648,8,2,3,0,8,31,40,3,0,10000,16384,1,8388608,12,1310720,1,7,0.2,0.02
2,4,6,2066432,8,2,3,0,8,32,47,3,0,100000,16384,1,8388608,12,1428480,1,8,0.2,0.01
3,3,7,2075648,8,2,3,0,8,31,43,3,0,10000,14336,0,8388608,12,2038784,1,7,0.2,0.0
4,8,13,2092032,6,2,3,0,8,30,34,3,0,-1,15360,1,8388608,12,1735680,1,8,0.2,0.02
5,3,7,2075648,8,2,3,0,8,28,43,3,0,-1,16384,1,8388608,11,1475584,1,8,0.15,0.0
6,7,7,2092032,7,2,3,0,8,31,37,3,0,100000,16384,1,8388608,10,1416192,1,8,0.2,0.0
7,3,11,2075648,8,2,3,0,8,25,40,3,0,10000,16384,1,8388608,11,2011136,1,7,0.2,0.01
8,8,1,2074624,8,2,3,0,8,31,41,3,0,10000,15360,1,8388608,10,1913856,1,7,0.2,0.0
9,7,7,2075648,8,2,3,0,8,28,43,3,0,100000,15360,1,8388608,11,1906688,1,8,0.2,0.0
10,8,8,2075648,8,2,3,0,8,25,38,3,0,-1,15360,1,8388608,12,1860608,1,8,0.2,0.0
11,4,6,2071552,8,2,3,0,8,30,40,3,0,10000,15360,1,8388608,10,1751040,1,6,0.15,0.0
12,3,9,2084864,8,2,3,0,8,32,37,3,0,-1,16384,1,8388608,12,1547264,1,5,0.2,0.03
13,4,8,2075648,8,2,3,0,8,30,40,3,0,-1,11264,1,8388608,11,2044928,1,8,0.15,0.0
14,3,9,2065408,8,2,3,0,8,28,32,3,0,-1,16384,1,8388608,9,1682432,1,8,0.2,0.0
15,4,4,2070528,7,2,3,0,8,30,51,3,0,100000,16384,1,8388608,10,1293312,1,8,0.2,0.0
16,5,13,2094080,6,2,3,0,8,28,39,3,0,-1,16384,1,8388608,11,1274880,1,7,0.2,0.0
17,4,11,2071552,8,2,3,0,8,30,40,3,0,10000,15360,1,8388608,10,1852416,1,6,0.1,0.0
18,6,7,2075648,8,2,3,0,8,31,40,3,0,10000,16384,0,8388608,12,1310720,1,8,0.2,0.02
19,4,14,2079744,7,2,3,0,8,30,36,3,0,100000,15360,1,8388608,11,1818624,1,5,0.15,0.0
20,7,5,2070528,8,2,3,0,8,32,39,3,0,100000,16384,1,8388608,10,1209344,1,6,0.2,0.0
21,11,6,2065408,7,2,3,0,8,32,32,2,0,10000,16384,1,8388608,12,1639424,1,7,0.2,0.0
22,4,9,2035712,7,2,3,0,8,32,35,3,0,10000,14336,1,8388608,10,1733632,1,8,0.2,0.04
23,5,13,2035712,8,2,3,0,8,28,32,3,0,100000,15360,1,8388608,12,2023424,1,8,0.1,0.0
24,5,8,2092032,6,2,3,0,8,28,41,3,0,-1,15360,1,8388608,11,1226752,1,8,0.2,0.0
25,5,1,2068480,7,2,3,0,8,28,34,3,0,100000,16384,1,8388608,11,1981440,1,5,0.2,0.01
26,5,15,2059264,8,2,3,0,8,31,37,3,0,10000,14336,1,8388608,9,1995776,1,8,0.2,0.0
27,11,7,2071552,8,2,3,0,8,30,39,3,0,-1,14336,1,8388608,11,1842176,1,8,0.15,0.0
28,8,1,2059264,8,2,3,0,8,29,54,3,0,10000,15360,1,8388608,12,2023424,1,8,0.2,0.0
29,6,6,2075648,8,2,3,0,8,25,40,3,0,-1,16384,1,8388608,12,1860608,1,8,0.1,0.01
30,3,6,1956864,8,2,3,0,8,31,40,3,0,10000,16384,1,8388608,11,2087936,1,8,0.1,0.01
31,5,13,2066432,8,2,3,0,8,29,33,3,0,-1,16384,1,8388608,10,1769472,1,5,0.15,0.0
32,3,3,2035712,7,2,3,0,8,30,42,3,0,10000,14336,1,8388608,11,1647616,1,8,0.1,0.0
33,7,5,2079744,8,2,3,0,8,31,40,3,0,10000,16384,1,8388608,12,683008,1,7,0.05,0.0
34,7,6,2066432,8,2,3,0,8,30,40,3,0,10000,16384,1,8388608,11,831488,1,7,0.15,0.02
35,7,7,2066432,8,2,3,0,8,22,34,3,0,10000,15360,1,8388608,12,2049024,1,6,0.15,0.0
36,5,4,2092032,7,2,3,0,8,25,37,3,0,100000,15360,1,8388608,10,1416192,1,7,0.2,0.0
37,10,12,2035712,8,2,3,0,8,32,42,3,0,10000,15360,1,8388608,10,1814528,1,8,0.15,0.0
38,6,5,2092032,8,2,3,0,8,32,62,3,0,-1,16384,1,8388608,10,1647616,1,7,0.15,0.0
39,3,6,2075648,8,2,3,0,8,31,40,3,0,100000,14336,1,8388608,10,2088960,1,7,0.05,0.02
40,6,16,2070528,8,2,3,0,8,32,47,3,0,100000,16384,1,8388608,10,1999872,1,7,0.2,0.01
41,8,10,2079744,8,2,3,0,8,30,36,3,0,-1,13312,0,8388608,12,1548288,1,8,0.15,0.0
42,5,14,2079744,8,2,3,0,8,32,33,3,0,10000,16384,1,8388608,11,612352,2,8,0.2,0.0
43,4,14,2075648,5,2,3,0,8,30,41,3,0,100000,15360,1,8388608,11,1506304,1,6,0.2,0.0
44,6,5,2092032,8,2,3,0,8,32,53,2,0,10000,15360,1,8388608,11,2023424,1,6,0.2,0.0
45,5,4,2092032,8,2,3,0,8,31,40,3,0,10000,15360,1,8388608,11,1145856,1,8,0.05,0.02
46,10,14,2092032,7,2,3,0,8,30,36,3,0,100000,15360,1,8388608,11,1751040,1,6,0.15,0.0
47,6,4,2075648,6,2,3,0,8,30,37,3,0,100000,14336,1,8388608,12,1904640,1,6,0.1,0.0
48,5,3,2070528,8,2,3,0,8,32,39,3,0,100000,16384,1,8388608,10,1206272,1,7,0.1,0.0
49,6,8,2075648,8,2,3,0,8,30,39,3,0,10000,15360,1,8388608,10,1206272,1,7,0.1,0.0
50,7,13,2079744,8,2,3,0,8,31,42,3,0,10000,16384,1,8388608,10,1094656,1,7,0.05,0.0
51,8,7,2066432,8,2,3,0,8,25,34,3,0,-1,15360,1,8388608,11,1272832,1,6,0.15,0.0
52,3,7,2094080,7,2,3,0,8,30,50,3,0,-1,15360,1,8388608,10,1902592,1,7,0,0.0
53,8,1,2059264,8,2,3,0,8,31,39,3,0,10000,15360,1,8388608,9,1995776,1,6,0.15,0.0
54,12,13,2063360,8,2,3,0,8,31,40,2,0,-1,16384,1,8388608,12,1310720,1,7,0.2,0.0
55,4,16,2094080,6,2,3,0,8,32,45,3,0,-1,14336,1,8388608,10,1733632,1,8,0.2,0.04
56,4,13,2070528,7,2,3,0,8,27,35,3,0,-1,16384,1,8388608,11,1475584,1,6,0.05,0.01
