,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,3,15,2063360,4,2,0,0,8,16,32,3,0,1000000,4096,0,7340032,12,1905664,2,8,0.05,0.04
1,4,15,2089984,4,2,0,0,4,16,32,3,0,100000,5120,0,7340032,12,2076672,2,8,0,0.02
2,4,15,2096128,3,2,0,0,8,17,32,3,0,-1,5120,0,8388608,12,1803264,2,8,0,0.02
3,3,13,2094080,4,2,0,0,7,16,39,3,0,1000000,2048,0,8388608,12,1856512,2,8,0.15,0.0
4,6,14,2089984,6,2,0,0,8,16,32,3,0,1000000,2048,0,8388608,10,1837056,2,8,0.15,0.0
5,10,16,2094080,4,2,0,0,7,16,32,3,1,100000,9216,0,6291456,11,2093056,2,8,0,0.04
6,6,16,2089984,5,2,0,0,8,16,32,3,0,-1,7168,0,6291456,11,1856512,2,8,0.15,0.0
7,3,16,2088960,3,2,0,0,8,19,37,3,0,1000000,2048,0,5242880,12,1958912,2,8,0,0.0
8,3,12,1816576,5,2,0,0,8,18,33,3,0,1000000,6144,0,7340032,12,1905664,2,8,0,0.04
9,4,15,2089984,4,2,0,0,7,16,34,3,0,10000,7168,0,8388608,11,1878016,2,8,0.1,0.02
10,7,12,2094080,5,2,0,0,8,18,34,3,0,-1,5120,0,5242880,12,2011136,2,8,0.05,0.01
11,9,15,2063360,5,2,0,0,8,18,32,3,0,1000000,10240,0,5242880,11,2011136,2,8,0.05,0.01
12,2,16,2089984,4,2,0,0,7,16,32,3,0,-1,10240,0,7340032,11,2011136,2,7,0,0.01
13,10,16,2089984,7,2,0,0,7,16,36,3,0,1000000,3072,0,8388608,12,1916928,2,8,0.05,0.01
14,7,9,2089984,5,2,0,0,8,17,38,3,0,100000,7168,0,6291456,11,1976320,2,8,0,0.0
15,4,16,2094080,4,2,0,0,7,16,32,3,0,1000000,9216,0,7340032,12,1686528,2,8,0.05,0.13
16,4,14,2089984,6,2,0,0,7,16,47,3,0,1000000,7168,0,5242880,11,2011136,2,8,0,0.0
17,7,14,2063360,3,2,0,0,8,17,32,3,0,-1,5120,0,8388608,11,1792000,2,8,0,0.04
18,11,4,2063360,5,2,0,0,8,16,32,3,0,100000,2048,0,6291456,11,1837056,2,8,0,0.0
19,2,15,1910784,6,2,0,0,6,16,36,3,0,1000000,11264,0,6291456,11,2004992,2,8,0.05,0.0
20,3,15,2072576,5,2,0,0,5,19,32,3,0,1000000,4096,0,4194304,12,2064384,2,8,0.05,0.01
21,7,8,2089984,7,2,0,0,7,16,36,3,0,1000000,3072,0,5242880,11,2058240,2,8,0.05,0.02
22,3,14,2094080,3,2,0,0,8,17,32,3,1,-1,9216,0,8388608,11,2060288,2,8,0.05,0.02
23,5,9,2094080,5,2,0,0,8,18,34,3,0,1000000,5120,0,6291456,11,2011136,2,8,0.15,0.02
24,3,9,2035712,4,2,0,0,6,16,35,3,0,1000000,3072,0,6291456,12,2011136,2,8,0,0.09
25,10,14,2094080,5,2,0,0,6,16,36,3,0,1000000,10240,0,8388608,11,2078720,2,8,0.1,0.0
26,12,11,2063360,7,2,0,0,8,16,34,3,0,-1,4096,0,5242880,12,1988608,2,8,0,0.02
27,4,16,2088960,4,2,0,0,8,19,32,3,0,-1,10240,0,6291456,10,1842176,2,8,0.05,0.02
28,2,10,2094080,6,2,0,0,6,16,36,3,0,10000,6144,0,5242880,12,2034688,2,8,0.1,0.0
29,3,16,1815552,6,2,0,0,6,17,35,3,0,1000000,9216,0,8388608,12,2074624,2,8,0,0.02
30,4,9,2089984,7,2,0,0,8,16,36,3,0,1000000,3072,0,5242880,11,1951744,2,8,0.1,0.02
31,9,16,2063360,5,2,0,0,6,17,32,3,0,1000000,2048,0,5242880,11,2011136,2,8,0,0.01
32,4,16,2094080,5,2,0,0,6,17,36,3,0,-1,16384,0,7340032,12,2001920,2,8,0.05,0.0
33,2,12,2084864,3,2,0,0,8,18,44,3,0,10000,10240,0,6291456,12,2011136,2,8,0.05,0.01
34,8,13,2094080,7,2,0,0,7,16,33,3,0,1000000,4096,0,6291456,12,1569792,2,8,0.05,0.01
35,3,14,2094080,6,2,0,0,7,17,32,3,1,1000000,10240,0,4194304,11,2011136,2,8,0.05,0.02
36,2,14,2063360,6,2,0,0,8,18,34,3,0,100000,7168,0,3145728,11,1976320,2,8,0,0.01
37,9,12,2063360,4,2,0,0,8,17,34,3,0,10000,13312,0,7340032,11,1667072,2,8,0,0.02
38,2,12,2063360,4,2,0,0,7,16,38,3,0,-1,8192,0,8388608,12,1925120,2,8,0.05,0.06
39,10,16,2063360,4,2,0,0,8,17,36,3,0,1000000,6144,0,8388608,11,2011136,2,8,0.1,0.11
40,6,10,2035712,5,2,0,0,6,16,44,3,0,1000000,7168,0,6291456,12,2093056,2,8,0.05,0.01
41,8,16,2094080,5,2,0,0,7,16,33,3,0,-1,14336,0,6291456,10,1911808,2,8,0.05,0.02
42,2,16,1937408,5,2,0,0,6,21,34,3,0,1000000,3072,0,6291456,12,2012160,2,8,0.05,0.02
43,3,16,2089984,7,2,0,0,6,16,32,3,0,-1,9216,0,6291456,11,2076672,2,8,0.15,0.0
44,3,13,2094080,6,2,0,0,7,16,33,3,0,-1,7168,0,6291456,10,2058240,2,8,0.15,0.02
45,4,16,2088960,4,2,0,0,8,16,32,3,0,-1,8192,0,3145728,12,1925120,2,8,0.1,0.02
46,3,8,2063360,4,2,0,0,8,16,42,3,0,1000000,11264,0,7340032,11,1905664,2,8,0.05,0.0
47,9,14,2063360,4,2,0,0,8,16,44,3,1,100000,5120,0,6291456,11,2011136,2,8,0,0.0
48,3,14,1987584,3,2,0,0,8,17,37,3,0,1000000,3072,0,5242880,12,1958912,2,8,0,0.0
49,4,16,2006016,6,2,0,0,8,21,34,3,0,1000000,3072,0,6291456,11,1830912,2,8,0,0.02
50,6,14,2094080,4,2,0,0,8,16,45,3,1,10000,12288,0,4194304,12,2094080,2,8,0,0.01
51,7,11,2089984,8,2,0,0,6,19,32,3,0,1000000,2048,0,5242880,12,1907712,2,8,0,0.0
52,3,16,2094080,8,2,0,0,8,16,36,3,0,1000000,5120,0,8388608,12,1690624,2,8,0.1,0.0
53,2,14,2094080,4,2,0,0,8,17,32,3,0,-1,7168,0,8388608,9,2058240,2,8,0,0.12
54,12,15,2094080,4,2,0,0,6,16,36,3,0,1000000,2048,0,8388608,9,2004992,2,8,0.05,0.0
55,3,6,1954816,3,2,0,0,8,17,34,3,0,10000,2048,0,5242880,12,1958912,2,8,0.1,0.0
56,3,11,2063360,4,2,0,0,8,21,39,3,0,1000000,7168,0,7340032,12,1882112,2,8,0,0.02
57,9,9,2063360,4,2,0,0,7,16,44,3,0,100000,11264,0,6291456,12,2093056,2,8,0,0.01
58,7,12,2094080,5,2,0,0,8,18,34,3,0,100000,5120,0,6291456,12,1468416,2,8,0,0.02
59,8,16,1888256,6,2,0,0,5,16,37,3,0,100000,7168,0,7340032,12,2094080,2,8,0,0.0
60,2,14,2089984,7,2,0,0,8,17,38,3,0,100000,7168,0,6291456,10,1976320,2,8,0.05,0.0
61,11,12,2084864,3,2,0,0,8,18,38,3,0,10000,5120,0,5242880,12,1910784,2,8,0.05,0.0
62,2,12,2084864,4,2,0,0,6,16,40,3,0,100000,2048,0,8388608,8,2004992,2,8,0,0.0
63,3,14,2094080,5,2,0,0,8,18,40,3,0,1000000,10240,0,8388608,12,1921024,2,7,0,0.02
