,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,10,13,2093056,8,2,3,0,8,32,54,0,1,1000000,15360,1,8388608,12,564224,1,5,0.05,0.98
1,12,16,2067456,8,2,3,0,8,32,56,0,1,1000000,16384,1,8388608,12,564224,1,5,0.15,0.99
2,10,16,2067456,8,2,3,0,8,32,58,0,1,100000,15360,1,8388608,12,564224,2,5,0.1,0.99
3,8,16,2067456,8,2,3,0,8,32,44,0,1,100000,15360,1,8388608,12,564224,2,7,0,0.99
4,9,16,2067456,8,2,3,0,8,32,54,0,1,-1,15360,1,8388608,12,564224,2,5,0.05,0.97
5,9,16,2067456,8,2,3,0,8,32,33,0,1,100000,16384,0,8388608,10,545792,1,5,0,0.97
6,10,13,2087936,8,2,3,0,8,32,33,0,1,100000,16384,1,8388608,12,545792,2,5,0,0.97
7,8,16,2067456,8,2,3,0,8,32,56,0,1,100000,16384,1,8388608,10,564224,2,5,0.1,0.99
8,8,16,2067456,8,2,3,0,8,32,56,0,1,100000,16384,1,8388608,10,564224,2,7,0.05,0.99
9,8,16,2067456,8,2,3,0,8,32,44,0,1,100000,15360,1,8388608,12,564224,1,5,0,0.99
10,13,15,2067456,8,2,3,0,8,32,44,0,1,10000,15360,1,8388608,12,564224,1,7,0.1,0.99
11,10,11,2067456,8,2,3,0,8,32,48,0,1,-1,15360,1,8388608,12,564224,2,5,0.1,0.99
12,12,13,2067456,8,2,3,0,8,32,34,0,1,-1,16384,1,8388608,12,564224,2,7,0,0.99
13,10,16,2067456,8,2,3,0,8,32,32,0,0,10000,15360,0,8388608,11,564224,2,5,0.1,0.97
14,8,14,2067456,8,2,3,0,8,32,35,0,1,100000,15360,0,8388608,12,564224,1,5,0,0.99
15,8,16,2067456,8,2,3,0,8,32,41,0,1,-1,13312,1,8388608,12,564224,2,7,0,0.99
