,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,15,2,2096128,8,2,3,0,8,32,32,0,1,100000,16384,0,8388608,10,551936,1,7,0.2,0.97
1,13,1,2096128,8,2,3,0,8,32,32,0,0,100000,16384,0,8388608,12,533504,1,8,0.2,0.99
2,12,1,2096128,8,2,3,0,8,30,34,0,1,-1,16384,0,8388608,10,551936,1,8,0.2,0.99
3,11,1,2096128,8,2,3,0,8,32,52,0,0,100000,16384,0,8388608,12,533504,1,8,0.2,0.99
4,16,1,2096128,8,2,3,0,8,32,32,0,0,100000,16384,0,8388608,12,551936,1,8,0.05,0.97
5,16,4,2096128,8,2,3,0,8,32,45,0,1,-1,16384,0,8388608,9,551936,1,5,0.2,0.99
6,16,2,2080768,8,2,2,0,8,30,34,0,1,-1,16384,0,8388608,11,533504,1,8,0.2,0.99
7,15,4,2096128,8,2,3,0,8,32,32,0,0,100000,16384,0,8388608,12,533504,1,8,0.15,0.99
8,15,2,2096128,8,2,3,0,8,32,46,0,1,10000,16384,0,8388608,8,551936,1,6,0.1,0.99
9,16,2,2080768,8,2,3,0,8,31,34,0,0,100000,16384,0,8388608,8,533504,1,8,0.2,0.99
10,15,2,2096128,8,2,3,0,8,32,47,0,1,-1,16384,0,8388608,9,533504,1,8,0.1,0.99
11,16,1,2096128,8,2,3,0,8,32,44,0,0,-1,16384,0,8388608,10,551936,1,8,0.2,0.99
12,15,1,2096128,8,2,3,0,8,30,40,0,0,100000,16384,0,8388608,10,551936,1,6,0.2,0.99
13,16,2,2096128,8,2,3,0,8,32,45,0,1,100000,16384,0,8388608,8,551936,1,7,0.15,0.99
14,13,4,2096128,8,2,3,0,8,32,47,0,1,-1,16384,0,8388608,9,551936,1,7,0.15,0.99
15,15,1,2096128,8,2,3,0,8,32,47,0,1,-1,16384,1,8388608,8,533504,1,8,0.2,0.99
