,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,16,7,2094080,8,2,3,0,8,32,64,1,1,1000000,16384,1,8388608,11,555008,1,5,0,0.99
1,16,7,2091008,8,2,3,0,7,32,62,1,1,1000000,16384,1,8388608,10,607232,1,5,0,0.99
2,16,3,2085888,8,2,3,0,5,32,64,1,1,1000000,16384,1,8388608,11,566272,1,5,0,0.99
3,16,3,2094080,8,2,3,0,7,32,64,1,1,1000000,16384,1,8388608,8,540672,1,5,0,0.99
4,14,10,2094080,8,2,3,0,8,32,62,1,1,1000000,16384,1,8388608,12,571392,1,5,0.05,0.98
5,13,6,2085888,8,2,3,0,7,32,64,1,1,1000000,16384,1,8388608,11,575488,1,5,0.05,0.99
6,16,14,2094080,8,2,3,0,7,32,64,1,1,1000000,16384,1,8388608,12,540672,1,5,0,0.99
7,15,7,2074624,8,2,3,0,8,32,62,1,1,1000000,16384,1,8388608,11,607232,1,5,0.05,0.99
8,16,13,2085888,8,2,3,0,8,32,63,1,1,1000000,16384,1,8388608,10,571392,1,5,0,0.98
9,14,15,2085888,8,2,3,0,7,32,62,1,1,1000000,16384,1,8388608,11,540672,1,5,0,0.99
10,15,2,2070528,8,2,3,0,8,32,63,1,1,1000000,16384,1,8388608,9,540672,1,5,0,0.99
11,14,16,2068480,8,2,3,0,8,32,63,1,1,1000000,16384,0,8388608,12,540672,2,8,0.15,0.99
12,16,8,2085888,8,2,3,0,4,32,64,1,1,1000000,16384,0,8388608,8,536576,1,5,0.05,0.99
13,16,9,2094080,8,2,3,0,6,32,59,1,1,1000000,16384,1,8388608,11,699392,1,5,0,0.99
14,16,6,2094080,8,2,3,0,4,32,60,1,1,1000000,16384,1,8388608,12,536576,1,5,0,0.99
15,16,4,2094080,8,2,3,0,6,32,62,1,1,1000000,15360,1,8388608,10,640000,1,5,0,0.99
16,16,5,2085888,8,2,3,0,5,32,64,1,1,1000000,16384,0,8388608,8,540672,2,5,0,0.99
17,16,11,2091008,8,2,3,0,6,32,64,1,1,1000000,16384,0,8388608,10,540672,2,5,0.05,0.99
18,16,2,2091008,8,2,3,0,7,32,64,1,1,1000000,15360,1,8388608,11,649216,1,5,0,0.99
19,16,6,2060288,8,2,3,0,8,32,62,1,1,1000000,16384,1,8388608,11,607232,1,5,0,0.99
20,16,7,2089984,8,2,3,0,8,32,63,1,1,1000000,14336,1,8388608,11,540672,1,5,0.05,0.99
21,15,11,2085888,8,2,3,0,5,32,62,1,1,1000000,16384,1,8388608,12,536576,1,5,0.05,0.99
22,13,10,2043904,8,2,3,0,8,32,62,1,1,1000000,16384,1,8388608,9,540672,1,5,0,0.99
23,16,4,2085888,8,2,3,0,8,32,64,1,1,1000000,16384,0,8388608,8,536576,1,5,0,0.99
24,16,6,2094080,8,2,3,0,7,32,56,1,1,1000000,16384,1,8388608,11,540672,1,5,0.05,0.99
25,15,8,2085888,8,2,3,0,7,32,64,1,1,1000000,16384,1,8388608,11,531456,1,6,0.05,0.99
26,16,7,2094080,8,2,3,0,7,32,64,1,1,1000000,16384,0,8388608,8,566272,1,5,0,0.99
27,16,2,2085888,8,2,3,0,8,32,62,1,1,1000000,16384,1,8388608,10,571392,1,5,0.05,0.98
28,16,7,2085888,8,2,3,0,8,32,57,1,1,1000000,16384,1,8388608,11,571392,1,5,0.05,0.98
29,15,6,2091008,8,2,3,0,7,32,58,1,1,1000000,16384,1,8388608,11,698368,1,5,0,0.99
30,16,2,2085888,8,2,3,0,6,32,62,1,1,1000000,16384,1,8388608,12,607232,1,5,0.05,0.99
31,16,5,2085888,8,2,3,0,4,32,64,1,1,1000000,16384,0,8388608,8,540672,1,6,0.1,0.99
32,15,2,2085888,8,2,3,0,7,32,62,1,1,1000000,16384,1,8388608,11,699392,1,5,0,0.99
33,16,14,2085888,8,2,3,0,7,32,63,1,1,1000000,15360,0,8388608,12,540672,2,8,0.15,0.99
34,16,4,2085888,8,2,3,0,8,32,44,1,1,10000,16384,0,8388608,12,536576,2,8,0.2,0.99
35,12,11,2094080,8,2,3,0,8,32,61,1,1,1000000,16384,1,8388608,12,540672,1,6,0.05,0.99
36,15,3,2085888,8,2,3,0,8,32,64,1,1,1000000,16384,1,8388608,11,607232,1,5,0.1,0.98
37,15,2,2079744,8,2,3,0,7,32,64,1,1,1000000,16384,0,8388608,9,571392,2,5,0.05,0.98
