,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,9,5,2067456,8,2,3,0,8,32,60,1,0,-1,15360,0,8388608,8,601088,2,5,0.1,0.46
1,8,6,2093056,8,2,3,0,8,32,56,1,0,-1,14336,0,8388608,10,601088,2,5,0.15,0.78
2,7,7,2031616,8,2,3,0,8,31,64,1,0,100000,15360,0,8388608,10,596992,2,5,0.2,0.66
3,9,8,2030592,8,2,3,0,8,32,46,1,0,10000,16384,0,8388608,8,533504,2,5,0.05,0.43
4,3,6,2093056,8,2,3,0,8,31,33,1,0,100000,15360,0,8388608,8,663552,2,5,0.2,0.5
5,7,9,2076672,8,2,3,0,8,31,51,1,0,10000,15360,0,8388608,10,596992,2,5,0.2,0.43
6,4,3,2093056,8,2,3,0,8,32,45,1,0,10000,14336,0,8388608,8,601088,1,5,0.1,0.64
7,5,11,2093056,8,2,3,0,8,31,51,1,0,-1,13312,0,8388608,8,545792,2,5,0.05,0.66
8,12,10,2093056,8,2,3,0,8,31,51,1,0,10000,14336,0,8388608,8,545792,2,5,0.05,0.42
9,13,10,2093056,8,2,3,0,8,32,45,1,0,-1,15360,0,8388608,8,564224,2,5,0.1,0.72
10,8,8,1981440,8,2,3,0,8,31,44,1,0,-1,15360,0,8388608,9,564224,2,5,0.1,0.72
11,12,9,2052096,8,2,3,0,8,32,54,1,0,-1,15360,0,8388608,8,601088,2,5,0.05,0.46
12,5,12,2030592,8,2,3,0,8,32,57,1,0,100000,15360,0,8388608,8,601088,2,5,0.2,0.31
13,4,1,2093056,8,2,3,0,8,30,46,1,1,100000,15360,0,8388608,10,533504,2,5,0.15,0.63
14,5,1,2052096,7,2,3,0,8,32,55,1,0,-1,16384,0,8388608,9,607232,2,6,0.2,0.76
15,6,12,2030592,7,2,3,0,8,32,54,1,0,100000,16384,0,7340032,10,533504,2,5,0.2,0.82
16,9,5,2076672,8,2,3,0,8,29,63,1,0,100000,14336,0,8388608,9,637952,2,5,0.1,0.6
17,6,5,2093056,8,2,3,0,8,31,51,1,1,-1,15360,0,8388608,10,533504,2,5,0.15,0.82
18,5,3,2095104,7,2,3,0,8,28,63,1,0,100000,16384,0,7340032,8,596992,2,5,0.05,0.63
19,11,13,2018304,8,2,3,0,8,32,44,2,0,10000,14336,0,8388608,8,575488,2,5,0.2,0.05
20,6,9,2052096,8,2,3,0,8,32,34,1,0,-1,15360,0,7340032,8,601088,2,5,0.15,0.69
21,2,2,2076672,8,2,3,0,8,30,36,1,0,100000,15360,0,8388608,8,596992,1,5,0.1,0.78
22,4,3,2052096,8,2,3,0,8,32,54,1,0,100000,16384,0,7340032,9,533504,2,5,0.15,0.93
23,7,9,1980416,8,2,3,0,8,32,59,1,0,10000,12288,0,8388608,8,615424,2,5,0.15,0.46
24,10,8,2074624,8,2,3,0,8,32,44,1,0,-1,15360,0,8388608,8,912384,2,5,0.2,0.05
