,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,10,3,2095104,8,2,3,0,8,30,34,0,0,-1,15360,0,8388608,8,546816,1,5,0.15,0.98
1,7,1,2095104,8,2,3,0,8,32,33,0,0,100000,16384,0,8388608,8,626688,1,5,0.1,0.98
2,11,1,2095104,8,2,3,0,8,31,39,0,0,-1,15360,1,8388608,9,626688,1,5,0.2,0.98
3,11,1,2095104,8,2,3,0,8,30,39,0,0,-1,15360,1,8388608,9,626688,1,5,0.2,0.99
4,7,3,2095104,8,2,3,0,8,30,38,0,0,10000,16384,1,8388608,8,626688,1,5,0.2,0.98
5,10,1,2095104,8,2,3,0,8,31,41,0,0,10000,16384,1,8388608,8,626688,1,5,0.1,0.98
6,9,1,2070528,8,2,3,0,8,30,35,0,0,-1,16384,1,8388608,8,719872,1,5,0.2,0.98
7,4,3,2095104,8,2,3,0,8,30,33,0,0,10000,16384,1,8388608,8,626688,1,5,0.1,0.98
8,4,3,2095104,8,2,3,0,8,30,33,0,0,10000,16384,0,8388608,9,626688,1,5,0.2,0.99
9,11,1,2095104,8,2,3,0,8,30,44,0,0,-1,15360,1,8388608,9,626688,1,5,0.2,0.99
10,11,1,2013184,8,2,3,0,8,30,36,0,0,10000,15360,0,8388608,8,626688,1,5,0.2,0.98
11,8,3,2095104,8,2,3,0,8,28,33,0,0,-1,15360,0,8388608,9,674816,1,5,0.2,0.98
12,10,4,2095104,8,2,3,0,8,31,36,0,0,10000,16384,0,8388608,9,626688,1,5,0.1,0.94
13,11,1,2095104,8,2,3,0,8,32,39,0,0,100000,13312,0,8388608,9,632832,1,5,0.2,0.99
14,3,1,2095104,8,2,3,0,8,32,44,0,0,100000,16384,0,8388608,8,668672,1,5,0.2,0.99
15,5,3,2095104,8,2,3,0,8,30,33,0,0,10000,16384,0,8388608,8,626688,2,5,0.2,0.98
