,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,3,14,2094080,8,2,3,0,8,32,57,1,1,-1,16384,1,8388608,12,536576,1,5,0.15,0.99
1,3,9,2096128,8,2,3,0,8,32,40,1,1,-1,16384,1,8388608,12,536576,1,5,0.15,0.99
2,2,15,2096128,8,2,3,0,8,32,64,1,1,10000,15360,1,8388608,12,527360,2,6,0.05,0.99
3,3,16,2094080,8,2,3,0,8,32,39,1,1,-1,16384,0,8388608,12,530432,1,5,0.15,0.99
4,3,13,2094080,8,2,3,0,8,32,54,1,1,-1,14336,0,8388608,12,527360,1,5,0.15,0.98
5,2,16,2096128,8,2,3,0,8,32,51,1,0,10000,14336,0,8388608,12,530432,1,7,0,0.98
6,4,15,2094080,8,2,3,0,8,32,33,1,1,100000,16384,0,8388608,12,530432,1,5,0.2,0.98
7,3,15,2094080,8,2,3,0,8,32,63,1,1,10000,16384,1,8388608,12,536576,1,5,0.1,0.99
8,2,9,2073600,8,2,3,0,8,32,60,1,1,10000,16384,1,8388608,12,527360,1,5,0.2,0.98
9,5,8,2096128,8,2,3,0,8,32,43,1,1,-1,16384,1,8388608,12,536576,1,5,0.2,0.99
10,4,15,2094080,8,2,3,0,8,31,64,1,1,-1,16384,1,8388608,12,527360,1,6,0.15,0.98
11,2,2,2083840,8,2,3,0,8,32,46,1,1,-1,16384,1,8388608,12,533504,1,5,0.2,0.99
12,4,12,2096128,8,2,3,0,8,32,50,1,1,-1,15360,0,8388608,12,530432,1,5,0.15,0.99
13,2,14,2084864,8,2,3,0,8,32,58,1,1,-1,15360,1,8388608,12,527360,2,5,0.15,0.99
14,2,16,2073600,8,2,3,0,8,32,56,1,1,-1,14336,0,8388608,12,527360,1,5,0.15,0.98
15,2,16,2068480,8,2,3,0,8,32,64,1,1,10000,16384,1,8388608,12,593920,2,6,0.05,0.99
16,5,12,2096128,8,2,3,0,8,32,64,1,1,10000,16384,1,8388608,12,526336,1,6,0.2,0.99
17,3,15,2094080,8,2,3,0,8,32,53,1,1,10000,15360,0,8388608,12,536576,1,5,0.1,0.98
18,3,13,2094080,8,2,3,0,8,32,39,1,1,-1,16384,0,8388608,12,530432,1,5,0.1,0.99
19,4,9,2096128,8,2,3,0,8,32,51,1,1,-1,16384,1,8388608,11,536576,1,5,0.2,0.99
20,6,16,2096128,8,2,3,0,8,32,45,1,1,100000,16384,0,8388608,12,536576,1,5,0.2,0.99
21,6,16,2083840,8,2,3,0,8,32,64,1,1,-1,16384,1,8388608,12,536576,1,6,0.15,0.99
22,6,14,2083840,8,2,3,0,8,32,64,1,1,-1,16384,1,8388608,12,552960,1,5,0.2,0.98
23,2,9,2096128,8,2,3,0,8,30,60,1,1,100000,16384,1,8388608,12,526336,1,6,0.2,0.99
24,3,14,2083840,8,2,3,0,8,32,41,1,1,-1,16384,1,8388608,12,533504,1,5,0.15,0.99
25,6,16,2083840,8,2,3,0,8,32,63,1,1,100000,16384,1,8388608,12,536576,1,6,0.1,0.99
26,2,12,2083840,8,2,3,0,8,32,59,1,1,100000,14336,0,8388608,12,530432,1,5,0.2,0.98
27,4,16,2096128,8,2,3,0,8,32,51,1,1,10000,14336,0,8388608,12,530432,1,5,0.2,0.98
28,2,12,2073600,8,2,3,0,8,32,64,1,1,100000,16384,1,8388608,12,530432,2,5,0.15,0.98
29,3,15,2094080,8,2,3,0,8,31,64,1,1,10000,16384,1,8388608,12,527360,2,5,0.2,0.98
30,2,16,2083840,8,2,3,0,8,32,59,1,1,10000,14336,0,8388608,12,527360,1,5,0.2,0.98
31,2,4,2096128,8,2,3,0,8,32,64,1,1,10000,15360,1,8388608,12,536576,2,7,0.15,0.99
32,2,14,2068480,8,2,3,0,8,31,64,1,1,-1,13312,0,8388608,12,527360,1,5,0.1,0.98
33,6,11,2096128,8,2,3,0,8,32,50,1,1,100000,16384,1,8388608,12,530432,1,6,0.15,0.99
34,2,14,2068480,8,2,3,0,8,31,52,1,1,-1,14336,0,8388608,12,527360,1,5,0.15,0.98
35,2,12,2096128,8,2,3,0,8,30,46,1,1,10000,16384,0,8388608,12,536576,1,5,0.15,0.99
36,7,12,2096128,8,2,3,0,8,32,64,1,1,-1,15360,1,8388608,12,530432,2,6,0.1,0.99
37,6,7,2092032,8,2,3,0,8,32,37,1,1,-1,16384,1,8388608,12,527360,1,5,0.15,0.98
38,3,13,2083840,8,2,3,0,8,32,40,1,1,10000,16384,1,8388608,12,536576,1,5,0.1,0.99
39,4,9,2096128,8,2,3,0,8,32,34,1,1,10000,16384,0,8388608,12,526336,1,5,0.2,0.99
40,3,16,2094080,8,2,3,0,8,32,55,1,1,10000,16384,0,8388608,12,540672,1,6,0.05,0.98
41,8,13,2094080,8,2,3,0,8,32,33,1,1,100000,16384,0,8388608,12,530432,1,6,0.2,0.98
42,7,15,2094080,8,2,3,0,8,32,61,1,1,-1,16384,1,8388608,12,530432,2,6,0.05,0.98
43,3,14,2083840,7,2,3,0,8,32,64,1,1,-1,16384,1,8388608,12,537600,2,5,0.15,0.98
44,4,14,2096128,8,2,3,0,8,32,44,1,1,10000,13312,0,8388608,12,552960,1,5,0.1,0.96
45,7,11,2096128,8,2,3,0,8,32,58,1,1,-1,16384,1,8388608,12,527360,2,5,0.15,0.99
46,3,11,2083840,8,2,3,0,8,32,54,1,1,-1,14336,0,8388608,12,527360,1,5,0.2,0.98
47,4,11,2083840,8,2,3,0,8,32,57,1,1,-1,14336,0,8388608,12,530432,1,5,0.15,0.99
48,7,6,2096128,8,2,3,0,8,32,51,1,1,-1,16384,1,8388608,12,536576,1,5,0.15,0.99
49,4,16,2096128,8,2,3,0,8,32,59,1,1,10000,13312,0,8388608,12,628736,1,5,0.15,0.99
50,4,13,2083840,8,2,3,0,8,32,46,1,1,10000,15360,0,8388608,12,530432,1,5,0.2,0.98
51,7,12,2067456,8,2,3,0,8,32,64,1,1,10000,16384,1,8388608,12,526336,1,5,0.2,0.99
52,7,11,2094080,8,2,3,0,8,32,34,1,1,10000,15360,0,8388608,12,530432,1,5,0.2,0.98
53,3,16,2096128,7,2,3,0,8,32,52,1,1,100000,10240,0,8388608,12,541696,1,5,0.15,0.99
54,4,14,2096128,8,2,3,0,8,32,46,1,0,10000,11264,0,8388608,12,540672,1,6,0.05,0.98
55,4,16,2083840,8,2,3,0,8,32,64,1,1,-1,15360,0,8388608,12,530432,1,6,0.1,0.99
56,2,13,2073600,8,2,3,0,8,32,64,1,1,100000,16384,0,8388608,12,530432,1,5,0.15,0.98
57,3,16,2096128,8,2,3,0,8,31,60,1,1,10000,16384,1,8388608,12,536576,1,5,0.1,0.96
58,2,11,2096128,8,2,3,0,8,30,58,1,1,10000,16384,1,8388608,12,540672,2,5,0.1,0.98
59,2,9,2096128,8,2,3,0,8,32,53,1,1,100000,15360,1,8388608,12,527360,2,5,0.05,0.99
60,6,13,2094080,8,2,3,0,8,32,48,1,1,-1,16384,0,8388608,12,530432,1,5,0.2,0.97
61,5,13,2083840,8,2,3,0,8,32,40,1,1,10000,13312,0,8388608,12,536576,1,5,0.1,0.98
62,3,6,2083840,8,2,3,0,8,32,54,1,1,-1,15360,1,8388608,12,536576,2,5,0.15,0.99
63,5,13,2083840,8,2,3,0,8,32,33,1,1,10000,16384,0,8388608,12,541696,1,5,0.2,0.97
64,8,13,2096128,8,2,3,0,8,32,37,1,1,10000,15360,0,8388608,12,530432,1,5,0.2,0.98
65,2,8,2068480,8,2,3,0,8,32,57,1,1,10000,16384,1,8388608,11,552960,1,5,0.2,0.99
66,4,16,2079744,8,2,3,0,8,32,57,1,1,-1,14336,0,8388608,12,527360,1,6,0.05,0.98
67,3,12,2094080,8,2,3,0,8,32,44,1,1,100000,13312,0,8388608,12,552960,1,5,0.1,0.96
68,8,13,2094080,8,2,3,0,8,32,42,1,1,-1,15360,1,8388608,12,530432,1,5,0.15,0.99
69,5,13,2083840,8,2,3,0,8,32,43,1,1,10000,16384,0,8388608,12,541696,1,5,0.15,0.99
70,2,5,2083840,8,2,3,0,8,32,59,1,1,-1,14336,1,8388608,12,527360,2,6,0.15,0.99
71,5,7,2096128,8,2,3,0,8,31,60,1,1,10000,16384,1,8388608,12,530432,2,6,0.1,0.98
72,6,16,2073600,8,2,3,0,8,32,63,1,1,10000,16384,1,8388608,12,536576,1,5,0.1,0.99
73,2,9,2078720,8,2,3,0,8,31,54,1,1,10000,16384,1,8388608,12,530432,2,6,0.1,0.98
74,4,15,2094080,8,2,3,0,8,32,51,1,1,100000,16384,0,8388608,12,526336,1,5,0,0.99
75,4,12,2096128,8,2,3,0,8,30,64,1,1,10000,16384,1,8388608,12,541696,2,5,0.1,0.98
76,3,10,2084864,8,2,3,0,8,32,59,1,1,100000,16384,1,8388608,12,577536,2,5,0.15,0.98
77,2,9,2083840,8,2,3,0,8,32,56,1,1,100000,13312,0,8388608,12,530432,1,6,0.15,0.99
78,4,15,2094080,8,2,3,0,8,32,62,1,1,100000,15360,1,8388608,12,527360,2,5,0,0.99
79,2,13,2083840,8,2,3,0,8,32,48,1,0,10000,15360,0,8388608,12,536576,1,6,0.1,0.99
80,2,6,2083840,8,2,3,0,8,31,62,1,1,10000,16384,1,8388608,12,540672,2,6,0.05,0.98
81,4,16,2096128,8,2,3,0,8,32,57,1,1,-1,16384,1,8388608,12,536576,2,7,0.1,0.99
82,4,15,2096128,8,2,3,0,8,32,60,1,1,10000,16384,1,8388608,11,536576,2,5,0.2,0.99
83,3,14,2094080,8,2,3,0,8,30,59,1,1,100000,16384,1,8388608,12,528384,2,6,0,0.99
84,2,15,2084864,8,2,3,0,8,32,58,1,1,10000,16384,1,8388608,12,652288,2,5,0,0.99
85,7,9,2096128,8,2,3,0,8,32,60,1,1,-1,16384,1,8388608,12,530432,2,5,0.15,0.98
86,2,8,2068480,8,2,3,0,8,32,51,1,1,10000,15360,1,8388608,12,562176,1,5,0.2,0.98
87,5,9,2083840,8,2,3,0,8,32,35,1,1,-1,15360,1,8388608,12,536576,1,5,0.15,0.99
88,4,11,2096128,8,2,3,0,8,32,42,1,0,100000,15360,0,8388608,12,530432,1,6,0.05,0.98
89,6,16,2096128,8,2,3,0,8,32,55,1,1,10000,16384,0,8388608,12,552960,1,6,0.2,0.99
90,4,14,2096128,8,2,3,0,8,32,58,1,1,-1,12288,1,8388608,12,530432,1,5,0.2,0.99
91,4,1,2096128,8,2,3,0,8,32,56,1,1,10000,15360,1,8388608,12,530432,1,5,0.2,0.98
92,5,15,2068480,8,2,3,0,8,32,64,1,1,-1,16384,1,8388608,12,530432,2,6,0.1,0.96
93,7,16,2096128,8,2,3,0,8,32,55,1,1,10000,12288,0,8388608,12,552960,1,6,0.1,0.99
94,3,8,2083840,8,2,3,0,8,32,50,1,1,10000,16384,0,8388608,12,552960,1,5,0.2,0.99
95,3,14,2083840,8,2,3,0,8,32,64,1,1,-1,16384,0,8388608,12,530432,1,5,0,0.97
96,2,9,2083840,8,2,3,0,8,32,60,0,1,10000,16384,1,8388608,12,536576,2,5,0.15,0.99
97,3,8,2094080,8,2,3,0,8,32,34,1,1,-1,16384,1,8388608,12,530432,1,5,0.2,0.99
98,2,1,2096128,8,2,3,0,8,32,53,1,1,100000,15360,1,8388608,12,527360,1,5,0.15,0.99
99,2,13,2073600,8,2,3,0,8,31,64,1,1,-1,16384,0,8388608,12,526336,1,5,0.2,0.99
100,2,4,2068480,8,2,3,0,8,32,49,1,1,10000,16384,1,8388608,12,527360,2,5,0.15,0.99
101,2,10,2096128,8,2,3,0,8,32,57,1,1,10000,15360,1,8388608,12,550912,1,6,0.2,0.99
102,4,13,2096128,8,2,3,0,8,32,58,1,1,10000,16384,1,8388608,12,693248,2,5,0.05,0.98
103,2,15,2096128,8,2,3,0,8,32,64,1,1,10000,16384,0,8388608,12,526336,1,7,0.1,0.98
104,4,11,2096128,8,2,3,0,8,32,53,1,1,100000,15360,1,8388608,11,530432,1,5,0.2,0.98
105,2,9,2096128,8,2,3,0,8,32,53,1,1,100000,15360,1,8388608,12,530432,1,6,0.15,0.97
106,4,16,2096128,8,2,3,0,8,32,51,1,1,-1,16384,1,8388608,11,536576,2,5,0.15,0.99
107,3,12,2083840,7,2,3,0,8,32,64,1,1,-1,16384,0,8388608,12,529408,1,5,0.1,0.98
108,2,9,2083840,8,2,3,0,8,32,38,1,1,10000,14336,0,8388608,12,527360,1,5,0.2,0.98
109,2,9,2083840,8,2,3,0,8,32,40,1,1,100000,16384,1,8388608,12,644096,1,5,0.15,0.98
110,2,12,2083840,8,2,3,0,8,32,61,1,1,100000,16384,0,8388608,11,530432,1,5,0.1,0.98
111,5,12,2083840,8,2,3,0,8,31,61,1,1,100000,14336,1,8388608,12,530432,1,5,0.2,0.98
112,2,11,2096128,8,2,3,0,8,30,50,1,1,-1,16384,1,8388608,12,540672,2,6,0.05,0.98
113,2,12,2073600,8,2,3,0,8,32,59,1,1,-1,16384,1,8388608,12,530432,1,6,0.15,0.96
114,2,13,2073600,8,2,3,0,8,31,42,1,1,10000,15360,0,8388608,12,562176,1,5,0.2,0.98
115,2,16,2068480,8,2,3,0,8,32,57,1,1,-1,14336,0,8388608,12,527360,1,6,0.15,0.98
116,2,16,2083840,8,2,3,0,8,32,51,1,1,100000,16384,1,8388608,11,536576,1,5,0.15,0.99
