,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,15,14,1692672,7,2,1,0,8,32,64,0,1,100000,16384,1,8388608,12,2048000,1,7,0.2,0.0
1,16,5,1649664,8,2,0,0,8,32,64,0,1,10000,10240,1,8388608,12,2063360,2,8,0.2,0.0
2,11,13,1815552,6,2,0,0,8,32,64,0,1,100000,11264,1,8388608,12,2063360,1,8,0.15,0.0
3,6,14,2085888,4,2,0,0,8,32,63,0,1,100000,16384,1,8388608,12,2048000,1,8,0.2,0.0
4,16,1,2085888,6,2,0,0,8,32,62,0,1,100000,16384,1,8388608,12,2063360,1,8,0.15,0.0
5,16,12,1825792,7,2,1,0,8,31,64,0,1,10000,14336,1,8388608,12,2063360,1,8,0.15,0.0
6,15,14,2067456,6,2,0,0,8,32,64,0,1,10000,15360,1,8388608,12,1943552,2,8,0.2,0.0
7,15,11,1518592,8,2,0,0,8,29,64,0,1,10000,16384,1,8388608,12,2063360,1,8,0.2,0.0
8,15,1,2061312,6,2,0,0,8,32,64,0,1,10000,8192,1,8388608,12,2063360,1,8,0.15,0.0
9,15,11,2067456,6,2,0,0,8,32,64,0,1,-1,15360,1,8388608,12,2063360,2,8,0.15,0.0
10,16,5,1649664,8,2,0,0,8,31,64,0,1,-1,10240,1,8388608,12,2063360,2,8,0.2,0.0
11,15,7,2085888,6,2,0,0,8,32,64,0,1,-1,9216,1,8388608,12,2063360,1,8,0.15,0.0
12,16,14,2085888,6,2,0,0,8,32,64,0,1,-1,15360,1,8388608,12,2063360,2,8,0.15,0.0
13,15,14,1692672,7,2,0,0,8,32,55,0,1,100000,13312,1,8388608,12,2063360,1,8,0.15,0.0
14,15,1,2061312,6,2,0,0,8,32,61,0,1,10000,14336,1,8388608,12,2063360,1,8,0.15,0.0
15,11,13,2066432,5,2,0,0,8,32,60,0,1,-1,3072,1,8388608,12,2048000,1,8,0.2,0.0
