,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,10,1,1783808,4,2,3,0,8,16,55,3,1,1000000,14336,0,8388608,8,1070080,1,5,0,0.0
1,7,4,2016256,4,2,3,0,8,17,60,3,1,1000000,8192,0,8388608,8,1327104,2,5,0,0.0
2,8,1,1889280,4,2,3,0,8,17,63,3,1,1000000,3072,0,8388608,8,945152,1,5,0,0.0
3,10,1,1889280,4,2,3,0,8,16,55,3,1,1000000,6144,0,8388608,8,735232,2,5,0,0.01
4,10,1,2041856,4,2,2,0,8,16,48,3,1,10000,4096,0,8388608,8,885760,2,5,0,0.0
5,9,1,2017280,4,2,3,0,8,17,63,3,1,10000,5120,0,8388608,8,1404928,2,5,0,0.0
6,8,2,1889280,4,2,3,0,8,19,62,3,1,100000,6144,0,8388608,8,1020928,2,5,0,0.0
7,8,1,1889280,6,2,2,0,8,16,55,3,1,1000000,7168,0,8388608,8,1779712,2,5,0,0.0
8,10,2,2041856,4,2,2,0,8,16,62,3,1,10000,3072,0,8388608,8,885760,2,5,0,0.01
9,9,3,1889280,5,2,3,0,8,17,51,3,1,1000000,7168,0,8388608,8,1768448,1,5,0,0.0
10,13,1,2017280,4,2,3,0,8,16,47,3,1,10000,4096,0,8388608,8,1404928,1,5,0,0.0
11,14,2,2048000,4,2,3,0,8,17,51,3,0,10000,7168,0,8388608,8,1738752,1,5,0,0.0
12,12,1,1889280,4,2,3,0,8,17,58,3,1,-1,3072,0,8388608,8,945152,1,5,0,0.0
13,10,2,2041856,4,2,2,0,8,18,55,3,1,10000,4096,0,8388608,8,1886208,1,5,0,0.0
14,10,3,1889280,4,2,2,0,8,17,42,3,1,1000000,16384,0,8388608,8,1747968,1,5,0,0.0
15,9,1,1987584,4,2,3,0,8,17,63,3,1,100000,5120,0,8388608,8,1404928,2,5,0,0.0
