,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,16,2,2085888,7,2,2,0,7,32,40,3,0,10000,11264,1,4194304,11,2042880,2,5,0.2,0.02
1,15,1,2085888,6,2,2,0,8,32,41,3,0,10000,10240,1,4194304,11,1923072,2,5,0.2,0.01
2,16,1,2077696,7,2,2,0,7,32,38,3,0,100000,12288,1,3145728,11,1827840,2,5,0.2,0.02
3,15,1,2077696,7,2,2,0,8,31,32,3,0,100000,11264,1,5242880,10,2091008,2,7,0.2,0.0
4,13,1,2096128,6,2,2,0,8,32,40,3,0,10000,8192,1,4194304,11,2023424,2,6,0.2,0.02
5,15,1,1968128,7,2,3,0,8,32,44,3,0,-1,14336,1,4194304,11,2014208,2,5,0.2,0.0
6,15,1,2085888,6,2,2,0,8,32,41,3,0,-1,13312,1,5242880,12,2091008,2,5,0.2,0.0
7,15,1,2077696,7,2,3,0,8,32,48,3,0,-1,15360,1,5242880,11,2071552,2,5,0.2,0.02
8,16,1,2077696,6,2,3,0,8,32,39,3,0,10000,11264,1,3145728,10,1941504,2,6,0.2,0.02
9,16,1,2077696,6,2,3,0,8,32,41,3,0,-1,13312,1,5242880,12,1923072,2,6,0.2,0.0
10,15,1,1968128,7,2,3,0,8,32,34,3,0,-1,14336,1,4194304,11,2014208,2,7,0.2,0.0
11,13,1,2085888,6,2,2,0,8,32,42,3,0,100000,12288,1,4194304,11,1923072,2,6,0.2,0.0
12,16,2,2085888,6,2,3,0,8,32,32,3,0,-1,11264,1,3145728,11,2071552,2,6,0.2,0.02
13,15,1,2077696,7,2,2,0,8,31,33,3,0,100000,10240,1,4194304,10,2095104,2,6,0.2,0.01
14,15,1,2077696,7,2,3,0,8,32,41,3,0,-1,14336,1,4194304,10,1923072,2,6,0.2,0.0
15,15,1,2073600,7,2,2,0,7,32,34,3,0,-1,12288,1,3145728,12,2071552,2,6,0.2,0.02
16,16,1,2077696,6,2,3,0,8,32,41,3,0,-1,11264,1,4194304,11,2071552,2,5,0.2,0.02
17,15,1,2077696,7,2,3,0,8,31,35,3,0,-1,13312,1,3145728,11,2065408,2,6,0.2,0.01
18,15,1,1968128,7,2,2,0,8,32,41,3,0,-1,12288,1,4194304,10,1901568,2,5,0.2,0.01
19,16,1,2077696,6,2,3,0,8,32,41,3,0,100000,14336,1,4194304,10,2023424,2,5,0.2,0.01
20,15,1,2085888,6,2,3,0,8,32,41,3,0,10000,10240,1,5242880,11,1941504,2,8,0.2,0.0
21,16,1,2077696,6,2,3,0,8,32,57,3,0,1000000,10240,1,6291456,10,2091008,2,7,0.2,0.0
22,16,1,2085888,6,2,2,0,8,32,39,3,0,-1,12288,1,4194304,12,2089984,2,7,0.2,0.0
23,16,1,2096128,7,2,2,0,8,32,38,3,0,100000,8192,1,4194304,11,2071552,2,6,0.2,0.02
24,16,4,2077696,6,2,3,0,8,31,32,3,0,-1,12288,1,3145728,11,2091008,2,7,0.2,0.0
25,15,2,2077696,7,2,3,0,8,32,41,3,0,100000,14336,1,4194304,10,2023424,2,5,0.2,0.01
26,12,1,2077696,6,2,2,0,8,32,41,3,0,10000,10240,1,5242880,11,1908736,2,5,0.2,0.0
27,15,4,2085888,6,2,2,0,8,32,41,3,0,-1,16384,1,5242880,9,2091008,1,5,0.2,0.0
28,16,3,2077696,7,2,3,0,8,32,55,3,0,1000000,16384,1,6291456,8,2040832,2,6,0.2,0.02
29,15,2,2008064,7,2,2,0,8,32,37,3,0,-1,10240,1,4194304,12,2059264,2,6,0.2,0.02
30,16,1,2096128,7,2,2,0,8,32,37,3,0,1000000,11264,1,6291456,8,2040832,2,8,0.2,0.02
31,13,1,2077696,6,2,2,0,8,32,34,3,0,-1,8192,1,3145728,11,1846272,2,7,0.2,0.02
32,16,2,2077696,6,2,3,0,8,32,38,3,0,10000,14336,1,4194304,12,2063360,2,7,0.2,0.0
33,15,6,2085888,6,2,2,0,8,32,32,3,1,-1,16384,1,2097152,10,2091008,1,5,0.2,0.0
34,15,1,1968128,7,2,2,0,8,32,34,3,0,-1,9216,1,4194304,12,2059264,2,6,0.2,0.01
35,15,1,2077696,7,2,3,0,8,31,58,3,0,1000000,14336,1,7340032,9,2071552,2,6,0.2,0.02
36,16,1,2096128,7,2,2,0,8,32,37,3,0,100000,8192,1,4194304,12,2024448,2,6,0.15,0.0
37,16,1,2077696,6,2,2,0,8,32,40,3,0,100000,12288,1,4194304,10,2071552,2,6,0.2,0.02
38,16,1,2085888,6,2,3,0,8,32,32,3,0,100000,12288,1,4194304,11,2079744,2,7,0.2,0.05
39,16,1,2077696,6,2,3,0,8,32,43,3,0,10000,11264,1,3145728,11,1941504,2,5,0.2,0.02
40,13,2,2059264,7,2,2,0,8,32,41,3,0,100000,12288,1,4194304,11,2071552,2,6,0.2,0.02
41,15,1,2077696,7,2,2,0,8,30,40,3,0,10000,11264,1,4194304,11,2035712,2,5,0.2,0.02
42,16,1,2085888,6,2,2,0,8,32,37,3,0,100000,12288,1,4194304,11,1923072,1,5,0.2,0.0
43,15,1,2067456,7,2,2,0,8,32,41,3,0,10000,10240,1,4194304,11,1923072,2,6,0.2,0.0
44,15,1,1968128,6,2,2,0,8,32,34,3,0,100000,10240,1,3145728,11,2071552,2,7,0.2,0.02
45,15,3,1968128,7,2,2,0,8,32,44,3,0,100000,14336,1,3145728,10,2045952,2,5,0.2,0.01
46,15,1,2077696,7,2,3,0,8,31,39,3,0,-1,14336,1,3145728,11,2091008,2,5,0.2,0.0
47,15,2,2077696,7,2,3,0,8,32,38,3,0,10000,13312,1,4194304,12,2063360,2,7,0.2,0.0
48,15,1,2085888,6,2,3,0,8,32,54,3,0,100000,11264,1,6291456,11,2071552,2,6,0.15,0.02
49,16,1,2077696,8,2,3,0,8,32,40,3,0,10000,16384,1,4194304,10,2023424,2,5,0.2,0.01
50,16,2,2085888,6,2,3,0,8,32,32,3,0,-1,14336,1,3145728,11,1922048,2,6,0.2,0.02
51,14,1,2077696,6,2,2,0,7,32,32,3,0,10000,6144,1,3145728,12,1908736,2,7,0.2,0.01
52,16,1,2077696,8,2,2,0,8,32,40,3,0,100000,11264,1,4194304,11,2035712,2,5,0.2,0.02
53,16,2,2085888,8,2,3,0,8,32,40,3,0,-1,16384,1,5242880,9,2091008,1,5,0.2,0.0
54,15,4,2085888,7,2,2,0,8,32,46,3,0,10000,13312,1,3145728,11,1993728,2,5,0.2,0.0
55,16,1,2077696,6,2,3,0,8,32,52,3,0,-1,15360,1,4194304,10,1836032,2,5,0.2,0.01
56,15,4,2085888,7,2,2,0,8,32,41,3,0,-1,13312,1,3145728,12,2045952,2,5,0.2,0.01
57,15,1,2085888,7,2,2,0,6,32,33,3,0,10000,10240,1,4194304,12,2002944,2,6,0.2,0.0
58,16,2,2077696,6,2,3,0,8,32,36,3,0,10000,14336,1,5242880,12,2063360,2,7,0.2,0.0
59,16,2,2085888,7,2,3,0,8,32,54,3,0,10000,14336,1,4194304,10,2025472,2,5,0.2,0.03
60,15,1,1968128,7,2,3,0,8,31,32,3,0,-1,12288,1,3145728,11,2091008,2,7,0.2,0.0
61,13,1,2077696,7,2,2,0,8,32,34,3,0,-1,12288,1,4194304,10,1910784,2,5,0.2,0.01
62,15,1,2085888,7,2,2,0,8,32,33,3,0,10000,10240,1,4194304,11,2002944,2,7,0.15,0.01
63,14,2,2077696,8,2,2,0,8,32,32,3,0,-1,13312,1,3145728,10,2045952,2,5,0.2,0.01
