,max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,compaction_pri,compaction_style,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,compression_type,bloom_locality,open_files,block_size,cache_index_and_filter_blocks,max_bytes_for_level_base,max_bytes_for_level_multiplier,target_file_size_base,target_file_size_multiplier,num_levels,memtable_bloom_size_ratio,compression_ratio
0,16,8,1992704,5,2,0,0,8,20,40,1,0,10000,14336,0,8388608,12,538624,1,7,0.15,0.01
1,16,15,1992704,5,2,0,0,8,20,43,1,0,10000,16384,0,8388608,11,799744,1,7,0.2,0.01
2,16,11,2022400,6,2,0,0,8,18,47,1,0,10000,12288,0,8388608,12,537600,1,7,0,0.05
3,16,13,1992704,5,2,0,0,8,20,43,1,0,10000,14336,0,8388608,12,901120,1,6,0.15,0.0
4,15,11,2055168,7,2,0,0,8,17,43,1,0,10000,14336,0,8388608,12,760832,1,8,0.05,0.01
5,12,11,2055168,5,2,0,0,8,19,62,1,0,-1,10240,0,8388608,12,538624,1,8,0.1,0.09
6,16,12,1973248,5,2,0,0,8,20,57,1,0,100000,10240,0,8388608,11,568320,1,7,0.15,0.03
7,16,16,2022400,6,2,0,0,8,18,46,1,0,-1,14336,0,8388608,12,874496,1,8,0.15,0.05
8,15,11,2055168,5,2,0,0,8,17,57,1,0,10000,14336,0,8388608,11,856064,1,7,0.2,0.03
9,16,12,1973248,5,2,1,0,8,20,44,1,0,100000,14336,0,8388608,12,856064,1,7,0.15,0.03
10,14,15,1973248,6,2,0,0,8,20,57,1,0,-1,12288,0,8388608,12,988160,1,7,0.15,0.03
11,15,11,2055168,7,2,0,0,8,17,61,1,0,10000,16384,0,8388608,12,609280,1,8,0.15,0.13
12,12,11,2055168,5,2,0,0,8,23,58,1,0,10000,16384,0,8388608,12,609280,1,8,0.15,0.05
13,11,15,2055168,6,2,0,0,8,18,55,1,0,10000,13312,0,8388608,12,908288,1,8,0.15,0.01
14,15,14,1992704,5,2,0,0,8,23,59,1,0,10000,9216,0,8388608,12,1177600,1,8,0.15,0.05
15,11,16,2022400,6,2,0,0,8,18,46,1,0,10000,14336,0,8388608,12,609280,1,8,0.2,0.05
