,WAF
1,6.4
2,6.2
3,9.9
4,10.8
5,6.9
6,6.7
7,5.9
8,6.8
9,6.2
10,13.3
11,6.0
12,5.7
13,5.7
14,4.7
15,5.8
16,5.7
17,5.9
18,4.9
19,10.1
20,5.4
21,9.8
22,7.0
23,5.6
24,16.5
25,5.1
26,5.7
27,5.5
28,5.0
29,5.6
30,5.6
31,6.1
32,5.9
33,10.9
34,6.6
35,7.0
36,6.5
37,6.7
38,4.7
39,6.1
40,5.6
41,5.4
42,6.1
43,6.3
44,9.8
45,5.7
46,6.4
47,5.7
48,6.7
49,7.0
50,5.7
51,4.7
52,4.3
53,5.8
54,4.5
55,5.6
56,4.9
57,5.6
58,6.1
59,5.6
60,11.0
61,6.7
62,4.8
63,5.0
64,6.0
65,5.5
66,10.3
67,9.5
68,8.0
69,11.2
70,4.1
71,10.5
72,9.8
73,6.2
74,7.0
75,5.8
76,5.5
77,5.6
78,4.8
79,5.9
80,5.0
81,5.2
82,5.8
83,6.0
84,4.2
85,6.4
86,6.2
87,5.5
88,6.1
89,6.2
90,5.2
91,5.9
92,6.2
93,6.0
94,9.3
95,6.8
96,6.2
97,5.8
98,6.6
99,4.9
100,5.7
101,5.5
102,6.9
103,6.0
104,10.7
105,6.2
106,4.6
107,6.7
108,5.8
109,4.5
110,11.1
111,10.2
112,5.2
113,5.2
114,6.1
115,7.3
116,6.3
117,4.7
118,10.6
119,6.3
120,5.2
121,4.9
122,5.1
123,5.9
124,6.2
125,5.0
126,5.8
127,13.0
128,5.5
129,6.9
130,6.1
131,5.4
132,4.3
133,7.1
134,9.6
135,6.1
136,9.6
137,6.7
138,10.4
139,5.7
140,5.9
141,4.8
142,4.8
143,5.1
144,6.8
145,6.7
146,11.4
147,6.6
148,5.3
149,5.3
150,5.9
151,7.0
152,5.1
153,5.1
154,11.0
155,5.5
156,6.2
157,19.7
158,6.3
159,4.9
160,5.9
161,5.9
162,10.4
163,9.7
164,6.1
165,6.4
166,6.9
167,6.3
168,5.6
169,5.6
170,5.4
171,6.4
172,5.8
173,5.7
174,4.9
175,6.1
176,5.4
177,5.3
178,4.8
179,10.4
180,4.5
181,5.4
182,6.6
183,9.6
184,10.7
185,4.1
186,5.5
187,6.7
188,9.9
189,9.8
190,10.2
191,9.8
192,6.7
193,4.9
194,5.5
195,5.9
196,7.2
197,9.6
198,10.9
199,4.9
200,11.9
201,4.9
202,6.1
203,5.9
204,5.4
205,5.9
206,10.2
207,6.2
208,6.2
209,5.5
210,6.2
211,6.2
212,5.5
213,9.7
214,6.6
215,6.2
216,5.5
217,6.1
218,6.7
219,7.0
220,5.3
221,6.1
222,9.3
223,6.7
224,6.4
225,6.1
226,11.1
227,5.8
228,5.7
229,6.2
230,5.6
231,6.1
232,9.8
233,7.0
234,4.9
235,6.3
236,9.7
237,5.2
238,7.0
239,7.2
240,10.4
241,6.5
242,5.8
243,10.4
244,5.6
245,6.6
246,4.5
247,5.6
248,10.4
249,6.1
250,5.8
251,5.5
252,5.0
253,4.8
254,6.4
255,10.3
256,10.6
257,6.7
258,10.2
259,5.2
260,10.9
261,5.8
262,5.9
263,6.8
264,6.3
265,6.2
266,7.0
267,4.8
268,5.5
269,4.8
270,5.6
271,5.5
272,5.8
273,10.3
274,13.6
275,5.2
276,5.9
277,4.7
278,6.4
279,6.3
280,7.0
281,5.5
282,6.4
283,9.0
284,4.8
285,5.9
286,5.5
287,5.6
288,4.8
289,5.4
290,10.0
291,6.1
292,10.7
293,6.0
294,10.1
295,10.3
296,4.6
297,10.1
298,5.6
299,5.6
300,6.4
301,5.4
302,4.5
303,6.6
304,5.6
305,5.5
306,10.0
307,9.1
308,6.7
309,6.5
310,5.0
311,4.7
312,5.4
313,6.7
314,11.0
315,5.4
316,7.0
317,5.9
318,5.7
319,9.9
320,6.1
321,10.5
322,6.5
323,6.0
324,5.6
325,5.3
326,10.2
327,8.4
328,5.9
329,7.0
330,6.9
331,7.0
332,5.4
333,11.0
334,10.7
335,5.8
336,5.4
337,11.3
338,5.5
339,5.7
340,6.2
341,5.4
342,9.6
343,6.3
344,5.7
345,5.2
346,5.5
347,6.7
348,4.9
349,10.4
350,4.8
351,9.2
352,6.4
353,9.9
354,6.7
355,5.5
356,5.9
357,11.7
358,6.6
359,5.8
360,5.6
361,4.8
362,9.6
363,3.9
364,5.9
365,6.0
366,6.2
367,5.7
368,5.7
369,14.1
370,5.9
371,5.6
372,6.2
373,10.0
374,5.5
375,5.1
376,5.5
377,5.8
378,5.1
379,6.3
380,9.6
381,5.7
382,5.5
383,4.8
384,10.3
385,5.9
386,6.6
387,10.1
388,5.5
389,11.1
390,4.5
391,10.0
392,5.8
393,5.1
394,6.2
395,5.6
396,4.7
397,10.3
398,4.9
399,4.7
400,10.1
401,6.6
402,6.6
403,7.1
404,6.3
405,10.8
406,4.1
407,6.1
408,5.8
409,6.6
410,10.6
411,4.8
412,4.9
413,10.6
414,5.3
415,6.4
416,10.4
417,5.8
418,10.5
419,5.7
420,6.0
421,5.7
422,10.9
423,4.7
424,5.0
425,10.5
426,5.4
427,4.7
428,11.8
429,5.9
430,9.5
431,5.6
432,6.2
433,5.7
434,6.7
435,5.6
436,5.3
437,5.0
438,5.7
439,5.4
440,5.4
