,WAF
1,9.8
2,5.9
3,6.5
4,12.0
5,6.0
6,6.6
7,5.9
8,5.1
9,5.6
10,13.3
11,5.9
12,5.6
13,5.7
14,5.4
15,5.8
16,5.7
17,5.9
18,5.7
19,11.8
20,5.4
21,8.3
22,8.7
23,5.5
24,16.5
25,5.1
26,5.7
27,5.5
28,5.0
29,6.0
30,5.6
31,5.8
32,5.9
33,10.9
34,5.1
35,9.5
36,4.9
37,6.4
38,6.0
39,6.0
40,5.8
41,5.3
42,6.1
43,6.0
44,8.4
45,7.6
46,5.0
47,5.3
48,6.2
49,7.6
50,5.7
51,5.1
52,5.1
53,5.7
54,5.9
55,5.6
56,5.2
57,5.6
58,6.1
59,5.0
60,8.6
61,9.1
62,4.8
63,5.0
64,5.7
65,5.5
66,6.4
67,9.5
68,8.0
69,11.2
70,4.1
71,10.3
72,9.8
73,5.7
74,11.5
75,4.9
76,5.5
77,5.7
78,5.9
79,6.0
80,5.0
81,5.6
82,5.2
83,5.8
84,5.3
85,6.0
86,5.3
87,5.8
88,5.4
89,9.4
90,5.2
91,4.7
92,5.6
93,6.0
94,7.4
95,5.5
96,5.7
97,6.0
98,5.1
99,4.9
100,5.7
101,5.1
102,9.5
103,5.6
104,8.6
105,6.2
106,5.3
107,6.7
108,4.8
109,5.3
110,9.3
111,8.3
112,5.2
113,5.2
114,5.2
115,8.4
116,9.7
117,4.7
118,10.2
119,5.1
120,6.0
121,4.9
122,5.7
123,5.9
124,6.2
125,5.2
126,5.9
127,13.0
128,5.1
129,5.6
130,5.8
131,5.4
132,6.0
133,11.9
134,8.2
135,5.9
136,9.6
137,5.7
138,8.0
139,5.7
140,5.9
141,4.8
142,5.2
143,5.6
144,5.8
145,6.7
146,11.4
147,9.4
148,5.9
149,5.3
150,5.6
151,5.6
152,5.1
153,5.1
154,12.2
155,5.0
156,6.2
157,19.7
158,5.7
159,5.8
160,5.0
161,5.9
162,9.7
163,9.7
164,5.4
165,6.1
166,5.2
167,5.1
168,5.1
169,7.8
170,5.5
171,6.5
172,5.8
173,5.3
174,5.3
175,6.1
176,5.4
177,5.3
178,4.7
179,11.2
180,4.5
181,5.3
182,5.0
183,9.0
184,11.7
185,4.1
186,5.5
187,5.0
188,8.1
189,6.0
190,8.7
191,8.0
192,6.7
193,5.7
194,5.5
195,5.9
196,7.8
197,9.6
198,12.0
199,4.9
200,11.9
201,5.7
202,6.0
203,5.9
204,5.4
205,5.9
206,6.2
207,6.1
208,9.5
209,4.8
210,5.9
211,5.3
212,5.5
213,7.9
214,6.2
215,6.2
216,9.2
217,6.1
218,6.5
219,5.9
220,5.3
221,5.9
222,8.6
223,9.0
224,5.5
225,5.7
226,8.5
227,6.0
228,6.0
229,5.8
230,5.2
231,5.7
232,5.7
233,9.4
234,4.9
235,6.0
236,9.7
237,5.2
238,4.4
239,10.4
240,8.5
241,6.6
242,5.9
243,6.1
244,5.6
245,6.6
246,5.9
247,5.6
248,10.4
249,5.1
250,5.4
251,5.5
252,5.0
253,5.6
254,5.2
255,6.6
256,10.4
257,6.4
258,10.2
259,5.2
260,9.3
261,5.4
262,5.9
263,5.3
264,9.6
265,5.6
266,6.6
267,5.9
268,5.6
269,5.7
270,5.6
271,5.5
272,5.8
273,6.2
274,13.6
275,5.7
276,5.8
277,4.7
278,6.3
279,6.2
280,9.0
281,5.5
282,7.8
283,9.0
284,5.2
285,5.4
286,5.1
287,5.1
288,5.1
289,5.4
290,8.3
291,5.8
292,12.0
293,6.0
294,10.8
295,6.5
296,4.6
297,6.1
298,5.7
299,5.6
300,6.4
301,4.9
302,4.5
303,5.7
304,5.4
305,5.9
306,9.9
307,9.1
308,5.3
309,5.1
310,5.0
311,5.1
312,5.4
313,6.7
314,11.6
315,5.4
316,11.1
317,5.9
318,5.6
319,6.2
320,5.5
321,11.7
322,5.1
323,6.0
324,5.3
325,5.3
326,11.0
327,7.8
328,5.0
329,11.4
330,6.0
331,9.6
332,5.9
333,11.0
334,11.7
335,5.1
336,5.4
337,11.3
338,5.0
339,5.7
340,5.7
341,5.4
342,9.6
343,6.2
344,5.3
345,5.2
346,5.0
347,5.4
348,5.4
349,11.8
350,5.3
351,8.2
352,5.6
353,7.0
354,5.8
355,5.8
356,5.2
357,11.7
358,6.1
359,5.8
360,7.7
361,4.8
362,9.6
363,6.0
364,5.9
365,5.1
366,5.4
367,5.7
368,5.2
369,14.1
370,5.9
371,5.6
372,5.9
373,7.9
374,5.5
375,5.1
376,5.7
377,5.8
378,5.1
379,5.6
380,9.2
381,5.7
382,5.5
383,5.5
384,9.4
385,5.9
386,5.8
387,10.1
388,5.5
389,8.4
390,4.5
391,7.6
392,4.6
393,5.1
394,4.9
395,5.6
396,4.7
397,11.6
398,4.9
399,4.8
400,9.4
401,6.7
402,6.6
403,8.2
404,8.9
405,10.9
406,4.9
407,5.6
408,5.0
409,5.5
410,8.0
411,5.9
412,5.1
413,10.6
414,5.3
415,5.5
416,6.3
417,5.8
418,5.4
419,5.7
420,6.0
421,5.8
422,7.9
423,4.7
424,5.0
425,10.6
426,5.5
427,5.3
428,11.8
429,4.5
430,9.5
431,5.8
432,5.4
433,9.3
434,5.5
435,6.0
436,5.3
437,5.0
438,5.7
439,5.4
440,5.4
441,5.5
442,9.7
443,5.8
444,5.5
445,6.7
446,7.6
447,9.0
448,5.6
449,4.8
450,5.6
451,6.7
452,5.2
453,11.1
454,4.7
455,9.3
456,13.0
457,5.8
458,9.5
459,7.7
460,11.7
461,5.5
462,5.1
463,5.6
464,6.0
465,5.6
466,6.0
467,6.6
468,4.9
469,5.8
470,4.9
471,5.2
472,4.9
473,5.5
474,5.1
475,5.4
476,4.6
477,7.8
478,6.3
479,6.3
480,5.6
481,10.6
482,4.5
483,5.5
484,11.4
485,5.5
486,6.7
487,6.1
488,5.2
489,5.8
490,5.5
491,5.9
492,5.6
493,6.4
494,6.3
495,4.5
496,6.2
497,9.6
498,9.6
499,7.9
500,6.0
501,5.4
502,9.7
503,9.5
504,11.5
505,5.6
506,5.2
507,8.6
508,6.0
509,6.2
510,5.1
511,4.9
512,9.6
513,4.8
514,5.9
515,4.8
516,4.8
517,6.0
518,6.1
519,6.0
520,5.7
521,10.2
522,9.2
523,9.8
524,5.8
525,6.0
526,5.7
527,5.8
528,5.6
529,5.1
530,12.2
531,5.8
532,10.9
533,5.9
534,4.5
535,11.9
536,12.2
537,5.2
538,6.2
539,5.6
540,4.7
541,9.3
542,9.7
543,5.2
544,6.4
545,5.5
546,4.0
547,9.9
548,5.8
549,11.3
550,10.1
551,9.6
552,5.7
553,6.6
554,5.2
555,11.9
556,6.2
557,5.8
558,6.5
559,5.1
560,5.5
561,9.8
562,5.5
563,11.7
564,5.9
565,5.2
566,5.5
567,5.7
568,5.8
569,8.5
570,5.9
571,8.4
572,5.8
573,6.0
574,5.3
575,8.3
576,8.6
577,5.8
578,5.7
579,5.8
580,6.7
581,9.5
582,5.9
583,4.7
584,7.1
585,5.3
586,7.2
587,12.0
588,5.5
589,5.9
590,6.1
591,5.2
592,5.1
593,5.4
594,5.5
595,5.0
596,8.6
597,5.6
598,5.5
599,8.5
600,7.9
601,5.5
602,9.0
603,5.1
604,9.0
605,5.2
606,5.3
607,5.4
608,8.4
609,5.9
610,9.3
611,8.6
612,5.2
613,5.5
614,5.6
615,5.9
616,9.5
617,4.7
618,6.1
619,8.5
620,5.5
621,6.7
622,5.2
623,6.7
624,6.6
625,5.0
626,5.9
627,5.0
628,5.5
629,5.6
630,12.0
631,9.1
632,8.8
633,5.5
634,5.8
635,9.7
636,6.6
637,6.7
638,8.8
639,5.5
640,5.3
641,6.0
642,6.1
643,5.0
644,12.1
645,9.4
646,6.7
647,6.3
648,5.1
649,8.7
650,6.0
651,5.7
652,8.4
653,9.4
654,6.6
655,8.6
656,5.8
657,6.0
658,5.7
659,4.7
660,5.6
661,9.6
662,9.6
663,5.3
664,9.4
665,5.3
666,5.2
667,5.2
668,6.2
669,7.3
670,12.4
671,12.0
672,5.7
673,5.9
674,5.7
675,5.8
676,5.7
677,5.9
678,5.9
679,9.7
680,8.5
681,9.3
682,5.1
683,4.9
684,5.0
685,6.2
686,9.1
687,6.1
688,5.0
689,5.7
690,5.8
691,6.3
692,6.1
693,6.0
694,8.6
695,5.0
696,5.1
697,9.7
698,4.7
699,5.8
700,5.9
701,5.8
702,5.7
703,5.5
704,6.7
705,5.8
706,7.6
707,5.8
708,7.3
709,5.7
710,5.3
711,7.7
712,9.6
713,4.7
714,5.0
715,5.4
716,8.2
717,5.7
718,6.5
719,4.7
720,11.7
721,9.3
722,9.6
723,5.0
