,WAF
1,6.0
2,6.5
3,9.9
4,12.0
5,10.5
6,8.8
7,5.9
8,5.7
9,5.8
10,13.3
11,5.9
12,5.6
13,5.7
14,4.7
15,5.8
16,5.7
17,6.4
18,5.7
19,11.8
20,5.4
21,11.0
22,8.7
23,5.6
24,16.5
25,6.2
26,5.7
27,6.2
28,5.0
29,6.0
30,5.6
31,5.8
32,5.9
33,10.9
34,5.7
35,5.5
36,4.9
37,11.4
38,4.7
39,6.1
40,5.6
41,4.6
42,6.4
43,6.0
44,10.8
45,7.6
46,5.6
47,5.7
48,9.3
49,7.6
50,5.7
51,5.1
52,4.3
53,5.7
54,4.5
55,5.6
56,5.2
57,5.4
58,6.1
59,5.6
60,8.6
61,7.8
62,6.1
63,5.0
64,5.7
65,5.5
66,7.2
67,9.5
68,7.7
69,11.2
70,4.1
71,10.3
72,9.8
73,5.3
74,10.9
75,5.6
76,5.5
77,5.7
78,5.9
79,6.0
80,5.0
81,4.4
82,6.2
83,5.8
84,4.2
85,6.0
86,5.3
87,5.5
88,6.1
89,5.6
90,5.2
91,4.7
92,6.2
93,6.0
94,7.4
95,5.5
96,5.7
97,4.6
98,10.8
99,4.9
100,5.7
101,6.2
102,5.8
103,5.3
104,7.7
105,7.5
106,4.6
107,6.7
108,5.5
109,4.5
110,9.3
111,10.6
112,5.2
113,5.2
114,5.6
115,9.6
116,6.6
117,4.7
118,10.2
119,6.3
120,6.0
121,6.3
122,3.7
123,5.9
124,5.9
125,4.4
126,4.1
127,13.0
128,5.5
129,5.6
130,5.8
131,5.4
132,4.3
133,11.9
134,8.5
135,5.9
136,9.6
137,5.6
138,8.0
139,5.7
140,5.9
141,4.8
142,6.3
143,4.3
144,5.8
145,10.6
146,11.4
147,6.7
148,4.5
149,5.7
150,5.9
151,5.9
152,5.1
153,5.1
154,10.6
155,5.5
156,6.1
157,19.7
158,6.3
159,5.8
160,6.3
161,5.9
162,10.4
163,5.4
164,6.1
165,6.1
166,5.2
167,4.8
168,5.6
169,5.6
170,4.6
171,6.4
172,5.8
173,6.4
174,4.5
175,6.0
176,5.4
177,5.3
178,4.7
179,11.2
180,4.5
181,4.6
182,5.8
183,10.6
184,11.7
185,4.1
186,5.5
187,5.0
188,11.4
189,6.0
190,9.0
191,8.0
192,8.0
193,5.7
194,5.5
195,6.1
196,7.8
197,6.3
198,12.0
199,6.3
200,11.9
201,5.7
202,6.0
203,5.9
204,5.4
205,6.0
206,6.6
207,5.6
208,9.5
209,5.5
210,6.2
211,5.7
212,5.5
213,7.9
214,6.6
215,5.8
216,5.5
217,5.7
218,11.6
219,8.0
220,5.3
221,5.9
222,9.3
223,6.1
224,5.5
225,5.7
226,8.5
227,6.0
228,4.4
229,5.3
230,5.6
231,6.1
232,5.7
233,9.4
234,6.1
235,6.0
236,11.5
237,5.2
238,4.4
239,10.4
240,10.4
241,6.5
242,4.3
243,6.1
244,5.6
245,7.8
246,4.5
247,4.7
248,10.4
249,6.1
250,6.2
251,5.5
252,6.3
253,4.5
254,5.5
255,7.1
