,WAF
1,9.8
2,6.2
3,9.9
4,12.0
5,6.1
6,6.6
7,5.9
8,5.1
9,5.6
10,13.3
11,6.0
12,5.6
13,5.7
14,4.7
15,5.8
16,5.7
17,5.9
18,5.1
19,11.8
20,5.4
21,8.3
22,8.7
23,5.5
24,16.5
25,5.1
26,5.7
27,5.5
28,5.0
29,6.0
30,5.6
31,6.1
32,5.1
33,10.9
34,5.7
35,6.2
36,6.5
37,6.4
38,4.7
39,6.0
40,5.6
41,4.6
42,6.1
43,6.0
44,8.4
45,7.6
46,6.4
47,6.7
48,6.2
49,7.6
50,5.7
51,4.7
52,4.3
53,6.4
54,4.5
55,5.6
56,5.2
57,5.6
58,6.1
59,5.5
60,8.6
61,9.1
62,6.1
63,5.0
64,6.0
65,5.5
66,6.4
67,9.5
68,8.0
69,11.2
70,4.1
71,10.3
72,9.8
73,5.7
74,11.5
75,5.6
76,5.5
77,5.5
78,4.9
79,6.0
80,5.0
81,4.4
82,6.2
83,6.0
84,4.2
85,6.0
86,5.3
87,5.5
88,9.8
89,6.2
90,5.2
91,4.7
92,6.2
93,6.0
94,7.4
95,5.5
96,5.7
97,4.6
98,6.1
99,4.9
100,5.7
101,6.2
102,6.0
103,5.6
104,8.6
105,6.2
106,4.6
107,6.7
108,6.4
109,4.5
110,9.3
111,8.3
112,5.5
113,5.2
114,5.2
115,8.4
116,9.7
117,4.7
118,10.2
119,6.3
120,5.2
121,4.9
122,5.7
123,5.9
124,6.2
125,4.4
126,4.1
127,13.0
128,5.5
129,5.6
130,6.1
131,5.4
132,4.3
133,11.9
134,8.2
135,6.1
136,9.6
137,5.7
138,8.0
139,5.7
140,5.9
141,4.8
142,5.2
143,4.3
144,5.6
145,6.7
146,11.4
147,9.4
148,4.5
149,5.3
150,5.6
151,5.6
152,5.1
153,5.1
154,12.2
155,5.5
156,6.2
157,19.7
158,6.3
159,4.7
160,6.3
161,5.8
162,9.7
163,9.7
164,5.4
165,6.1
166,6.2
167,5.1
168,5.9
169,6.5
170,4.6
171,6.5
172,5.8
173,9.3
174,4.5
175,6.1
176,5.4
177,5.3
178,4.7
179,11.2
180,4.5
181,4.6
182,5.8
183,9.0
184,11.7
185,4.1
186,5.4
187,5.5
188,8.1
189,9.8
190,8.7
191,8.0
192,6.7
193,5.7
194,5.5
195,5.9
196,7.8
197,9.6
198,12.0
199,6.3
200,11.9
201,5.0
202,6.1
203,5.9
204,5.4
205,5.9
206,6.2
207,6.1
208,6.2
209,6.4
210,6.2
211,6.2
212,5.5
213,7.9
214,6.2
215,6.2
216,5.5
217,6.1
218,6.5
219,5.9
220,5.3
221,6.1
222,8.6
223,6.2
224,6.4
225,6.1
226,8.5
227,5.5
228,4.4
229,5.8
230,6.1
231,5.7
232,9.8
233,9.4
234,6.1
235,6.0
236,9.7
237,5.2
238,4.4
239,10.4
240,8.5
241,6.6
242,4.3
243,6.1
244,5.5
245,6.6
246,4.5
247,5.6
248,10.4
249,6.1
250,5.4
251,5.5
252,6.3
253,4.5
254,6.4
255,6.6
256,10.4
257,6.4
258,10.2
259,5.2
260,9.3
261,5.3
262,9.6
263,5.3
264,9.6
265,5.6
266,6.6
267,5.9
268,5.6
269,5.7
270,6.4
271,5.5
272,5.8
273,6.2
274,13.6
275,5.7
276,5.8
277,4.7
278,6.3
279,6.2
280,9.0
281,5.7
282,6.4
283,9.0
284,5.2
285,4.7
286,4.4
287,5.2
288,5.1
289,5.4
290,10.0
291,6.1
292,12.0
293,6.0
294,10.8
295,6.5
296,4.6
297,6.1
298,4.6
299,5.6
300,6.4
301,4.9
302,4.5
303,5.7
304,6.1
305,5.5
306,9.9
307,9.1
308,7.4
309,6.5
310,5.0
311,4.7
312,5.4
313,6.7
314,11.6
315,5.4
316,11.1
317,5.2
318,5.6
319,9.9
320,5.5
321,11.7
322,6.5
323,6.0
324,5.9
325,5.3
326,11.0
327,7.8
328,5.0
329,11.4
330,6.0
331,9.6
332,5.0
333,11.0
334,11.7
335,5.2
336,5.4
337,11.3
338,5.6
339,5.7
340,6.2
341,5.4
342,9.6
343,6.2
344,4.7
345,5.2
346,6.4
347,5.4
348,5.4
349,11.8
350,5.3
351,8.2
352,5.6
353,9.9
354,5.8
355,5.0
356,5.7
357,11.7
358,6.1
359,5.8
360,7.7
361,4.8
362,9.6
363,3.9
364,5.5
365,6.0
366,5.4
367,5.7
368,6.3
369,14.1
370,8.9
371,5.6
372,5.9
373,10.0
374,5.5
375,5.1
376,4.6
377,5.8
378,5.1
379,5.6
380,9.2
381,5.7
382,4.5
383,4.6
384,9.4
385,5.9
386,5.8
387,10.1
388,5.5
389,8.4
390,4.5
391,10.0
392,4.6
393,5.1
394,4.9
395,5.6
396,4.7
397,11.6
398,4.9
399,4.7
400,9.4
401,6.7
402,6.6
403,8.2
404,6.3
405,10.9
406,4.1
407,5.6
408,6.1
409,6.0
410,8.0
411,4.8
412,5.1
413,10.6
414,5.3
415,6.4
416,6.3
417,5.0
418,5.4
419,5.7
420,6.0
421,4.4
422,7.9
423,4.7
424,5.0
425,10.6
426,5.5
427,4.7
428,11.8
429,5.4
430,9.5
431,5.7
432,6.2
433,5.9
434,5.5
435,5.3
436,5.3
437,6.1
