,WAF
1,6.0
2,7.2
3,7.0
4,11.5
5,6.9
6,6.7
7,5.2
8,6.1
9,5.0
10,10.6
11,5.4
12,4.8
13,5.7
14,4.7
15,5.7
16,5.7
17,6.8
18,5.1
19,10.2
20,4.9
21,7.5
22,8.7
23,4.9
24,16.4
25,5.1
26,5.7
27,5.1
28,4.9
29,4.3
30,5.6
31,5.6
32,4.8
33,11.4
34,5.7
35,5.9
36,4.3
37,7.2
38,5.3
39,6.2
40,6.1
41,4.6
42,8.4
43,6.0
44,10.8
45,6.6
46,5.6
47,7.1
48,5.7
49,7.4
50,5.7
51,5.1
52,4.3
53,4.8
54,4.5
55,5.6
56,5.2
57,5.6
58,6.6
59,5.0
60,8.6
61,6.7
62,5.7
63,5.0
64,7.3
65,3.9
66,6.6
67,13.0
68,7.1
69,14.5
70,4.1
71,10.5
72,13.0
73,6.1
74,6.7
75,5.6
76,5.5
77,5.1
78,4.9
79,5.7
80,4.6
81,4.4
82,5.2
83,7.2
84,4.2
85,6.0
86,5.3
87,5.8
88,5.4
89,5.6
90,5.1
91,4.2
92,5.6
93,5.1
94,6.7
95,5.5
96,5.4
97,4.6
98,6.6
99,4.9
100,5.7
101,5.1
102,6.9
103,5.7
104,7.7
105,7.1
106,4.6
107,7.4
108,4.0
109,4.5
110,11.4
111,10.6
112,4.7
113,5.3
114,6.3
115,7.3
116,6.3
117,4.0
118,12.8
119,4.4
120,5.2
121,4.9
122,3.7
123,5.9
124,5.9
125,4.4
126,4.1
127,13.8
128,5.5
129,5.5
130,7.4
131,6.8
132,4.3
133,9.7
134,8.5
135,5.5
136,5.9
137,5.2
138,10.4
139,5.7
140,5.2
141,5.1
142,5.2
143,4.3
144,5.8
145,8.5
146,13.0
147,6.6
148,4.5
149,5.3
150,6.0
151,5.7
152,5.1
153,5.3
154,12.2
155,5.7
156,6.9
157,21.0
158,5.7
159,4.7
160,5.6
161,6.0
162,11.1
163,6.0
164,5.4
165,6.9
166,6.9
167,5.1
168,5.7
169,6.2
170,4.6
171,6.8
172,7.4
173,6.7
174,4.5
175,6.9
176,4.9
177,4.8
178,4.7
179,15.4
180,4.1
181,4.6
182,5.8
183,10.6
184,10.3
185,4.1
186,4.5
187,4.7
188,7.1
189,6.0
190,11.6
191,7.4
192,7.4
193,4.5
194,5.5
195,6.4
196,7.1
197,7.1
198,12.0
199,5.4
200,15.3
201,5.0
202,5.4
203,8.6
204,5.1
205,7.0
206,7.3
207,5.6
208,7.4
209,5.0
210,5.5
211,5.7
212,5.5
213,8.1
214,7.0
215,5.8
216,6.2
217,5.7
218,6.7
219,7.0
220,5.1
221,5.7
222,8.6
223,6.7
224,5.5
225,4.8
226,8.5
227,5.5
228,4.4
229,5.3
230,5.8
231,5.7
232,5.8
233,7.2
234,6.1
235,6.0
236,9.8
237,4.9
238,4.4
239,10.8
240,7.2
241,7.4
242,4.3
243,8.2
244,5.0
245,7.4
246,4.5
247,4.7
248,9.6
249,6.1
250,5.1
251,3.7
252,5.6
253,4.5
254,5.1
255,6.7
256,10.6
257,7.1
258,14.2
259,4.4
260,11.4
261,4.8
262,6.1
263,5.3
264,5.5
265,5.6
266,7.0
267,5.3
268,4.3
269,5.7
270,5.9
271,6.3
272,5.2
273,6.5
274,9.9
275,5.1
276,5.3
277,4.3
278,6.9
279,6.0
280,7.1
281,5.7
282,6.4
283,9.0
284,5.2
285,4.6
286,4.4
287,5.2
288,5.1
289,3.3
290,5.8
291,5.9
292,10.4
293,5.4
294,10.1
295,6.1
296,4.4
297,6.3
298,4.6
