,WAF
1,6.5
2,6.3
3,7.0
4,11.5
5,6.9
6,6.7
7,5.2
8,6.3
9,6.5
10,10.6
11,6.1
12,4.8
13,5.3
14,4.7
15,5.7
16,5.7
17,6.3
18,5.1
19,10.2
20,5.4
21,9.2
22,6.9
23,6.2
24,16.4
25,5.1
26,6.0
27,5.5
28,5.0
29,4.3
30,5.6
31,6.4
32,4.8
33,11.4
34,5.7
35,7.0
36,4.3
37,6.4
38,5.3
39,7.5
40,6.1
41,4.6
42,6.7
43,6.0
44,8.9
45,6.6
46,5.2
47,7.1
48,5.7
49,7.5
50,5.7
51,5.1
52,4.3
53,4.8
54,4.5
55,5.6
56,5.2
57,5.6
58,5.9
59,5.0
60,8.6
61,6.7
62,5.7
63,5.0
64,6.0
65,3.9
66,6.4
67,13.0
68,7.1
69,14.5
70,4.1
71,10.5
72,13.0
73,5.4
74,6.7
75,5.6
76,5.5
77,5.5
78,4.9
79,6.3
80,4.6
81,4.4
82,5.9
83,7.2
84,4.2
85,6.0
86,5.3
87,5.2
88,5.4
89,6.2
90,5.2
91,4.2
92,5.2
93,5.1
94,6.7
95,5.5
96,6.4
97,4.6
98,6.6
99,4.9
100,5.7
101,5.2
102,6.9
103,5.3
104,7.7
105,7.1
106,4.6
107,6.7
108,4.0
109,4.5
110,11.4
111,10.6
112,4.7
113,5.2
114,6.0
115,11.5
116,6.4
117,4.0
118,12.8
119,4.4
120,5.2
121,4.9
122,3.7
123,7.4
124,7.5
125,4.4
126,4.1
127,13.8
128,6.2
129,6.9
130,7.4
131,5.4
132,4.3
133,9.7
134,8.5
135,6.3
136,5.9
137,5.9
138,10.4
139,5.7
140,5.2
141,4.8
142,5.2
143,4.3
144,5.3
145,8.5
146,13.0
147,6.6
148,4.5
149,5.3
150,7.5
151,5.9
152,5.1
153,5.1
154,11.8
155,5.7
156,6.1
157,21.0
158,5.7
159,4.7
160,5.6
161,5.8
162,11.1
163,5.5
164,5.4
165,6.1
166,5.2
167,7.4
168,5.9
169,6.5
170,4.6
171,6.8
172,7.6
173,6.7
174,4.5
175,6.0
176,5.4
177,5.3
178,4.7
179,10.8
180,4.1
181,4.6
182,5.8
183,9.0
184,10.3
185,4.1
186,4.5
187,4.7
188,7.1
189,6.0
190,11.6
191,7.4
192,7.4
193,4.5
194,5.5
195,5.8
196,8.2
197,7.1
198,12.0
199,5.4
200,15.3
201,5.0
202,6.5
203,5.9
204,5.4
205,5.8
206,6.2
207,5.6
208,7.4
209,5.0
210,6.0
211,6.6
212,5.5
213,8.1
214,7.4
215,5.8
216,6.0
217,5.7
218,6.7
219,5.9
220,5.3
221,6.2
222,8.6
223,6.2
224,5.5
225,7.3
226,8.5
227,5.7
228,4.4
229,6.3
230,5.8
231,5.7
232,5.8
233,11.1
234,5.9
235,6.0
236,9.8
237,4.9
238,4.4
239,10.8
240,11.1
241,10.8
242,4.3
243,6.1
244,5.0
245,7.8
246,4.5
247,5.6
248,9.6
249,6.1
250,5.4
251,3.7
252,5.6
253,4.5
254,5.1
255,7.4
256,10.6
257,6.4
258,14.2
259,4.4
260,11.4
261,4.8
262,5.5
263,5.3
264,5.5
265,6.6
266,7.0
267,5.3
268,4.3
269,5.7
270,6.1
271,6.0
272,5.8
273,6.2
274,9.9
275,5.7
276,5.3
277,4.3
278,6.3
279,6.0
280,7.1
281,5.7
282,6.4
283,9.0
284,5.2
285,5.4
286,4.4
287,5.2
288,5.1
289,3.3
290,5.8
291,6.4
292,10.4
293,5.8
294,10.1
295,6.8
296,4.6
297,6.1
298,4.6
299,7.2
300,6.4
301,4.3
302,4.5
303,5.7
304,4.9
305,5.1
306,10.1
307,9.1
308,6.7
309,5.1
310,4.6
311,5.1
312,5.4
313,7.1
314,10.3
315,5.4
316,10.1
317,5.2
318,5.2
319,6.3
320,5.0
321,10.1
322,6.3
323,5.4
324,5.9
325,5.8
326,10.2
327,7.0
328,5.9
329,14.3
330,6.9
331,13.7
332,5.9
333,11.0
334,11.4
335,5.2
336,5.4
337,14.0
338,5.2
339,5.7
340,5.7
341,5.4
342,7.1
343,6.2
344,5.3
345,5.2
346,4.9
347,6.7
348,5.4
349,11.8
350,5.3
351,7.4
352,5.6
353,6.6
354,5.8
355,5.0
356,5.1
357,15.6
358,6.1
359,5.5
360,7.0
361,4.8
362,9.6
363,3.9
364,5.5
365,6.4
366,5.2
367,5.7
368,5.7
369,15.1
370,5.7
371,4.3
372,7.0
373,8.2
374,5.5
375,5.1
376,4.6
377,6.4
378,3.3
379,5.6
380,9.2
381,5.7
382,4.5
383,4.6
384,11.4
385,5.9
386,5.8
387,10.4
388,3.5
389,11.1
390,4.3
391,7.0
392,4.6
393,5.1
394,7.1
395,5.6
396,3.5
397,9.9
398,4.9
399,4.8
400,10.1
401,7.0
402,10.2
403,9.1
404,6.5
405,10.6
406,4.1
407,5.2
408,4.5
409,6.6
410,7.5
411,4.8
412,5.1
413,12.7
414,5.3
415,5.0
416,6.3
417,5.8
418,5.4
419,5.7
420,6.3
421,4.4
422,7.0
423,4.7
424,5.0
425,10.5
426,4.1
427,4.9
428,10.6
429,4.9
430,8.5
431,5.7
432,7.0
433,5.9
434,5.2
435,5.3
436,4.6
437,5.0
438,6.3
439,5.4
440,4.8
441,5.5
442,6.9
443,4.5
444,6.3
445,10.7
446,7.8
447,9.0
448,5.6
449,4.8
450,5.6
451,6.1
452,4.6
453,11.7
454,4.9
455,11.7
456,14.6
457,5.2
458,6.3
459,6.9
460,10.1
461,5.5
462,5.0
463,4.6
464,6.0
465,6.0
466,6.0
467,7.0
468,4.6
469,3.3
470,4.9
471,4.5
472,4.3
473,5.8
474,3.9
475,5.4
476,4.6
477,6.7
478,6.7
479,6.3
480,5.6
481,14.2
482,4.2
483,5.3
484,11.8
485,5.1
486,6.3
487,5.8
488,5.2
489,4.8
490,7.4
491,6.2
492,5.6
493,6.4
494,6.9
495,4.5
496,6.2
497,7.1
498,11.3
499,7.5
500,6.0
501,6.1
502,7.0
503,5.5
504,16.0
505,4.4
506,4.4
507,8.7
508,6.0
509,6.1
510,5.1
511,6.1
512,10.6
513,5.7
514,6.8
515,4.3
516,5.2
517,5.8
518,6.1
519,6.5
520,5.7
521,12.8
522,6.3
523,10.8
524,5.8
525,4.6
526,5.2
527,5.9
528,5.8
529,3.9
530,10.1
531,6.0
532,14.1
533,5.5
534,4.5
535,10.7
536,10.8
537,5.2
538,6.4
539,4.0
540,4.4
541,8.7
542,10.0
543,6.0
544,6.2
545,5.5
546,4.0
547,14.1
548,5.3
549,10.8
550,9.9
551,6.6
552,5.7
553,6.9
554,7.2
555,10.5
556,6.5
557,5.8
558,6.8
559,6.5
560,5.5
561,7.2
562,5.5
563,11.7
564,5.9
565,5.3
566,5.1
567,4.3
568,6.2
569,7.6
570,6.2
571,8.4
572,4.5
573,4.8
574,5.3
575,6.6
576,5.8
577,6.0
578,4.4
579,5.8
580,7.0
581,8.6
582,6.4
583,4.7
584,6.7
585,4.6
586,6.6
587,10.1
588,4.3
589,5.9
590,5.9
591,5.9
592,5.8
593,5.4
594,6.3
595,5.9
596,8.9
597,5.3
598,5.5
599,8.5
600,8.6
601,5.9
602,8.9
603,5.1
604,7.4
605,5.3
606,5.2
607,5.4
608,8.4
609,5.9
610,7.3
611,11.1
612,4.7
613,6.0
614,6.1
615,4.3
616,9.5
617,4.7
618,7.4
619,7.1
620,5.5
621,8.8
622,5.2
623,7.0
624,6.7
625,5.0
626,5.9
627,3.5
628,4.0
629,5.6
630,7.1
631,6.4
632,8.8
633,5.5
634,6.7
635,9.3
636,6.0
637,6.9
638,8.8
639,5.5
640,5.9
641,5.4
642,6.1
643,4.7
644,10.1
645,10.1
646,6.9
647,6.3
648,5.1
649,6.6
650,6.0
651,5.8
652,7.0
653,6.0
654,6.5
655,7.1
656,5.0
657,6.3
658,5.7
659,6.6
660,6.0
661,6.4
662,7.2
663,5.3
664,11.5
665,5.3
666,7.0
667,4.6
668,6.2
669,6.8
670,13.5
671,11.4
672,7.4
673,5.9
674,6.5
675,5.8
676,5.7
677,5.0
678,5.9
679,7.1
680,7.0
681,6.4
682,5.1
683,6.1
684,4.3
685,6.2
686,6.1
687,6.5
688,4.1
689,5.7
690,5.1
691,6.1
692,8.3
693,5.5
694,11.2
695,4.7
696,4.5
697,6.6
698,6.5
699,5.3
700,4.6
701,5.4
702,5.4
703,4.6
704,6.8
705,4.9
706,6.9
707,6.1
708,6.8
709,5.7
710,5.1
711,7.7
712,11.9
713,6.9
714,4.0
715,4.1
716,8.4
717,5.7
718,6.5
719,4.7
720,13.6
721,5.9
722,6.1
723,5.3
724,5.9
725,5.9
726,4.9
727,7.5
728,6.1
729,5.7
730,5.9
731,6.4
732,5.3
733,5.2
734,8.8
735,3.9
736,4.3
737,7.4
738,6.2
739,4.7
740,5.2
741,5.4
742,5.7
743,4.9
744,5.8
745,9.1
746,5.7
747,5.9
748,5.6
749,6.6
750,5.3
751,5.3
752,5.3
753,13.6
754,5.2
755,6.8
756,11.1
757,7.0
758,8.7
759,5.2
760,5.8
761,5.1
762,5.1
763,6.5
764,3.9
765,6.4
766,6.6
767,6.9
768,5.8
769,9.1
770,4.9
771,5.9
772,5.7
773,8.8
774,5.7
775,5.8
776,5.2
777,6.2
778,9.2
779,6.4
780,5.8
781,9.2
782,4.9
783,8.0
784,10.4
785,4.7
786,4.8
787,5.2
788,5.1
789,5.7
790,4.2
791,5.8
792,12.9
793,4.3
794,9.2
795,4.9
796,9.9
797,5.5
798,6.5
799,6.3
800,5.8
801,10.1
802,11.4
803,5.1
804,5.7
805,5.1
806,5.3
807,13.9
808,6.0
809,5.8
810,8.9
811,4.4
812,6.2
813,5.7
814,5.1
815,5.9
816,5.8
817,8.8
818,5.8
819,4.8
820,12.3
821,5.8
822,6.2
823,7.0
824,5.8
825,6.9
826,5.1
827,5.8
828,12.5
829,6.4
830,9.7
831,6.1
832,5.2
833,7.2
