,WAF
1,9.8
2,6.2
3,9.9
4,12.0
5,6.1
6,6.6
7,5.9
8,5.1
9,5.6
10,13.3
11,5.9
12,5.6
13,5.7
14,5.4
15,5.8
16,5.7
17,5.9
18,5.7
19,11.8
20,5.4
21,9.2
22,7.0
23,5.5
24,16.5
25,6.2
26,5.7
27,6.2
28,5.0
29,5.6
30,5.6
31,6.1
32,5.1
33,10.9
34,5.1
35,6.2
36,5.6
37,6.4
38,6.0
39,6.3
40,5.8
41,5.4
42,6.1
43,10.1
44,8.9
45,5.7
46,5.0
47,5.7
48,6.2
49,7.0
50,5.7
51,4.7
52,4.3
53,5.8
54,5.9
55,5.6
56,4.9
57,5.6
58,6.1
59,5.0
60,8.6
61,5.8
62,6.1
63,6.3
64,6.0
65,5.5
66,6.3
67,9.5
68,8.0
69,11.2
70,4.1
71,10.3
72,9.8
73,5.7
74,7.0
75,5.8
76,5.5
77,5.6
78,5.9
79,6.0
80,5.0
81,5.2
82,5.8
83,6.0
84,6.2
85,6.4
86,6.4
87,5.5
88,9.8
89,6.2
90,5.2
91,4.7
92,6.2
93,6.0
94,9.0
95,5.5
96,5.7
97,5.8
98,5.1
99,4.9
100,5.7
101,5.5
102,6.0
103,5.6
104,7.7
105,10.0
106,4.6
107,6.7
108,5.8
109,6.3
110,9.3
111,9.2
112,5.5
113,5.2
114,5.2
115,9.6
116,9.7
117,6.2
118,10.2
119,6.3
120,6.0
121,6.3
122,5.7
123,6.5
124,6.3
125,5.0
126,5.8
127,13.0
128,5.1
129,5.6
130,6.1
131,5.0
132,6.0
133,7.1
134,8.5
135,5.9
136,9.6
137,5.7
138,10.9
139,5.7
140,5.9
141,4.8
142,6.3
143,5.1
144,5.6
145,6.7
146,11.4
147,9.4
148,5.3
149,5.3
150,5.6
151,5.6
152,5.1
153,5.1
154,10.6
155,5.0
156,6.2
157,19.7
158,6.3
159,5.8
160,6.3
161,5.9
162,10.4
163,9.7
164,6.5
165,6.2
166,6.2
167,6.3
168,5.1
169,5.6
170,5.4
171,6.4
172,6.3
173,5.7
174,4.9
175,6.1
176,5.4
177,5.3
178,4.8
179,11.2
180,4.5
181,5.4
182,5.0
183,9.0
184,11.7
185,4.1
186,5.4
187,5.8
188,11.4
189,9.8
190,9.0
191,8.5
192,6.4
193,5.7
194,5.5
195,5.9
196,6.2
197,9.6
198,12.0
199,6.3
200,11.9
201,5.7
202,6.1
203,6.4
204,5.4
205,5.9
206,10.2
207,6.1
208,6.2
209,5.5
210,6.2
211,5.8
212,5.5
213,8.1
214,6.3
215,6.2
216,5.5
217,6.1
218,6.5
219,5.9
220,5.3
221,5.9
222,9.3
223,6.2
224,5.5
225,6.1
226,8.5
227,5.8
228,5.7
229,5.8
230,5.2
231,5.7
232,5.9
233,7.0
234,6.1
235,6.0
236,11.5
237,5.9
238,6.3
239,10.4
240,10.4
241,6.5
242,5.8
243,6.3
244,5.5
245,6.6
246,5.9
247,5.6
248,10.4
249,6.1
250,5.8
251,5.5
252,6.3
253,4.8
254,5.8
255,6.5
256,10.4
257,6.4
258,10.2
259,5.2
260,9.3
261,5.8
262,5.9
263,5.3
264,9.6
265,6.4
266,6.2
267,5.9
268,5.5
269,5.7
270,5.6
271,5.5
272,5.8
273,6.4
274,13.6
275,5.7
276,5.9
277,4.7
278,6.4
279,6.2
280,7.0
281,5.7
282,6.3
283,9.0
284,4.8
285,5.9
286,5.5
287,5.1
288,4.8
289,5.4
290,10.0
291,6.1
292,12.0
293,6.0
294,10.1
295,6.5
296,4.6
297,10.1
298,5.6
299,5.9
300,6.4
301,5.4
302,4.5
303,5.7
304,5.6
305,5.9
306,9.9
307,9.1
308,7.4
309,5.1
310,5.0
311,4.7
312,5.4
313,6.7
314,11.6
315,5.4
316,7.0
317,5.9
318,5.6
319,9.9
320,5.5
321,11.7
322,5.1
323,6.0
324,5.6
325,5.1
326,11.0
327,6.4
328,5.9
329,7.0
330,6.2
331,7.0
332,5.4
333,11.0
334,11.7
335,5.1
336,5.4
337,11.3
338,5.0
339,5.7
340,6.2
341,5.4
342,9.6
343,6.3
344,5.7
345,5.2
346,5.0
347,5.9
348,4.9
349,11.8
350,6.1
351,7.8
352,5.6
353,9.9
354,5.8
355,5.5
356,5.2
357,11.7
358,6.1
359,5.8
360,5.6
361,4.8
362,9.6
363,6.0
364,5.9
365,5.1
366,5.4
367,5.7
368,5.7
369,14.1
370,5.9
371,5.6
372,6.2
373,10.0
374,5.0
375,6.3
376,5.5
377,10.1
378,5.1
379,6.3
380,9.2
381,5.8
382,5.5
383,4.8
384,9.4
385,5.9
386,5.8
387,10.1
388,5.5
389,11.1
390,4.5
391,10.0
392,5.8
393,5.0
394,4.9
395,5.6
396,4.7
397,11.6
398,6.2
399,6.3
400,10.1
401,6.7
402,6.6
403,7.1
404,6.3
405,10.9
406,4.1
407,5.6
408,5.8
409,6.0
410,8.6
411,5.9
412,6.1
413,10.6
414,5.1
415,5.5
416,6.6
417,5.0
418,5.4
419,5.7
420,6.0
421,5.7
422,10.9
423,4.7
424,5.0
425,10.6
426,5.4
427,5.3
428,11.8
429,5.9
430,9.5
431,5.7
432,6.2
433,5.7
434,5.5
435,5.6
436,5.3
437,5.0
