,WAF
1,9.8
2,6.2
3,7.0
4,12.0
5,6.1
6,6.7
7,5.9
8,6.1
9,6.2
10,14.7
11,5.5
12,5.6
13,5.3
14,4.7
15,5.4
16,5.7
17,6.4
18,5.1
19,9.4
20,5.4
21,8.3
22,6.9
23,4.8
24,16.4
25,5.1
26,6.0
27,6.2
28,4.9
29,6.0
30,5.6
31,6.1
32,4.8
33,10.9
34,5.7
35,5.5
36,6.5
37,8.8
38,5.3
39,6.2
40,6.1
41,4.6
42,6.4
43,6.3
44,8.4
45,7.8
46,6.4
47,6.6
48,5.7
49,7.6
50,5.7
51,5.1
52,4.3
53,6.4
54,4.5
55,5.6
56,5.2
57,5.4
58,5.9
59,5.0
60,8.6
61,9.1
62,6.1
63,5.0
64,6.0
65,3.9
66,6.6
67,8.9
68,8.0
69,14.5
70,4.1
71,12.7
72,9.8
73,6.1
74,6.7
75,5.4
76,5.5
77,5.7
78,4.9
79,6.0
80,4.6
81,4.4
82,6.2
83,6.0
84,4.2
85,6.4
86,5.3
87,5.2
88,5.2
89,6.2
90,5.1
91,4.2
92,6.2
93,6.0
94,6.7
95,5.5
96,6.2
97,4.6
98,6.1
99,4.9
100,5.5
101,6.2
102,6.0
103,5.3
104,7.7
105,6.8
106,4.6
107,6.7
108,6.4
109,4.5
110,9.5
111,8.3
112,4.7
113,5.2
114,6.1
115,8.4
116,9.7
117,6.2
118,10.2
119,6.3
120,5.2
121,4.9
122,3.7
123,5.9
124,5.9
125,4.4
126,4.1
127,13.8
128,9.5
129,9.3
130,6.1
131,8.0
132,4.3
133,9.2
134,8.5
135,6.1
136,5.9
137,5.9
138,8.0
139,5.7
140,5.9
141,5.1
142,5.2
143,4.3
144,5.3
145,8.5
146,13.0
147,9.4
148,4.5
149,5.7
150,9.6
151,5.9
152,5.1
153,5.1
154,12.2
155,5.7
156,6.2
157,21.0
158,6.3
159,4.7
160,6.3
161,5.8
162,9.3
163,6.0
164,5.4
165,6.4
166,5.2
167,4.8
168,5.9
169,6.2
170,4.6
171,6.4
172,7.6
173,9.3
174,4.5
175,6.0
176,4.9
177,4.8
178,4.7
179,15.4
180,4.1
181,4.6
182,5.8
183,8.9
184,9.8
185,4.1
186,4.5
187,4.7
188,7.1
189,6.5
190,8.7
191,8.5
192,6.6
193,6.1
194,5.5
195,5.9
196,8.2
197,9.6
198,12.0
199,6.2
200,15.3
201,5.0
202,6.1
203,5.9
204,5.4
205,5.8
206,7.7
207,5.6
208,6.2
209,6.4
210,6.2
211,6.2
212,5.5
213,8.1
214,6.7
215,5.8
216,6.2
217,5.7
218,6.7
219,5.9
220,5.1
221,6.1
222,8.6
223,6.2
224,6.4
225,6.1
226,8.5
227,6.0
228,4.4
229,5.3
230,5.8
231,5.7
232,5.8
233,9.1
234,6.1
235,6.0
236,9.3
237,4.9
238,4.4
239,14.1
240,8.5
241,6.5
242,4.3
243,6.3
244,5.0
245,7.8
246,4.5
247,4.7
248,9.6
249,6.1
250,6.2
251,3.7
252,6.1
253,4.5
254,6.4
255,6.4
256,12.9
257,7.1
258,10.2
259,4.4
260,9.6
261,4.8
262,6.1
263,5.5
264,9.6
265,5.4
266,6.2
267,5.9
268,5.6
269,5.7
270,6.4
271,6.2
272,5.2
273,6.4
274,14.6
275,5.1
276,6.1
277,4.3
278,6.4
279,6.2
280,7.1
281,5.7
282,6.4
283,9.0
284,5.2
285,6.3
286,4.4
287,5.2
288,5.1
289,3.3
290,5.8
291,6.1
292,12.0
293,5.4
294,9.5
295,6.1
296,4.4
297,6.3
298,4.6
299,6.2
300,6.4
301,4.9
302,4.5
303,5.7
304,6.1
305,5.5
306,9.9
307,9.1
308,7.4
309,5.1
310,4.6
311,5.1
312,4.8
313,7.1
314,11.6
315,5.4
316,12.9
317,5.2
318,5.6
319,6.2
320,5.0
321,9.4
322,6.2
323,5.2
324,5.9
325,5.8
326,11.0
327,7.8
328,5.4
329,14.3
330,6.2
331,9.6
332,5.0
333,11.0
334,8.9
335,5.2
336,5.4
337,14.0
338,5.2
339,5.7
340,6.2
341,8.1
342,9.6
343,6.0
344,6.2
345,5.2
346,6.4
347,6.0
348,5.2
349,10.1
350,6.1
351,7.8
352,6.2
353,6.6
354,5.8
355,5.0
356,5.1
357,15.6
358,6.1
359,5.8
360,6.2
361,5.1
362,9.6
363,3.9
364,5.8
365,6.2
366,9.2
367,5.7
368,6.3
369,15.1
370,6.0
371,4.3
372,6.2
373,8.2
374,5.8
375,5.1
376,4.6
377,6.0
378,3.3
379,5.6
380,9.4
381,5.7
382,4.5
383,4.6
384,9.1
385,5.9
386,5.8
387,10.1
388,3.5
389,8.4
390,4.3
391,7.0
392,4.6
393,5.1
394,6.2
395,5.1
396,3.5
397,9.8
398,4.9
399,4.8
400,9.1
401,7.0
402,9.6
403,8.2
404,6.3
405,12.9
406,4.1
407,6.3
408,6.1
409,5.5
410,8.6
411,4.8
412,5.1
413,12.7
414,6.1
415,6.4
416,7.0
417,5.8
418,5.5
419,5.7
420,6.0
421,4.4
422,7.0
423,4.7
424,4.6
425,9.2
426,5.5
427,4.9
428,14.8
429,4.9
430,9.5
431,5.1
432,5.4
433,5.9
434,5.2
435,6.0
436,4.6
437,6.1
