,WAF
1,6.0
2,5.9
3,6.5
4,9.8
5,6.9
6,6.6
7,4.9
8,6.8
9,5.8
10,10.6
11,5.9
12,4.7
13,5.7
14,4.7
15,5.8
16,5.7
17,5.9
18,5.1
19,9.4
20,5.4
21,8.3
22,8.7
23,5.6
24,16.4
25,5.1
26,5.7
27,5.2
28,5.0
29,4.4
30,5.6
31,5.8
32,4.8
33,10.0
34,6.6
35,7.0
36,4.9
37,6.4
38,4.7
39,6.1
40,5.6
41,5.2
42,8.4
43,6.0
44,8.9
45,6.6
46,5.0
47,10.6
48,6.2
49,10.6
50,5.7
51,5.1
52,5.1
53,5.7
54,4.5
55,5.6
56,5.2
57,5.6
58,5.9
59,5.0
60,8.6
61,6.7
62,4.8
63,5.0
64,5.7
65,5.5
66,6.4
67,8.9
68,8.0
69,14.5
70,4.1
71,10.5
72,13.0
73,5.3
74,8.3
75,4.9
76,5.5
77,4.9
78,4.9
79,4.9
80,5.0
81,4.7
82,6.2
83,5.8
84,4.2
85,6.0
86,5.3
87,6.6
88,6.1
89,5.6
90,5.2
91,4.7
92,5.6
93,5.2
94,8.2
95,5.5
96,5.9
97,4.7
98,6.6
99,4.9
100,5.5
101,5.1
102,6.9
103,5.3
104,7.7
105,10.0
106,4.6
107,7.2
108,4.8
109,4.5
110,8.9
111,10.6
112,5.2
113,5.3
114,5.6
115,8.7
116,6.4
117,4.7
118,12.8
119,5.1
120,5.2
121,4.9
122,5.7
123,5.9
124,5.9
125,4.9
126,4.5
127,13.8
128,5.8
129,6.9
130,5.8
131,5.0
132,4.8
133,9.2
134,8.5
135,5.9
136,9.3
137,6.7
138,10.4
139,5.8
140,5.2
141,4.8
142,4.8
143,5.1
144,6.8
145,10.6
146,13.0
147,6.6
148,5.1
149,5.3
150,5.9
151,7.0
152,5.1
153,5.1
154,12.2
155,5.0
156,6.2
157,21.0
158,6.3
159,4.7
160,5.0
161,5.9
162,9.3
163,5.5
164,6.1
165,6.1
166,6.9
167,5.1
168,6.8
169,6.5
170,4.6
171,6.5
172,5.8
173,6.7
174,4.8
175,6.0
176,5.4
177,5.3
178,4.7
179,15.4
180,4.5
181,4.6
182,5.0
183,10.6
184,10.3
185,4.1
186,5.5
187,5.0
188,8.1
189,6.0
190,9.0
191,10.6
192,8.4
193,4.9
194,5.5
195,6.1
196,8.2
197,6.4
198,12.0
199,4.9
200,15.3
201,5.0
202,6.0
203,5.9
204,5.4
205,6.0
206,6.2
207,6.1
208,9.5
209,4.8
210,6.2
211,5.7
212,5.5
213,8.1
214,6.2
215,6.2
216,6.0
217,6.1
218,6.5
219,7.0
220,5.3
221,5.9
222,8.7
223,6.7
224,5.5
225,5.7
226,8.5
227,6.0
228,4.4
229,5.3
230,5.9
231,6.1
232,5.7
233,8.3
234,4.9
235,6.0
236,9.3
237,5.2
238,7.0
239,14.1
240,9.3
241,6.6
242,4.3
243,6.1
244,5.6
245,7.8
246,4.9
247,5.6
248,9.6
249,6.1
250,5.3
251,5.5
252,5.0
253,4.8
254,5.5
255,10.3
256,10.6
257,6.4
258,14.2
259,5.2
260,8.6
261,5.4
262,5.9
263,5.3
264,5.5
265,5.6
266,7.0
267,4.8
268,5.4
269,5.7
270,6.4
271,5.8
272,5.8
273,6.2
274,9.9
275,5.7
276,4.9
277,4.7
278,6.3
279,6.2
280,9.0
281,5.7
282,6.4
283,9.0
284,5.2
285,4.7
286,5.1
287,5.2
288,5.1
289,5.4
290,10.0
291,5.8
292,10.4
293,6.0
294,10.1
295,6.5
296,4.6
297,6.1
298,5.2
299,5.6
300,6.4
301,4.9
302,4.5
303,6.6
304,5.4
305,5.5
306,10.1
307,8.4
308,6.7
309,5.5
310,5.0
311,5.1
312,5.4
313,7.6
314,10.3
315,5.4
316,10.1
317,5.2
318,5.4
319,6.2
320,5.0
321,9.4
322,6.5
323,6.1
324,6.7
325,10.0
326,10.2
327,7.8
328,5.4
329,14.3
330,6.9
331,13.7
332,5.0
333,9.9
334,8.9
335,5.2
336,5.4
337,14.0
338,5.0
339,5.6
340,6.2
341,6.6
342,9.6
343,6.2
344,4.7
345,8.5
346,5.0
347,6.7
348,4.9
349,10.0
350,4.8
351,7.8
352,5.6
353,9.9
354,6.7
355,5.0
356,5.1
357,15.6
358,6.1
359,5.5
360,6.9
361,4.8
362,9.6
363,3.9
364,5.9
365,6.4
366,5.4
367,5.7
368,6.3
369,15.1
370,5.9
371,5.6
372,7.4
373,10.0
374,5.0
375,5.1
376,4.6
377,5.8
378,5.1
379,5.6
380,9.4
381,5.7
382,4.9
383,5.0
384,9.1
385,5.3
386,6.6
387,10.4
388,5.5
389,9.2
390,4.5
391,10.0
392,4.6
393,5.1
394,4.9
395,5.6
396,4.7
397,9.9
398,4.9
399,4.8
400,10.1
401,9.4
402,10.2
403,8.0
404,6.3
405,10.6
406,4.9
407,5.6
408,5.0
409,6.6
410,8.6
411,4.8
412,5.1
413,12.7
414,5.5
415,5.5
416,6.3
417,5.7
418,5.4
419,5.7
420,6.3
421,5.1
422,7.9
423,4.7
424,5.0
425,10.5
426,4.8
427,4.9
428,10.6
429,4.5
430,9.5
431,5.7
432,5.4
433,6.9
434,5.5
435,4.6
436,5.3
437,5.0
438,5.7
439,5.4
440,5.4
441,6.6
442,9.7
443,5.3
444,6.3
445,9.0
446,7.8
447,8.8
448,5.6
449,4.8
450,6.1
451,6.1
452,4.3
453,9.6
454,4.7
455,8.9
456,14.6
457,5.8
458,6.2
459,10.2
460,10.1
461,5.5
462,5.3
463,4.7
464,6.0
465,5.6
466,6.0
467,7.8
468,4.9
469,3.3
470,4.9
471,4.5
472,4.9
473,5.3
474,4.6
475,6.2
476,4.6
477,6.7
478,6.5
479,6.3
480,5.6
481,14.2
482,4.5
483,5.5
484,10.6
485,5.5
486,8.3
487,6.1
488,4.9
489,4.8
490,5.5
491,5.9
492,6.1
493,6.4
494,6.9
495,4.5
496,6.2
497,9.6
498,9.9
499,7.8
500,6.0
501,6.6
502,6.2
503,5.5
504,16.0
505,5.6
506,5.2
507,8.7
508,6.8
509,6.2
510,6.7
511,4.9
512,9.2
513,4.8
514,6.8
515,4.8
516,4.8
517,6.0
518,6.1
519,5.9
520,5.7
521,12.8
522,6.3
523,8.8
524,5.8
525,4.6
526,5.2
527,5.8
528,5.6
529,5.1
530,9.0
531,5.8
532,14.1
533,5.9
534,4.5
535,13.2
536,8.8
537,5.2
538,7.1
539,5.2
540,4.7
541,9.3
542,10.0
543,6.0
544,6.4
545,6.7
546,4.0
547,14.1
548,5.8
549,9.1
550,9.9
551,5.8
552,5.7
553,8.9
554,5.6
555,10.5
556,6.2
557,5.8
558,6.5
559,6.0
560,5.6
561,5.7
562,5.4
563,9.0
564,6.0
565,4.7
566,5.5
567,5.0
568,5.8
569,7.6
570,6.2
571,8.4
572,4.5
573,4.5
574,5.3
575,7.9
576,5.8
577,5.8
578,4.7
579,5.6
580,7.1
581,9.5
582,5.9
583,4.7
584,6.7
585,4.6
586,7.1
587,10.1
588,4.4
589,5.7
590,6.1
591,5.0
592,5.1
593,4.8
594,5.5
595,5.0
596,8.9
597,5.6
598,5.5
599,8.5
600,9.9
601,5.6
602,9.0
603,5.1
604,6.3
605,6.3
606,5.3
607,5.4
608,8.4
609,5.9
610,9.3
611,8.6
612,5.2
613,5.5
614,5.6
615,5.2
616,9.5
617,4.7
618,7.8
619,8.5
620,6.2
621,8.8
622,5.2
623,9.1
624,10.5
625,5.0
626,6.9
627,5.0
628,5.5
629,5.6
630,8.8
631,5.9
632,8.8
633,6.3
634,5.8
635,9.3
636,6.0
637,10.4
638,8.8
639,4.8
640,6.5
641,5.7
642,6.1
643,5.0
644,10.1
645,10.1
646,8.6
647,6.3
648,5.1
649,6.6
650,6.0
651,5.7
652,6.0
653,6.2
654,8.3
655,8.6
656,5.0
657,6.2
658,5.7
659,6.6
660,5.6
661,6.4
662,6.0
663,4.8
664,8.0
665,4.9
666,8.1
667,5.2
668,6.2
669,6.8
670,13.5
671,9.8
672,5.7
673,6.9
674,6.3
675,6.8
676,5.7
677,5.0
678,5.9
679,9.7
680,10.0
681,5.7
682,5.1
683,4.9
684,4.7
685,6.2
686,6.8
687,10.0
688,4.2
689,5.7
690,5.1
691,6.1
692,10.4
693,5.0
694,8.6
695,5.0
696,4.8
697,6.6
698,4.7
699,5.3
700,5.0
701,5.0
702,4.8
703,4.7
704,7.0
705,4.9
706,6.9
707,5.8
708,8.4
709,5.7
710,5.1
711,7.7
712,9.2
713,4.7
714,5.0
715,5.4
716,8.4
717,5.7
718,6.5
719,4.7
720,13.6
721,6.6
722,6.1
723,5.0
724,5.6
725,5.9
726,4.9
727,10.6
728,6.1
729,5.7
730,6.2
731,5.6
732,5.3
733,5.2
734,8.7
735,5.2
736,5.2
737,10.1
738,6.2
739,6.8
740,5.2
741,4.9
742,5.7
743,4.9
744,6.3
745,6.6
746,5.7
747,5.7
748,5.8
749,8.5
750,5.3
751,5.9
752,5.2
753,13.6
754,5.2
755,6.5
756,9.0
757,7.0
758,8.7
759,6.6
760,5.9
761,5.1
762,5.0
763,7.5
764,4.7
765,6.4
766,6.6
767,8.8
768,6.0
769,7.8
770,5.0
771,6.9
772,6.8
773,8.8
774,5.7
775,5.8
776,5.9
777,6.2
778,9.3
779,6.4
780,5.8
781,8.6
782,4.9
783,10.0
784,10.4
785,4.2
786,4.8
787,5.5
788,5.1
789,5.7
790,4.8
791,5.7
792,12.9
793,4.9
794,9.1
795,4.9
796,9.9
797,5.6
798,5.8
799,6.3
800,5.8
801,10.1
802,8.8
803,5.1
804,5.7
805,5.1
806,6.8
807,13.9
808,6.0
809,5.8
810,8.9
811,4.4
812,6.4
813,5.7
814,5.1
815,5.9
816,6.9
817,8.8
818,5.9
819,4.6
820,12.3
821,6.3
822,5.7
823,10.1
824,5.6
825,6.9
826,5.1
827,6.1
828,12.5
829,6.4
830,9.3
831,6.1
832,5.2
833,6.3
834,5.0
835,4.5
836,5.9
837,5.3
838,9.1
839,4.8
840,6.8
841,5.1
842,5.7
843,4.4
844,5.3
845,6.0
846,6.0
847,8.8
848,6.2
849,6.5
850,8.9
851,6.1
852,6.4
853,8.9
854,5.9
855,13.2
856,5.5
857,8.1
858,7.0
859,5.6
860,8.0
861,8.7
862,10.4
863,5.0
864,5.9
865,6.1
866,6.5
867,9.7
868,4.8
869,5.1
870,5.0
871,5.7
872,4.4
873,5.7
874,5.0
875,6.2
876,10.3
877,5.3
878,5.9
879,6.2
880,6.0
881,6.5
882,4.8
883,6.6
884,5.7
885,4.9
886,4.9
887,5.0
888,5.6
889,5.7
890,5.8
891,6.2
892,6.5
893,10.1
894,5.8
895,5.3
896,7.1
897,5.3
898,5.2
899,6.0
900,6.6
901,6.1
902,6.3
903,6.0
904,4.9
905,6.0
906,4.9
907,5.9
908,6.6
909,8.4
910,8.8
911,6.7
912,9.7
913,9.1
914,4.7
915,5.4
916,6.2
