,WAF
1,6.0
2,6.2
3,6.5
4,12.0
5,6.1
6,8.8
7,5.9
8,5.1
9,5.6
10,14.7
11,6.0
12,5.6
13,5.7
14,4.7
15,5.8
16,5.7
17,5.9
18,5.1
19,9.4
20,5.4
21,11.0
22,8.7
23,5.5
24,16.4
25,5.1
26,5.7
27,6.2
28,5.0
29,6.0
30,5.6
31,6.1
32,5.1
33,10.9
34,5.7
35,6.2
36,6.5
37,6.4
38,4.7
39,6.0
40,5.6
41,5.2
42,6.1
43,6.0
44,10.8
45,7.6
46,6.4
47,6.5
48,6.2
49,7.6
50,5.7
51,5.1
52,5.1
53,6.4
54,4.5
55,5.6
56,5.2
57,5.6
58,6.1
59,5.0
60,8.6
61,7.8
62,4.8
63,5.0
64,6.0
65,5.5
66,6.4
67,9.5
68,7.7
69,14.5
70,4.1
71,12.7
72,9.8
73,5.7
74,10.9
75,4.9
76,5.5
77,4.9
78,4.9
79,4.9
80,5.0
81,4.7
82,6.2
83,6.0
84,4.2
85,6.0
86,5.3
87,5.8
88,5.4
89,6.2
90,5.2
91,4.7
92,6.2
93,6.0
94,7.4
95,5.5
96,5.7
97,4.7
98,6.1
99,4.9
100,5.7
101,6.2
102,6.0
103,5.6
104,7.7
105,6.2
106,4.6
107,6.7
108,4.8
109,4.5
110,9.3
111,10.6
112,5.5
113,5.2
114,5.2
115,9.6
116,6.4
117,4.7
118,10.2
119,6.3
120,5.2
121,4.9
122,5.7
123,5.9
124,6.2
125,4.9
126,4.5
127,13.8
128,5.5
129,5.6
130,6.1
131,5.0
132,4.8
133,9.2
134,8.5
135,6.1
136,9.6
137,5.7
138,8.0
139,5.7
140,5.9
141,4.8
142,4.8
143,5.1
144,5.6
145,10.6
146,13.0
147,6.7
148,5.1
149,5.3
150,5.6
151,5.6
152,5.1
153,5.1
154,12.2
155,5.0
156,6.2
157,21.0
158,6.3
159,4.7
160,6.3
161,5.8
162,11.1
163,5.5
164,5.4
165,6.1
166,6.2
167,5.1
168,5.9
169,6.5
170,4.6
171,6.5
172,5.8
173,6.5
174,4.8
175,6.1
176,5.4
177,5.3
178,4.7
179,15.4
180,4.5
181,4.6
182,5.0
183,10.6
184,9.8
185,4.1
186,5.4
187,5.5
188,8.1
189,6.0
190,9.0
191,8.0
192,8.0
193,4.9
194,5.5
195,5.9
196,7.8
197,6.4
198,12.0
199,4.9
200,15.3
201,5.0
202,6.1
203,5.9
204,5.4
205,5.9
206,6.2
207,6.1
208,6.2
209,6.4
210,6.2
211,6.2
212,5.5
213,7.9
214,6.2
215,5.8
216,6.0
217,6.1
218,6.5
219,5.9
220,5.3
221,6.1
222,9.3
223,6.2
224,6.4
225,6.1
226,8.5
227,6.0
228,4.4
229,5.8
230,6.1
231,5.7
232,5.7
233,11.1
234,4.9
235,6.0
236,9.3
237,5.2
238,4.4
239,14.1
240,11.1
241,10.8
242,4.3
243,6.1
244,5.5
245,7.8
246,4.9
247,5.6
248,10.0
249,6.1
250,6.2
251,5.5
252,5.0
253,4.8
254,6.4
255,7.1
256,12.9
257,6.4
258,10.2
259,5.2
260,9.3
261,5.3
262,5.5
263,5.3
264,5.5
265,5.6
266,7.2
