,WAF
1,6.3
2,5.9
3,7.0
4,9.8
5,7.3
6,6.7
7,5.9
8,5.7
9,5.8
10,10.6
11,5.5
12,5.6
13,5.7
14,4.7
15,5.8
16,5.7
17,5.9
18,5.1
19,9.4
20,5.4
21,9.8
22,6.9
23,5.6
24,15.1
25,5.1
26,6.0
27,6.2
28,5.0
29,6.0
30,5.6
31,5.8
32,5.9
33,10.9
34,6.6
35,5.5
36,6.5
37,9.7
38,4.7
39,6.3
40,5.6
41,5.2
42,6.4
43,6.3
44,8.9
45,6.6
46,5.0
47,6.6
48,10.3
49,7.6
50,5.7
51,5.1
52,5.1
53,6.4
54,4.5
55,5.6
56,5.2
57,5.4
58,5.9
59,5.0
60,8.6
61,9.1
62,4.8
63,5.0
64,6.0
65,5.5
66,6.6
67,8.9
68,8.0
69,10.9
70,4.1
71,10.5
72,9.8
73,5.3
74,6.7
75,4.9
76,5.5
77,4.9
78,4.9
79,4.9
80,5.0
81,4.7
82,6.2
83,5.8
84,4.2
85,6.4
86,5.3
87,6.6
88,5.2
89,5.6
90,5.2
91,4.7
92,6.2
93,6.0
94,6.7
95,5.5
96,5.9
97,4.7
98,6.6
99,4.9
100,5.7
101,6.2
102,5.8
103,5.3
104,7.7
105,6.8
106,4.6
107,6.7
108,4.8
109,4.5
110,11.1
111,10.2
112,5.2
113,5.2
114,5.6
115,8.7
116,9.7
117,4.7
118,11.0
119,6.3
120,5.2
121,4.9
122,4.9
123,5.9
124,5.9
125,4.9
126,4.5
127,11.7
128,5.8
129,9.3
130,5.8
131,5.0
132,4.8
133,9.2
134,8.5
135,5.5
136,9.9
137,5.9
138,10.9
139,5.7
140,5.9
141,4.8
142,4.8
143,5.1
144,5.8
145,8.5
146,11.0
147,6.6
148,5.1
149,5.7
150,5.9
151,5.9
152,5.1
153,5.1
154,10.8
155,5.0
156,6.2
157,17.9
158,6.3
159,4.7
160,5.0
161,5.8
162,10.4
163,9.7
164,5.4
165,6.4
166,5.2
167,4.8
168,5.9
169,6.5
170,4.6
171,6.4
172,5.8
173,9.3
174,4.8
175,6.0
176,5.4
177,5.3
178,4.7
179,10.8
180,4.5
181,4.6
182,5.0
183,9.6
184,9.8
185,4.1
186,5.5
187,5.0
188,7.1
189,6.5
190,9.0
191,8.5
192,6.6
193,4.9
194,5.5
195,5.9
196,8.2
197,9.6
198,10.9
199,4.9
200,15.8
201,5.0
202,5.4
203,5.9
204,5.4
205,5.9
206,10.5
207,5.6
208,9.5
209,6.4
210,6.2
211,5.7
212,5.5
213,8.1
214,6.7
215,5.8
216,9.2
217,5.7
218,6.7
219,5.9
220,5.3
221,9.6
222,8.7
223,9.0
224,6.4
225,5.7
226,8.5
227,6.0
228,4.4
229,5.3
230,5.9
231,5.7
232,5.7
233,10.5
234,4.9
235,6.0
236,9.3
237,5.2
238,4.4
239,10.8
240,10.4
241,10.7
242,4.3
243,6.3
244,5.6
245,7.8
246,4.9
247,5.6
248,10.4
249,6.1
250,6.2
251,5.5
252,5.0
253,4.8
254,6.4
255,6.4
256,10.6
257,7.1
258,11.1
259,5.2
260,10.9
261,5.4
262,9.6
263,5.3
264,9.6
265,5.4
266,6.4
267,4.8
268,5.6
269,5.7
270,6.4
271,5.8
272,5.2
273,6.4
274,9.9
275,5.7
276,4.9
277,4.7
278,6.4
279,6.2
280,7.1
281,7.1
282,6.4
283,9.0
284,5.2
285,4.7
286,5.1
287,5.2
288,5.1
289,5.4
290,9.3
291,5.8
292,10.4
293,5.4
294,10.8
295,6.8
296,4.6
297,6.3
298,5.2
299,8.6
300,6.4
301,4.9
302,4.5
303,6.6
304,6.1
305,5.5
306,9.9
307,8.4
308,7.4
309,6.5
310,5.0
311,5.1
312,5.4
313,7.1
314,10.3
315,5.4
316,10.1
317,5.2
318,5.6
319,6.2
320,5.0
321,9.4
322,6.5
323,5.2
324,5.9
325,6.6
326,11.0
327,7.8
328,5.9
329,11.4
330,6.3
331,9.6
332,5.0
333,11.0
334,8.9
335,5.2
336,5.4
337,12.1
338,5.0
339,5.7
340,6.2
341,6.6
342,9.6
343,6.3
344,4.7
345,5.2
346,5.0
347,5.9
348,4.9
349,10.1
350,4.8
351,7.8
352,5.6
353,6.6
354,5.8
355,5.0
356,5.9
357,13.6
358,7.1
359,5.8
360,7.1
361,4.8
362,9.6
363,3.9
364,5.8
365,6.2
366,9.2
367,5.7
368,6.3
369,11.6
370,8.9
371,5.6
372,5.9
373,8.2
374,5.0
375,5.1
376,4.6
377,5.8
378,5.1
379,5.6
380,9.6
381,5.7
382,4.9
383,5.0
384,10.3
385,5.9
386,6.6
387,10.1
388,5.5
389,11.1
390,4.5
391,7.0
392,4.6
393,5.1
394,5.9
395,5.6
396,4.7
397,9.8
398,4.9
399,4.8
400,10.2
401,7.0
402,9.6
403,10.4
404,6.3
405,10.6
406,4.9
407,8.3
408,5.0
409,6.6
410,8.6
411,4.8
412,5.1
413,11.4
414,5.9
415,6.4
416,7.0
417,5.8
418,5.5
419,5.7
420,7.0
421,5.1
422,7.0
423,4.7
424,5.0
425,10.6
426,4.8
427,4.9
428,10.6
429,6.6
430,9.5
431,5.1
432,5.4
433,5.9
434,5.5
435,6.0
436,5.3
437,6.1
438,5.7
439,5.4
440,5.2
441,6.6
442,9.7
443,5.8
444,6.3
445,10.7
446,7.8
447,8.8
448,6.4
449,4.8
450,5.5
451,6.3
452,4.3
453,11.1
454,4.7
455,8.9
456,12.4
457,5.8
458,9.5
459,6.9
460,10.1
461,5.5
462,6.3
463,5.6
464,5.5
465,9.4
466,6.9
467,7.0
468,4.9
469,3.3
470,4.9
471,5.2
472,4.9
473,5.3
474,4.6
475,6.2
476,4.6
477,7.8
478,6.3
479,6.4
480,5.6
481,12.6
482,4.5
483,6.5
484,10.6
485,6.5
486,6.3
487,6.1
488,4.9
489,5.8
490,8.0
491,9.3
492,5.5
493,6.8
494,5.6
495,4.5
496,6.7
497,9.6
498,10.9
499,7.8
500,6.0
501,6.6
502,9.7
503,9.5
504,12.2
505,5.6
506,5.2
507,8.7
508,5.6
509,6.2
510,5.1
511,4.9
512,9.9
513,4.8
514,5.6
515,6.1
516,4.8
517,5.1
518,6.1
519,5.9
520,5.7
521,11.4
522,9.2
523,9.8
524,5.8
525,4.6
526,5.7
527,5.8
528,5.6
529,5.1
530,9.0
531,5.8
532,12.1
533,9.3
534,4.5
535,10.7
536,8.8
537,5.2
538,6.4
539,5.2
540,4.7
541,9.3
542,9.7
543,8.9
544,6.2
545,9.0
546,4.0
547,9.9
548,5.2
549,9.1
550,10.1
551,9.6
552,5.3
553,6.9
554,8.5
555,10.5
556,6.2
557,5.8
558,6.8
559,5.2
560,6.3
561,5.7
562,6.5
563,9.0
564,5.9
565,4.7
566,6.4
567,5.7
568,5.8
569,7.6
570,5.9
571,8.4
572,4.5
573,6.0
574,5.3
575,6.6
576,8.6
577,5.1
578,4.7
579,5.8
580,7.0
581,9.5
582,5.8
583,4.7
584,6.8
585,4.6
586,6.6
587,9.6
588,4.4
589,5.9
590,5.9
591,5.2
592,5.1
593,4.8
594,5.5
595,5.0
596,11.0
597,5.6
598,5.5
599,8.5
600,8.6
601,5.6
602,9.0
603,5.1
604,9.0
605,6.3
606,6.4
607,5.4
608,8.4
609,5.9
610,9.3
611,10.4
612,4.6
613,9.4
614,5.6
615,5.2
616,9.5
617,4.7
618,7.8
619,8.5
620,6.2
621,8.8
622,5.2
623,7.0
624,6.7
625,5.0
626,5.9
627,5.0
628,5.5
629,5.6
630,7.1
631,5.9
632,8.8
633,6.3
634,5.8
635,9.9
636,6.4
637,6.9
638,8.8
639,6.5
640,6.5
641,6.0
642,6.3
643,5.0
644,9.8
645,11.0
646,6.9
647,6.9
648,5.1
649,6.6
650,5.8
651,9.0
652,8.4
653,9.4
654,6.5
655,7.1
656,5.0
657,6.2
658,5.7
659,6.6
660,9.4
661,9.6
662,9.6
663,4.8
664,8.0
665,4.9
666,8.1
667,5.2
668,6.6
669,7.2
670,12.4
671,9.6
672,5.6
673,5.9
674,6.3
675,5.8
676,5.9
677,5.0
678,5.8
679,9.7
680,7.0
681,5.7
682,5.1
683,4.9
684,4.7
685,6.8
686,9.1
687,6.5
688,4.2
689,5.7
690,5.1
691,6.3
692,8.3
693,5.0
694,9.9
695,5.0
696,4.8
697,6.6
698,4.7
699,5.8
700,5.0
701,5.0
702,5.7
703,4.7
704,6.8
705,4.9
706,6.8
707,5.8
708,6.8
709,6.4
710,5.1
711,7.7
712,9.5
713,4.7
714,5.0
715,5.4
716,8.4
717,5.7
718,6.5
719,4.7
720,11.7
721,6.6
722,9.6
723,5.0
724,5.9
725,5.9
726,4.9
727,7.8
728,6.1
729,5.7
730,6.2
731,9.4
732,5.3
733,5.2
734,8.7
735,5.2
736,5.3
737,8.7
738,9.7
739,5.8
740,5.2
741,4.9
742,5.7
743,4.9
744,6.5
745,6.4
746,5.7
747,5.9
748,9.6
749,6.6
750,5.3
751,5.9
752,6.2
753,12.3
754,5.2
755,6.8
756,9.0
757,6.7
758,8.7
759,6.6
760,5.7
761,5.1
762,6.0
763,6.5
764,4.7
765,6.4
766,6.6
767,6.4
768,8.4
769,10.8
770,5.0
771,5.9
772,5.7
773,8.8
774,5.7
775,5.7
776,5.0
777,9.7
778,9.3
779,6.5
780,5.5
781,10.4
782,4.9
783,8.0
784,10.6
785,6.4
786,4.8
787,6.6
788,5.1
789,5.7
790,4.8
791,9.5
792,11.7
793,4.9
794,10.1
795,4.9
796,9.6
797,5.6
798,5.8
799,6.7
800,5.7
801,10.1
802,8.8
803,5.1
804,5.7
805,6.5
806,5.4
807,11.0
808,6.0
809,5.8
810,8.9
811,4.4
812,6.4
813,5.7
814,5.1
815,5.9
816,5.4
817,8.8
818,5.8
819,4.6
820,11.7
821,6.3
822,5.7
823,7.0
824,5.8
825,9.5
826,5.1
827,5.8
828,11.5
829,6.7
830,11.1
831,6.8
832,5.2
833,6.5
834,5.0
835,4.5
836,5.9
837,5.8
838,9.1
839,4.8
840,5.9
841,5.1
842,5.7
843,4.4
844,5.3
845,7.1
846,5.9
847,8.8
848,6.2
849,6.6
850,8.9
851,6.3
852,6.4
853,10.0
854,5.9
855,10.8
856,5.8
857,8.1
858,6.7
859,5.6
860,8.0
861,8.7
862,10.8
863,5.0
864,5.9
865,6.1
866,6.5
867,9.7
868,5.1
869,5.9
870,5.0
871,5.1
872,4.4
873,5.8
874,5.0
875,9.1
876,7.7
877,5.3
878,9.0
879,6.2
880,9.2
881,6.9
882,6.0
883,6.5
884,5.7
885,4.9
886,4.9
887,5.0
888,5.6
889,5.4
890,5.8
891,6.4
892,6.5
893,10.1
894,5.8
895,9.3
896,6.5
897,5.8
898,5.7
899,5.1
900,6.6
