,WAF
1,6.4
2,7.0
3,6.5
4,12.0
5,6.9
6,6.6
7,4.9
8,6.8
9,7.3
10,14.7
11,5.9
12,4.7
13,5.3
14,4.7
15,6.0
16,5.7
17,6.3
18,5.1
19,9.4
20,5.4
21,11.0
22,8.7
23,5.6
24,16.4
25,5.1
26,7.0
27,5.5
28,5.0
29,4.4
30,5.6
31,6.0
32,4.8
33,10.4
34,5.6
35,5.5
36,4.9
37,6.4
38,5.3
39,6.1
40,5.6
41,4.6
42,6.4
43,6.3
44,10.8
45,6.6
46,5.6
47,7.1
48,5.7
49,10.6
50,6.9
51,5.1
52,4.3
53,4.8
54,4.5
55,5.6
56,5.2
57,5.6
58,7.3
59,5.0
60,8.6
61,6.7
62,5.4
63,5.0
64,6.9
65,3.9
66,7.2
67,9.5
68,7.1
69,14.5
70,4.1
71,10.3
72,9.8
73,5.3
74,10.9
75,5.6
76,5.5
77,5.5
78,4.9
79,5.4
80,4.6
81,4.4
82,5.6
83,6.9
84,4.2
85,6.4
86,6.2
87,5.2
88,6.1
89,5.6
90,5.2
91,4.8
92,5.6
93,5.2
94,7.4
95,5.5
96,6.5
97,4.6
98,6.6
99,4.9
100,5.5
101,5.1
102,6.9
103,5.3
104,7.7
105,7.1
106,4.6
107,6.7
108,4.8
109,4.5
110,9.3
111,10.6
112,5.2
113,5.3
114,5.6
115,9.6
116,7.4
117,4.5
118,10.2
119,5.1
120,5.2
121,4.9
122,3.7
123,7.2
124,7.1
125,4.4
126,4.1
127,13.8
128,7.4
129,6.9
130,7.5
131,5.4
132,4.3
133,9.2
134,8.5
135,7.4
136,5.9
137,5.6
138,10.4
139,7.1
140,5.2
141,4.8
142,5.2
143,4.3
144,5.3
145,6.7
146,13.0
147,6.6
148,4.5
149,5.3
150,6.5
151,7.0
152,5.1
153,5.1
154,10.6
155,6.6
156,6.3
157,21.0
158,5.5
159,4.7
160,5.6
161,6.7
162,11.1
163,6.0
164,6.1
165,7.4
166,5.2
167,6.3
168,6.8
169,6.5
170,4.6
171,6.4
172,7.6
173,6.7
174,4.5
175,6.2
176,5.4
177,5.3
178,4.7
179,15.4
180,4.1
181,4.6
182,6.6
183,10.6
184,9.8
185,4.1
186,5.5
187,5.0
188,9.6
189,6.5
190,9.0
191,10.6
192,6.7
193,4.9
194,5.5
195,6.1
196,8.2
197,7.1
198,10.5
199,5.4
200,15.3
201,5.0
202,7.1
203,5.9
204,5.4
205,7.2
206,6.2
207,6.2
208,9.5
209,4.8
210,5.3
211,6.3
212,5.5
213,11.1
214,6.2
215,6.2
216,5.5
217,6.1
218,6.5
219,7.0
220,5.3
221,7.3
222,9.3
223,6.7
224,5.5
225,6.1
226,8.5
227,5.6
228,4.4
229,5.3
230,5.8
231,6.1
232,5.8
233,7.0
234,6.1
235,6.3
236,9.7
237,5.2
238,4.4
239,10.4
240,11.1
241,6.5
242,4.3
243,6.3
244,5.6
245,6.6
246,4.5
247,5.6
248,10.0
249,6.1
250,5.4
251,3.7
252,5.6
253,4.5
254,5.5
255,7.1
256,10.4
257,6.4
258,10.2
259,4.4
260,9.3
261,5.4
262,5.9
263,5.3
264,6.3
265,6.2
266,7.0
267,5.3
268,5.4
269,5.7
270,5.6
271,5.5
272,5.8
273,7.4
274,14.6
275,5.7
276,5.3
277,4.3
278,6.4
279,6.3
280,7.0
281,5.7
282,6.4
283,9.0
284,5.2
285,5.4
286,4.4
287,5.2
288,5.1
289,3.3
290,5.8
291,6.1
292,12.0
293,6.0
294,10.1
295,6.5
296,4.6
297,6.3
298,4.6
299,6.5
300,7.0
301,4.5
302,4.5
303,5.6
304,5.4
305,5.5
306,9.9
307,9.1
308,6.7
309,5.5
310,4.6
311,5.1
312,5.4
313,6.7
314,10.7
315,5.4
316,7.0
317,5.2
318,5.4
319,6.2
320,5.0
321,9.4
322,6.5
323,6.1
324,6.7
325,5.8
326,10.2
327,7.0
328,5.4
329,7.0
330,6.9
331,7.0
332,5.9
333,11.0
334,11.7
335,5.2
336,5.4
337,14.0
338,5.5
339,5.6
340,6.2
341,5.4
342,9.6
343,6.3
344,5.3
345,5.2
346,5.4
347,6.7
348,5.4
349,10.1
350,5.3
351,10.6
352,6.4
353,7.0
354,6.7
355,5.0
356,5.1
357,15.6
358,6.1
359,5.5
360,7.0
361,4.8
362,9.6
363,3.9
364,5.9
365,6.2
366,7.0
367,5.7
368,5.3
369,15.1
370,6.9
371,4.3
372,7.0
373,10.0
374,5.5
375,5.1
376,4.6
377,7.4
378,3.3
379,6.3
380,9.2
381,7.0
382,4.5
383,4.6
384,9.4
385,7.3
386,5.6
387,10.1
388,3.5
389,11.1
390,4.3
391,10.0
392,4.6
393,5.1
394,7.1
395,5.6
396,5.2
397,9.8
398,4.9
399,4.8
400,10.1
401,6.7
402,6.6
403,10.6
404,6.3
405,12.9
406,4.1
407,7.0
408,5.2
409,5.5
410,11.0
411,4.8
412,5.1
413,10.6
414,5.3
415,5.5
416,6.3
417,6.8
418,5.4
419,7.2
420,6.3
421,4.4
422,10.6
423,4.7
424,4.6
425,10.5
426,4.8
427,4.9
428,14.8
429,4.5
430,9.5
431,5.7
432,5.4
433,6.9
434,5.5
435,5.3
436,4.6
437,5.0
438,5.7
439,5.4
440,5.4
441,5.5
442,6.7
443,5.3
444,5.9
445,6.7
446,7.0
447,9.0
448,5.6
449,4.8
450,6.1
451,7.1
452,4.6
453,11.1
454,4.9
455,7.0
456,14.6
457,7.1
458,7.1
459,7.0
460,11.7
461,5.5
462,5.3
463,4.7
464,6.0
465,7.2
466,6.0
467,6.6
468,4.6
469,3.3
470,4.9
471,4.5
472,4.6
473,5.8
474,3.9
475,5.4
476,4.6
477,6.7
478,6.3
479,6.4
480,5.6
481,9.9
482,4.2
483,5.5
484,10.3
485,5.5
486,6.3
487,5.8
488,5.2
489,4.8
490,6.7
491,6.8
492,6.1
493,7.0
494,6.9
495,4.5
496,6.5
497,6.8
498,9.6
499,10.7
500,6.0
501,5.4
502,7.0
503,6.3
504,16.0
505,4.4
506,4.4
507,10.6
508,6.8
509,6.2
510,5.1
511,5.5
512,10.6
513,5.4
514,5.6
515,4.8
516,5.3
517,5.6
518,6.1
519,6.2
520,5.7
521,10.2
522,6.4
523,10.8
524,6.4
525,4.6
526,5.2
527,5.8
528,5.6
529,3.9
530,9.0
531,7.1
532,6.8
533,5.9
534,4.5
535,13.2
536,10.8
537,5.2
538,6.4
539,4.0
540,5.2
541,9.3
542,10.0
543,6.0
544,6.2
545,5.5
546,4.0
547,9.9
548,7.2
549,10.8
550,9.9
551,6.3
552,6.3
553,6.6
554,6.9
555,10.1
556,6.3
557,7.1
558,7.5
559,6.0
560,5.5
561,6.3
562,5.5
563,6.9
564,7.5
565,5.3
566,5.5
567,5.0
568,5.8
569,6.9
570,7.3
571,6.8
572,4.5
573,4.5
574,5.3
575,7.9
576,7.2
577,6.5
578,4.4
579,5.6
580,7.5
581,9.5
582,5.9
583,4.7
584,6.7
585,4.6
586,7.2
587,9.6
588,4.3
589,5.7
590,6.1
591,5.9
592,5.8
593,5.4
594,5.5
595,6.3
596,11.0
597,5.6
598,5.5
599,10.6
600,9.9
601,5.6
602,9.0
603,5.1
604,7.2
605,5.3
606,5.3
607,5.4
608,10.6
609,5.9
610,9.3
611,11.1
612,7.1
613,7.0
614,5.6
615,4.3
616,9.5
617,4.7
618,10.6
619,7.1
620,5.5
621,6.7
622,5.2
623,6.7
624,6.6
625,5.0
626,6.9
627,3.5
628,4.0
629,5.6
630,8.8
631,7.1
632,8.8
633,5.5
634,6.2
635,9.7
636,7.2
637,6.7
638,8.8
639,5.5
640,5.9
641,5.4
642,6.3
643,5.0
644,9.8
645,10.1
646,6.7
647,7.4
648,5.1
649,6.6
650,6.0
651,6.7
652,7.0
653,6.4
654,6.5
655,8.6
656,5.0
657,7.1
658,5.7
659,6.6
660,7.1
661,7.4
662,7.2
663,5.3
664,9.4
665,5.3
666,7.0
667,4.6
668,6.2
669,6.8
670,13.5
671,9.9
672,6.5
