,WAF
1,6.0
2,6.2
3,6.7
4,11.4
5,6.9
6,6.7
7,9.0
8,6.1
9,5.8
10,11.4
11,6.3
12,8.0
13,5.3
14,4.7
15,5.8
16,5.7
17,6.5
18,5.1
19,9.4
20,5.4
21,8.3
22,6.9
23,5.6
24,16.4
25,5.1
26,6.0
27,6.4
28,4.9
29,9.0
30,5.6
31,5.8
32,4.8
33,10.3
34,6.6
35,5.5
36,6.5
37,6.7
38,5.3
39,6.2
40,6.1
41,4.6
42,6.4
43,6.0
44,8.4
45,6.6
46,6.4
47,6.4
48,5.7
49,7.2
50,5.7
51,5.1
52,4.3
53,8.7
54,4.5
55,5.6
56,5.2
57,5.4
58,6.6
59,8.7
60,9.0
61,9.1
62,9.1
63,5.0
64,5.7
65,3.9
66,6.6
67,8.9
68,8.0
69,11.1
70,4.1
71,10.5
72,11.3
73,6.1
74,6.7
75,8.3
76,5.5
77,8.1
78,4.9
79,6.0
80,4.6
81,4.4
82,6.2
83,5.8
84,4.2
85,6.0
86,5.3
87,6.3
88,5.2
89,5.6
90,5.1
91,6.5
92,6.2
93,6.0
94,6.7
95,6.8
96,6.2
97,4.6
98,6.6
99,4.9
100,5.5
101,8.9
102,6.9
103,5.3
104,8.6
105,6.8
106,4.6
107,6.7
108,6.4
109,4.5
110,8.9
111,8.3
112,8.8
113,8.4
114,6.3
115,7.3
116,6.6
117,6.2
118,10.6
119,6.3
120,5.2
121,4.9
122,3.7
123,5.9
124,6.3
125,4.4
126,4.1
127,13.8
128,5.8
129,6.9
130,5.8
131,6.8
132,4.3
133,9.2
134,8.2
135,6.1
136,5.9
137,8.6
138,8.0
139,5.8
140,6.4
141,5.1
142,5.2
143,4.3
144,6.8
145,8.5
146,13.0
147,6.6
148,4.5
149,5.7
150,6.3
151,5.9
152,5.1
153,5.3
154,11.0
155,8.8
156,6.1
157,21.0
158,6.3
159,4.7
160,8.3
161,6.0
162,9.7
163,6.0
164,5.4
165,6.1
166,6.9
167,6.3
168,6.8
169,6.2
170,4.6
171,6.4
172,5.8
173,6.7
174,4.5
175,6.0
176,4.9
177,4.8
178,4.7
179,10.4
180,4.1
181,4.6
182,6.6
183,8.9
184,10.7
185,4.1
186,4.5
187,8.5
188,7.1
189,6.4
190,8.7
191,8.0
192,6.6
193,6.1
194,5.5
195,6.4
196,7.8
197,6.3
198,10.9
199,6.2
200,15.3
201,5.0
202,6.1
203,6.6
204,5.4
205,5.8
206,6.6
207,5.6
208,6.2
209,8.3
210,6.2
211,5.7
212,5.5
213,7.3
214,6.3
215,5.8
216,6.2
217,5.7
218,6.7
219,5.9
220,5.1
221,6.1
222,8.6
223,9.0
224,6.4
225,5.7
226,8.8
227,6.0
228,4.4
229,5.3
230,5.8
231,6.0
232,5.8
233,7.2
234,6.1
235,6.0
236,9.3
237,4.9
238,4.4
239,10.5
240,7.2
241,6.5
242,4.3
243,6.1
244,5.0
245,8.7
246,4.5
247,4.7
248,10.0
249,6.1
250,8.0
251,3.7
252,6.1
253,4.5
254,6.4
255,6.4
256,10.6
257,6.7
258,14.2
259,4.4
260,8.6
261,8.6
262,6.1
263,6.8
264,5.0
265,5.4
266,6.2
