,WAF
1,6.4
2,5.9
3,9.9
4,9.8
5,7.3
6,6.7
7,5.9
8,5.7
9,5.8
10,10.6
11,5.5
12,5.6
13,5.7
14,4.7
15,5.8
16,5.7
17,5.9
18,4.9
19,9.4
20,5.4
21,9.8
22,10.5
23,5.6
24,15.1
25,6.2
26,6.0
27,6.2
28,4.9
29,6.0
30,5.6
31,5.8
32,5.9
33,10.9
34,5.7
35,5.5
36,6.5
37,9.7
38,4.7
39,6.1
40,5.6
41,4.6
42,6.7
43,6.3
44,10.8
45,7.8
46,6.4
47,6.6
48,5.7
49,7.6
50,5.7
51,4.7
52,4.3
53,6.4
54,4.5
55,5.6
56,4.9
57,5.4
58,5.9
59,5.9
60,11.0
61,9.1
62,4.8
63,5.0
64,5.7
65,4.7
66,6.6
67,8.9
68,7.7
69,10.9
70,4.1
71,10.5
72,9.8
73,5.3
74,6.7
75,4.9
76,5.5
77,4.9
78,4.9
79,4.9
80,5.0
81,4.7
82,6.2
83,5.8
84,4.2
85,6.5
86,5.3
87,5.8
88,5.2
89,5.6
90,5.2
91,4.7
92,6.2
93,6.0
94,6.7
95,5.5
96,5.3
97,4.7
98,7.1
99,4.9
100,5.7
101,6.2
102,5.8
103,5.3
104,7.7
105,6.8
106,4.6
107,6.7
108,4.8
109,4.5
110,11.1
111,10.6
112,5.2
113,5.2
114,5.6
115,8.7
116,6.3
117,4.7
118,11.0
119,6.3
120,6.0
121,4.9
122,4.9
123,10.9
124,6.4
125,4.9
126,4.5
127,11.7
128,5.8
129,5.4
130,5.8
131,8.0
132,4.8
133,9.2
134,9.6
135,5.5
136,5.9
137,5.6
138,10.4
139,5.7
140,5.9
141,4.8
142,4.8
143,4.3
144,5.8
145,10.6
146,11.0
147,6.7
148,4.5
149,5.7
150,5.9
151,5.9
152,5.1
153,5.1
154,10.8
155,5.7
156,6.2
157,17.9
158,6.3
159,4.7
160,6.3
161,5.8
162,10.4
163,6.0
164,5.4
165,6.7
166,5.2
167,4.8
168,5.7
169,6.5
170,4.6
171,10.6
172,5.8
173,6.4
174,4.8
175,6.0
176,4.9
177,4.8
178,4.7
179,10.8
180,4.1
181,4.6
182,5.8
183,10.6
184,9.8
185,3.7
186,5.5
187,5.0
188,9.6
189,6.5
190,9.0
191,10.6
192,6.6
193,4.9
194,5.5
195,5.8
196,8.2
197,6.6
198,10.9
199,4.9
200,15.8
201,4.9
202,5.4
203,5.9
204,5.4
205,5.8
206,10.2
207,5.6
208,7.4
209,6.4
210,6.2
211,5.7
212,5.5
213,8.1
214,6.7
215,5.8
216,6.0
217,5.7
218,6.7
219,7.4
220,5.3
221,5.4
222,8.7
223,6.0
224,6.4
225,5.7
226,11.1
227,6.0
228,4.4
229,5.3
230,5.8
231,5.7
232,5.8
233,10.5
234,4.9
235,6.0
236,9.3
237,5.2
238,4.4
239,10.8
240,10.4
241,10.8
242,4.3
243,6.8
244,5.6
245,7.8
246,4.9
247,4.7
248,10.4
249,6.1
250,6.2
251,4.4
252,6.3
253,4.8
254,6.4
255,6.4
256,10.6
257,8.3
258,11.1
259,5.2
260,10.9
261,5.4
262,5.4
263,5.3
264,5.0
265,5.4
266,7.1
267,4.8
268,5.6
269,5.7
270,6.4
271,5.8
272,5.2
273,6.5
274,9.9
275,5.7
276,4.9
277,5.0
278,11.1
279,6.2
280,10.7
281,5.7
282,6.4
283,9.0
284,4.8
285,4.7
286,4.4
287,5.2
288,4.8
289,4.6
290,5.8
291,5.8
292,10.4
293,5.4
294,10.1
295,6.8
296,4.4
297,6.6
298,4.6
299,5.6
300,6.6
301,4.9
302,4.4
303,5.7
304,6.1
305,5.5
306,9.9
307,8.4
308,7.4
309,5.5
310,4.9
311,4.7
312,4.8
313,7.6
314,10.3
315,5.4
316,10.1
317,4.9
318,5.6
319,6.2
320,5.0
321,9.4
322,5.8
323,5.2
324,5.7
325,5.8
326,10.2
327,7.8
328,5.4
329,11.4
330,6.3
331,9.6
332,5.9
333,11.0
334,8.9
335,5.2
336,5.4
337,12.1
338,5.5
339,5.7
340,6.2
341,7.8
342,8.1
343,6.5
344,4.7
345,8.5
346,6.4
347,4.7
348,4.9
349,10.0
350,4.8
351,7.8
352,5.6
353,6.6
354,5.8
355,5.8
356,5.1
357,13.6
358,10.9
359,5.8
360,6.9
361,4.8
362,9.6
363,3.9
364,5.5
365,6.2
366,5.2
367,5.7
368,6.3
369,11.6
370,5.7
371,4.5
372,7.4
373,8.2
374,5.8
375,5.1
376,4.6
377,5.8
378,4.2
379,5.6
380,9.6
381,5.7
382,4.9
383,4.6
384,10.3
385,5.3
386,5.8
387,10.4
388,4.7
389,11.1
390,4.4
391,7.7
392,4.6
393,6.4
394,4.8
395,5.6
396,4.7
397,9.8
398,4.9
399,4.8
400,10.1
401,9.4
402,9.6
403,10.6
404,6.3
405,10.6
406,4.9
407,5.0
408,6.1
409,5.5
410,10.6
411,4.8
412,6.0
413,11.4
414,5.4
415,6.4
416,10.4
417,5.8
418,5.5
419,5.7
420,7.0
421,5.8
422,10.6
423,4.7
424,4.8
425,10.5
426,4.8
427,4.9
428,10.6
429,4.5
430,9.5
431,5.7
432,5.4
433,5.9
434,5.5
435,6.0
436,4.9
437,6.1
438,5.7
439,5.4
440,5.2
441,5.8
442,9.7
443,5.8
444,5.9
445,10.7
446,7.8
447,8.8
448,6.4
449,4.7
450,5.5
451,6.1
452,4.3
453,11.1
454,4.7
455,11.2
456,12.4
457,5.8
458,6.2
459,10.2
460,10.1
461,5.5
462,6.3
463,5.6
464,5.5
465,5.9
466,7.9
467,7.8
468,4.9
469,3.3
470,4.9
471,4.5
472,4.9
473,5.8
474,4.6
475,6.2
476,4.6
477,7.8
478,6.7
479,6.8
480,5.6
481,12.6
482,4.2
483,5.5
484,10.6
485,5.5
486,6.3
487,5.8
488,4.9
489,5.8
490,5.3
491,5.8
492,5.5
493,6.8
494,5.6
495,4.5
496,6.7
497,9.6
498,10.9
499,7.8
500,6.0
501,5.4
502,6.2
503,5.5
504,12.2
505,4.7
506,4.6
507,10.6
508,5.6
509,6.2
510,5.1
511,5.5
512,10.6
513,4.8
514,5.6
515,6.1
516,4.8
517,6.0
518,6.1
519,5.9
520,5.7
521,11.4
522,6.4
523,10.8
524,5.8
525,4.6
526,5.7
527,5.8
528,5.6
529,4.4
530,9.0
531,5.8
532,12.1
533,5.5
534,4.7
535,10.7
536,10.8
537,4.8
538,6.4
539,5.7
540,4.7
541,9.3
542,10.0
543,6.0
544,6.2
545,6.8
546,4.0
547,9.9
548,5.2
549,10.8
550,9.9
551,5.8
552,5.3
553,10.8
554,5.5
555,10.5
556,6.2
557,5.8
558,10.0
559,5.2
560,6.3
561,5.7
562,5.4
563,9.0
564,5.9
565,4.7
566,6.4
567,5.7
568,5.8
569,7.6
570,6.2
571,10.7
572,4.5
573,6.0
574,5.3
575,6.6
576,5.7
577,5.1
578,4.7
579,5.8
580,7.1
581,9.5
582,5.8
583,4.7
584,7.5
585,4.6
586,6.6
587,9.6
588,4.4
589,5.9
590,6.2
591,5.9
592,5.8
593,4.8
594,5.5
595,6.3
596,11.0
597,5.6
598,5.5
599,10.6
600,9.9
601,5.6
602,9.0
